wall_time,step,value
1777361334.8681464,0,0.29650864005088806
1777361345.5097995,1,0.22186636924743652
1777361356.1112509,2,0.32220226526260376
1777361366.8141005,3,0.29759618639945984
1777361377.4641552,4,0.3509066104888916
1777361388.1162207,5,0.3580745458602905
1777361398.8651018,6,0.41413751244544983
1777361409.777411,7,0.5218541622161865
1777361420.4365501,8,0.6031551361083984
1777361431.110802,9,0.6526734828948975
1777361441.836811,10,0.6800390481948853
1777361452.6067433,11,0.6886405944824219
1777361463.2277422,12,0.7261679768562317
1777361473.8914752,13,0.70977783203125
1777361484.5718973,14,0.6463440656661987
1777361495.300866,15,0.6716691851615906
1777361506.0087805,16,0.679518461227417
1777361516.6366448,17,0.647031307220459
1777361527.3779902,18,0.5462270975112915
1777361538.038244,19,0.5517977476119995
1777361548.7219257,20,0.6010600924491882
1777361559.489623,21,0.6514176726341248
1777361570.1843188,22,0.5164622664451599
1777361580.8081653,23,0.48039841651916504
1777361591.5056303,24,0.443977415561676
1777361602.2311277,25,0.6197338104248047
1777361612.8520417,26,0.5230989456176758
1777361623.5090191,27,0.33478647470474243
1777361634.2176087,28,0.41735777258872986
1777361644.9437885,29,0.3714739680290222
1777361655.6323543,30,0.5970684289932251
1777361666.3039746,31,0.33754363656044006
1777361676.9616237,32,0.14140932261943817
1777361687.6579447,33,0.43056899309158325
1777361698.475376,34,0.47505366802215576
1777361709.1047652,35,0.5333359837532043
1777361719.7760744,36,0.1903151571750641
1777361730.4987562,37,0.18081240355968475
1777361741.1772013,38,0.31946104764938354
1777361751.8938384,39,0.5226196050643921
1777361762.5761724,40,0.37497004866600037
1777361773.308412,41,0.08625815808773041
1777361784.0048277,42,0.23850184679031372
1777361794.6564386,43,0.2112027257680893
1777361805.3456433,44,0.3693334758281708
1777361816.0561273,45,0.08857770264148712
1777361826.7160351,46,0.11377684772014618
1777361837.3556736,47,0.2696434259414673
1777361848.208761,48,0.21707843244075775
1777361858.914521,49,0.5068567991256714
1777361869.582056,50,0.06076221913099289
1777361880.2312422,51,0.26171961426734924
1777361890.9283955,52,0.3061888515949249
1777361901.6363866,53,0.33953621983528137
1777361912.2711856,54,0.13527655601501465
1777361922.9073603,55,0.097808837890625
1777361933.5726821,56,0.3021928071975708
1777361944.3297145,57,0.30536702275276184
1777361955.0862916,58,0.371768593788147
1777361965.8009531,59,0.16389301419258118
1777361976.50646,60,0.18127991259098053
1777361987.1463532,61,0.24615822732448578
1777361998.0315216,62,0.28540998697280884
1777362008.7829552,63,0.38596293330192566
1777362019.467115,64,0.0796898603439331
1777362030.1165788,65,0.26338618993759155
1777362040.8145387,66,0.36971551179885864
1777362051.5558412,67,0.3167850375175476
1777362062.2213416,68,0.35978806018829346
1777362072.8603387,69,0.23801609873771667
1777362083.5145044,70,0.3037683665752411
1777362094.2811882,71,0.2527835965156555
1777362105.0048187,72,0.4269168972969055
1777362115.690563,73,0.261040598154068
1777362126.3678937,74,0.24788150191307068
1777362137.0823326,75,0.27834880352020264
1777362147.9180605,76,0.2782883644104004
1777362158.5728042,77,0.4659811854362488
1777362169.2250862,78,0.14833907783031464
1777362179.885335,79,0.26618844270706177
1777362190.5623353,80,0.3047468960285187
1777362201.2686152,81,0.3855120539665222
1777362211.9420762,82,0.3359116017818451
1777362222.6951938,83,0.22178249061107635
1777362233.3777044,84,0.12159058451652527
1777362244.0643504,85,0.302549809217453
1777362254.7828453,86,0.45042645931243896
1777362265.4771655,87,0.18082191050052643
1777362276.1290753,88,0.1287534385919571
1777362286.79695,89,0.18122287094593048
1777362297.6263225,90,0.2261165976524353
1777362308.3153386,91,0.4132833480834961
1777362318.972616,92,0.07833104580640793
1777362329.6269176,93,0.20304033160209656
1777362340.3698602,94,0.18213579058647156
1777362351.1092787,95,0.23883402347564697
1777362361.7805285,96,0.27742695808410645
1777362372.467861,97,0.052407726645469666
1777362383.1397927,98,0.1645725816488266
1777362393.8328044,99,0.2329721748828888
1777362404.5432892,100,0.4236462712287903
1777362415.1936169,101,0.18334445357322693
1777362425.9043155,102,0.15197479724884033
1777362436.575513,103,0.2320074439048767
1777362447.4101553,104,0.3154318034648895
1777362458.1123893,105,0.46447134017944336
1777362468.8673325,106,0.07927099615335464
1777362479.555869,107,0.24362295866012573
1777362490.212626,108,0.17909643054008484
1777362500.9037638,109,0.35649818181991577
1777362511.607858,110,0.44123533368110657
1777362522.3154414,111,0.1522241234779358
1777362532.9982076,112,0.28533414006233215
1777362543.6524427,113,0.2157236784696579
1777362554.455827,114,0.4222356975078583
1777362565.1390195,115,0.1652044653892517
1777362575.8183317,116,0.07519707083702087
1777362586.5156784,117,0.16310420632362366
1777362597.382921,118,0.3368909955024719
1777362608.1116636,119,0.44205525517463684
1777362618.7582169,120,0.195929616689682
1777362629.4604268,121,0.1147155910730362
1777362640.161208,122,0.23800991475582123
1777362650.8488712,123,0.3745473325252533
1777362661.534414,124,0.48066288232803345
