Kp,Kd,tau_ref_s,qddot_limit_radps2,velocity_limit_radps,effort_limit_nm,risk_score,cmd_error_mean_rad,cmd_error_rmse_rad,cmd_error_max_rad,raw_error_mean_rad,raw_error_rmse_rad,raw_error_max_rad,raw_relative_error_mean,raw_to_cmd_lag_mean_rad,raw_to_cmd_lag_rmse_rad,qdot_error_mean_radps,qdot_error_rmse_radps,qdot_error_max_radps,tau_saturation_rate,qdot_limit_rate,qdot_cmd_limit_rate,tau_abs_mean_nm,tau_abs_max_nm,qdot_abs_mean_radps,qdot_abs_max_radps,qdot_cmd_abs_mean_radps,qdot_cmd_delta_abs_mean_radps,qdot_sign_flip_rate
1450.0,2.0,0.12,3.0,1.2,60.0,3.051573157548533,0.0017366471131483481,0.002179491508379926,0.004896551724137832,0.23741600673213772,0.2989125045365237,1.0119333610236096,1.6513331800906734,0.23738585320675729,0.2988732066604797,0.4289809775007977,0.4733737062217377,0.8322204230112664,0.0,0.05509181969949917,0.06844741235392321,5.177062002741233,21.599999999999145,0.3398036910822631,1.1999999999999382,0.5253277040965864,0.09389335187929036,0.14786967418546365
1475.0,2.0,0.12,3.0,1.2,60.0,3.052291393323867,0.0016987714860350097,0.0021254973652196875,0.004644067796610141,0.2373874554597748,0.2988826142196064,1.0119602975995516,1.6510998734721185,0.23738585320675729,0.2988732066604797,0.43626517863925524,0.4821428672353872,0.857249278609134,0.0,0.055926544240400666,0.06844741235392321,5.239678752129394,21.599999999999806,0.3468584491891748,1.199999999999986,0.5253277040965864,0.09389335187929036,0.14786967418546365
1425.0,2.0,0.12,3.0,1.2,60.0,3.052731177345477,0.0017790059497166724,0.0022413935449224313,0.005157894736841695,0.23744249617171959,0.2989401689991881,1.0119073819337476,1.6515471638104473,0.23738585320675729,0.2988732066604797,0.42206960514324665,0.46507095188277614,0.8160093274479714,0.0,0.05509181969949917,0.06844741235392321,5.1189550695512755,21.599999999996026,0.3329643355593627,1.1999999999997122,0.5253277040965864,0.09389335187929036,0.14703425229741018
1275.0,2.0,0.12,3.0,1.2,60.0,3.0528053000881834,0.0021165288574701213,0.002754948268047907,0.006941176469553334,0.23757236866570003,0.2990731808015579,1.0116447512151832,1.652584856904557,0.23738585320675729,0.2988732066604797,0.3801858065835182,0.4169691759990083,0.7185931924086291,0.0,0.04590984974958264,0.06844741235392321,4.87056980645079,21.599999994264753,0.29727151258217355,1.1999999995844024,0.5253277040965864,0.09389335187929036,0.14786967418546365
1400.0,2.0,0.12,3.0,1.2,60.0,3.0551484459268963,0.0018249241355571596,0.0023103407355788705,0.005428571428569506,0.237467284987056,0.29896600407825613,1.0118821795798665,1.6517459201418065,0.23738585320675729,0.2988732066604797,0.4152112945552511,0.45697237823161185,0.8129636645103392,0.0,0.05509181969949917,0.06844741235392321,5.065950804335118,21.5999999999824,0.3264865959665612,1.1999999999987248,0.5253277040965864,0.09389335187929036,0.14786967418546365
1250.0,2.0,0.12,3.0,1.2,60.0,3.0565664548848854,0.002188997361066903,0.0028648322993497254,0.007279999997162501,0.23759042289661725,0.2990920445079245,1.0115893872377089,1.6527215613941406,0.23738585320675729,0.2988732066604797,0.37319086927356665,0.4092532413740832,0.7228179677635547,0.0,0.04590984974958264,0.06844741235392321,4.836796289063964,21.599999985532843,0.29168375790312556,1.1999999989516554,0.5253277040965864,0.09389335187929036,0.14619883040935672
1500.0,2.0,0.12,3.0,1.2,60.0,3.056905242486819,0.0016659300748852418,0.002078911064514679,0.004400000000000015,0.23735635403111505,0.2988500242585128,1.0119885345079056,1.6508427505196663,0.23738585320675729,0.2988732066604797,0.4437328229821482,0.4911529014008773,0.8623874145974825,0.0,0.05843071786310518,0.06844741235392321,5.3048106975777145,21.59999999999995,0.3544429311436217,1.1999999999999966,0.5253277040965864,0.09389335187929036,0.14786967418546365
1375.0,2.0,0.12,3.0,1.2,60.0,3.0574127973145138,0.0018741576554062594,0.0023852257046153053,0.005709090909082504,0.23749087355685894,0.2989900581938462,1.0118576890571345,1.6519379578973943,0.23738585320675729,0.2988732066604797,0.40812374040974364,0.4486570999925263,0.7889354352332003,0.0,0.05509181969949917,0.06844741235392321,5.02269531082316,21.599999999931743,0.32042933495569953,1.199999999995054,0.5253277040965864,0.09389335187929036,0.14786967418546365
1225.0,2.0,0.12,3.0,1.2,60.0,3.060096495021382,0.0022671915220902664,0.002982091247198892,0.007632653053878391,0.237607551940434,0.2991100598521077,1.011543239565436,1.6528487054295011,0.23738585320675729,0.2988732066604797,0.3663868075467125,0.40183598454613817,0.7183646011114262,0.0,0.045075125208681135,0.06844741235392321,4.808186152253806,21.599999965423898,0.2864337273447654,1.1999999974944855,0.5253277040965864,0.09389335187929036,0.14619883040935672
1350.0,2.0,0.12,3.0,1.2,60.0,3.0602323126524693,0.0019283373485656247,0.002467423406779728,0.005999999999967698,0.23751334288928505,0.29901299142996274,1.0118339275702364,1.6521202478484704,0.23738585320675729,0.2988732066604797,0.4012132186096187,0.4406756120191797,0.7656473088665884,0.0,0.05509181969949917,0.06844741235392321,4.9832840096706175,21.599999999764034,0.31456055469493327,1.1999999999829012,0.5253277040965864,0.09389335187929036,0.14786967418546365
