terrain_col,terrain_name,rows,abs_error_mean,abs_error_rmse,abs_error_p50,abs_error_p95,abs_error_p99,abs_error_max,rel_error_mean,rel_error_rmse,rel_error_p50,rel_error_p95,rel_error_p99,rel_error_max,qdot_limit_rate_ge_0p98x2radps,estimated_tau_saturation_rate_ge_0p98x60nm
0,flat,3600,0.11033988619296936,0.16137803021972882,0.0658734533935786,0.3468265705741942,0.5194117156788706,1.080248236656189,0.6815075924569032,1.031119289137593,0.49038768981160985,2.0097767310216996,3.9726934957784605,9.310315698385239,0.17675925925925925,0.45060185185185186
1,slope down,3600,0.1071361968449657,0.15736676169100783,0.0638442151248455,0.34506341926753514,0.5168359034694731,1.031550083309412,0.6558744969186364,0.9408918043769334,0.49592933815318896,1.7967829916242373,3.4291412871330746,8.097017779946325,0.16962962962962963,0.44296296296296295
2,slope up,3600,0.1080860861796308,0.15877448804585637,0.06299543981731401,0.348283049277961,0.50582681953907,1.339160293340683,0.6503712970954058,0.932802078964944,0.4962193775455994,1.7824543644536486,3.3199831874832784,8.481928348664814,0.17726851851851852,0.4401388888888889
3,uneven rough,3600,0.11286546975629354,0.16425677833798646,0.06808907445520156,0.3564188794232904,0.5207348485104724,1.027171228080988,0.687055748938031,0.9770247250232788,0.5231576459496767,1.8858091142605642,3.3680071615613962,9.912608414888378,0.20291666666666666,0.45782407407407405
4,uneven rough,3600,0.11513724793943736,0.16746504009521984,0.07216821238398555,0.35622893199324596,0.5538704640418288,0.9751861970871686,0.7551203403340221,1.19540326499776,0.473108701407909,2.507963052050398,4.792459194070321,8.817697347387137,0.19782407407407407,0.4673148148148148
5,stairs down,3600,0.1173151637627996,0.17542908372767896,0.0699793826788664,0.38497612103819845,0.5970649107545614,1.2391813583672047,0.7602869334042622,1.0433780284598775,0.6027123566624326,2.06622836562206,3.646630450839489,8.840571269392965,0.19231481481481483,0.4590740740740741
6,stairs down,3600,0.11620716164955879,0.17431987059017198,0.06861081719398494,0.3772555571049451,0.6016631421446784,1.259985163807869,0.7495765104518604,1.0379632138372923,0.5691611905011563,2.1000755596905916,3.5435599424356696,7.624048218131064,0.19462962962962962,0.45361111111111113
7,stairs down,3600,0.11196368024950162,0.1671071442614187,0.06667868187651035,0.3638772120699285,0.564018250778316,1.1925353705883026,0.7262560036689417,0.9627848106836648,0.5965374322012023,1.8667645014897942,3.081893944189985,6.6928119957447025,0.19319444444444445,0.446712962962963
8,discrete obstacles,3595,0.13042344223927274,0.19171890089566415,0.08001500461250535,0.4195594143122433,0.6330088846478616,1.4620755016803741,0.8158598046565594,1.1876186579527985,0.645587660555358,2.163519641641274,4.283738098997467,13.034807741641998,0.19123783031988872,0.4942512749188688
9,discrete obstacles,3598,0.1322860600180303,0.19348222865479872,0.08194824401289225,0.4279594978317615,0.6261011591553692,1.109948754310608,0.8379693994210013,1.2179237518095247,0.656860210748448,2.3244871171191273,4.435464805994012,14.125309772789478,0.18816008893829905,0.5008801185843987
