joint,joint_name,abs_error_mean,abs_error_rmse,abs_error_p50,abs_error_p95,abs_error_p99,abs_error_max,rel_error_mean,rel_error_rmse,rel_error_p50,rel_error_p95,rel_error_p99,rel_error_max,qdot_limit_rate_ge_0p98x2radps,estimated_tau_saturation_rate_ge_0p98x60nm
J1_spm1_z_yaw,spm1_platform_joint_z,0.18015985202401472,0.23681826526939234,0.14365816116333008,0.4795581907033921,0.6065016534924508,0.9876952767372131,0.8974228479929914,1.2278857233968443,0.754817496462281,2.322221779226654,4.49653644344506,9.912608414888378,0.21654210540938515,0.6397910704859279
J2_spm1_y_pitch,spm1_platform_joint_y,0.11924321339266941,0.20030202247226525,0.05178821086883548,0.4746011197566989,0.7465138834714895,1.4620755016803741,0.7134580015578982,1.1191976083570154,0.4133171695179138,2.354066958814256,4.203518588961399,9.78914774954319,0.19259300419526018,0.3806851332203484
J3_spm1_x_roll,spm1_platform_joint_x,0.08351265373241591,0.1142065680460644,0.05789781361818311,0.24264187961816783,0.32157828003168126,0.5557264983654022,0.6351641957386155,0.8489610953834806,0.5122953353051776,1.6822093215782836,2.774107173216272,6.530465073883532,0.19551023810185314,0.41183007807073596
J4_spm2_z_yaw,spm2_platform_joint_z,0.1296875528875114,0.17418727809657994,0.0942631289362907,0.36136095076799407,0.48817877978086505,0.8071000874042511,0.8617753883320579,1.2103557596278485,0.6735019421925874,2.4263842834183458,4.405809693783526,8.683768622577187,0.21957047203622926,0.533937154446698
J5_spm2_y_pitch,spm2_platform_joint_y,0.08182778798390312,0.13627749691831043,0.04356956481933599,0.2996186509728433,0.557585023641587,1.1925353705883026,0.5547965969651264,0.9992187773363354,0.2668674798227603,2.0376820666266,3.8415777997049965,14.125309772789478,0.17653432611896758,0.29639096490984357
J6_spm2_x_roll,spm2_platform_joint_x,0.1026079306830594,0.13573424315725502,0.0768640898168087,0.2792434692382813,0.3590881366655231,0.5941334664821625,0.7292046048349958,0.8766633751824877,0.6923229137236977,1.5600083745714863,2.3504478849470636,6.219183169305323,0.12960853499291528,0.5053482621620871
