scope,n,height_from_gate_mean_m,height_from_gate_p50_m,height_from_gate_p95_m,ref_saturation_rate,step_up_distance_mean_m,step_up_distance_p50_m,step_up_distance_p95_m,approach_mask_mean
all_trace,7193,0.10263585685142763,0.11488765483085848,0.15159417925078142,0.6586959544001112,0.591091544901948,0.1035984382033348,1.942209005355835,0.14180453218406786
env5,1198,0.10931998598584926,0.11813110384876699,0.14823952256317355,0.7070116861435726,0.3096792078648891,0.1035984382033348,1.942209005355835,0.1669449081803005
