phase,sample_rate,approach_mask_mean,g_step_up_mean,ref_abs_mean,badness_mean,penalty_raw_mean
"<=0.20
climb/contact",0.5655498401223412,0.0,0.8293359596996532,0.2435102478043344,0.8881630792320068,0.0
"0.20-1.20
approach",0.16251911580703463,0.8725406330196749,0.8874000546461094,0.24750824890858705,0.35145173323164647,0.00020875974564973847
">1.20
far",0.27193104407062424,0.0,0.37348872900165325,0.11249190527404866,0.5046201722652024,0.0
