Kp,Kd,GroupCount,old_gap_mean,old_error_mean,new_error_mean,error_reduction_ratio,sat_ratio,qdot_limit_rate,oscillation_score,smoothness_cost,risk_score,compatibility_pass
320,24,8,0,0.0477546773533682,0.0312664043702134,0.345261808722481,0.000156510851419032,0.32771633277685,2.83465387823186,0.25564735949647,0.166175080605527,1
80,16,8,0,0.0477546773533682,0.0343015493817674,0.281716022294028,0,0,18.378857381151,0.0363607625295105,0.225362275699179,1
500,24,8,0,0.0477546773533682,0.0281046075153776,0.41146343601147,0.00293892598775737,0.306465637173066,6.49812343619683,0.609765687973475,0.229166692326799,1
100,16,8,0,0.0477546773533682,0.0330036505816781,0.308895016525978,0,0.000173900946021146,18.7875312760634,0.0554438655935239,0.231967736461017,1
120,16,8,0,0.0477546773533682,0.031888652163934,0.332243254272911,0,0.000817334446299388,19.0888240200167,0.0779949680409882,0.238375885972298,1
160,16,8,0,0.0477546773533682,0.0300045991877975,0.371694876599375,0,0.00382582081246522,19.6914095079233,0.130910168411171,0.253100727949265,1
80,12,8,0,0.0477546773533682,0.0329753471381923,0.309487652675045,0,0.000347801892042293,21.4188907422852,0.0991906433456098,0.267002383230167,1
80,6,8,0,0.0477546773533682,0.031045813645561,0.349885579517557,0,0.00801683361157485,19.2754378648874,0.225571893769927,0.26891457104842,1
80,10,8,0,0.0477546773533682,0.0322683356617289,0.324292307643524,0,0.00132164718976071,21.5669307756464,0.139716740341511,0.275880991486495,1
220,16,8,0,0.0477546773533682,0.0277295161885145,0.41933009091114,0,0.0118078742348358,20.4003336113428,0.222142355689178,0.276161323439778,1
80,8,8,0,0.0477546773533682,0.0315766947422796,0.33877452275041,0,0.00340845854201447,20.8726021684737,0.181993409456989,0.276701398318415,1
100,12,8,0,0.0477546773533682,0.0316175868959847,0.337919429823577,0,0.00161727879799666,21.9432860717264,0.152426584205067,0.281535764454262,1
