case_name,csv_name,env_id,terrain_col,terrain_name,terrain_level,num_samples,duration_s,Kp,Kd,J_axis,B_axis,tau_load,tau_v,old_gap_mean,old_error_mean,new_error_mean,rms_target_error_new,p95_target_error_new,error_reduction_ratio,max_abs_qdot_new,qdot_limit_rate,sat_ratio,max_abs_tau_new,oscillation_score,smoothness_cost,qdot_alloc_rmse,qdot_alloc_smoothness,old_qdot_rms,new_qdot_rms,new_vs_old_qdot_ratio,risk_score,csv_path
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,80,6,0.1,0.5,0,0.04,0,0.0473947711856742,0.0309789392107222,0.0435226169086638,0.0891354797466794,0.346363777359346,2,0.00779076238174736,0,16.9299240414873,19.6246872393661,0.231057361034695,0.325004418727376,0.0282302414149232,0.586700067300011,0.512510661232571,0.873547984391994,0.273437283811322,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,80,8,0.1,0.5,0,0.04,0,0.0473947711856742,0.031501958125531,0.0443388692812887,0.0927398469895155,0.335328405698624,2,0.00278241513633834,0,13.1855994648217,21.5262718932444,0.186932024551557,0.274575744128977,0.0201476128389657,0.586700067300011,0.431443695904943,0.735373523801427,0.284151081968286,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,80,10,0.1,0.5,0,0.04,0,0.0473947711856742,0.0321891459294269,0.0454689619558149,0.0954466320971298,0.320829173257903,2,0.00111296605453534,0,9.35178506097633,22.2518765638032,0.143703205745463,0.232900326058937,0.0144946938860026,0.586700067300011,0.367617043732203,0.626584287647987,0.283448552716551,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,80,12,0.1,0.5,0,0.04,0,0.0473947711856742,0.0328973831697195,0.0466141174879549,0.0971914252079683,0.305885810887442,2,0.000278241513633834,0,5.47600363809573,22.2935779816514,0.101967795980158,0.195570579638249,0.0102205640497689,0.586700067300011,0.31357163869524,0.534466682675347,0.276226722182265,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,80,16,0.1,0.5,0,0.04,0,0.0473947711856742,0.0342247893847916,0.0487292755549382,0.101753835674184,0.277878370786681,1.72261547285248,0,0,12.1046094550202,19.1492910758966,0.0372280110706491,0.128371537809131,0.00440508848932594,0.586700067300011,0.22268943504883,0.379562654685971,0.233163302357887,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,80,24,0.1,0.5,0,0.04,0,0.0473947711856742,0.0405506064650257,0.0560425595395041,0.11165210087849,0.144407590741092,2,0.617835281023929,0,50.3329215136581,0.00834028356964137,0.021967022350698,0.107748546105538,0.00305808634787067,0.586700067300011,1.88513842816317,3.2131212066134,0.680697975818719,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,80,32,0.1,0.5,0,0.04,0,0.0473947711856742,0.0605114731353906,0.077779648928675,0.138275012092586,-0.276754199283509,2,0.994991652754591,0.786867000556483,60,0,0.00122988733774585,0.0477449935495804,0.000426363150591342,0.586700067300011,1.99813969059896,3.40572602930554,2.97798315579211,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,100,6,0.1,0.5,0,0.04,0,0.0473947711856742,0.029726215197969,0.0419106418836133,0.0850512079790767,0.372795469746793,2,0.0144685587089594,0,23.9696548413967,20.0667222685571,0.352666666357306,0.395661905049062,0.0418367573552774,0.586700067300011,0.608224808242758,1.03668781059086,0.300926771155002,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,100,8,0.1,0.5,0,0.04,0,0.0473947711856742,0.0301733560048798,0.0424625477869192,0.0874269000604875,0.363361078658396,2,0.00765164162493044,0,20.3041482225935,21.9349457881568,0.285929061790558,0.33654969057408,0.0302675062568097,0.586700067300011,0.516643922641868,0.880592915251331,0.306708626244559,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,100,10,0.1,0.5,0,0.04,0,0.0473947711856742,0.030828171156382,0.0434347306610618,0.0906531946952026,0.349544888915926,2,0.00347801892042293,0,16.5210322485649,22.9107589658048,0.220450170491063,0.286809404699534,0.0219808690597346,0.586700067300011,0.442614131645555,0.754412955298372,0.304025794912643,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,100,12,0.1,0.5,0,0.04,0,0.0473947711856742,0.0315385030706856,0.044549833622501,0.0934318323113469,0.334557330235227,2,0.00139120756816917,0,12.6769960604246,22.5604670558799,0.156951144316363,0.241285271251816,0.015556967264714,0.586700067300011,0.37798332814081,0.644253084681388,0.288533402492757,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,100,16,0.1,0.5,0,0.04,0,0.0473947711856742,0.0329266172251922,0.0467202791239737,0.0978196676007915,0.30526899061927,2,0.000278241513633834,0,15.6196369756319,19.5496246872394,0.0567676154677102,0.157725332548232,0.0066496880639082,0.586700067300011,0.266468785238682,0.454182298742472,0.239776387191128,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,100,24,0.1,0.5,0,0.04,0,0.0473947711856742,0.0395255116542947,0.0542333426012498,0.108297981094352,0.166036449475636,2,0.557178631051753,0,50.6640297105111,0.108423686405338,0.0357878147753766,0.13923566193318,0.00513564629061913,0.586700067300011,1.85175403886542,3.15621923717715,0.562124573576929,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,100,32,0.1,0.5,0,0.04,0,0.0473947711856742,0.0672689436800008,0.0837434716504616,0.154089789899582,-0.419332597186034,2,0.989287701725097,0.652476349471341,60,0,0.00251975062813527,0.0526605654748688,0.000563897966968065,0.586700067300011,1.99605439758414,3.40217175493087,2.98996619057057,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,120,6,0.1,0.5,0,0.04,0,0.0473947711856742,0.0286159830839219,0.040569007671547,0.0812962690422985,0.396220672280163,2,0.0250417362270451,0,31.0205456286738,20.6338615512927,0.492239931966785,0.460897098938141,0.0567666448042115,0.586700067300011,0.694705756909912,1.18409012650526,0.333402584990206,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,120,8,0.1,0.5,0,0.04,0,0.0473947711856742,0.02899613479054,0.0409759566201385,0.083605631506622,0.388199709268677,2,0.0126599888703395,0,27.4099285364129,22.4520433694746,0.400864786135587,0.39426680235213,0.0415373787765056,0.586700067300011,0.594314744059748,1.0129788237366,0.333689525712403,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,120,10,0.1,0.5,0,0.04,0,0.0473947711856742,0.0296508525557373,0.0417974377362387,0.0865969429348071,0.374385574316271,2,0.00751252086811352,0,23.6692276335664,23.3861551292744,0.309186408546203,0.337356270390557,0.030410478383455,0.586700067300011,0.511650559230276,0.872081984897135,0.325349685557722,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,120,12,0.1,0.5,0,0.04,0,0.0473947711856742,0.0303666242368013,0.0428363828788807,0.0892018656569092,0.359283239962553,2,0.00347801892042293,0,19.8569487820362,23.2026688907423,0.220124151935474,0.284525472967916,0.0216320729960146,0.586700067300011,0.438024605015284,0.746590343906164,0.306418143531319,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
stage0_model200_flat_col00_flat_env0,stage0_model200_flat_col00_flat.csv,0,0,flat,0,1198,19.9833333333333,120,16,0.1,0.5,0,0.04,0,0.0473947711856742,0.0318143116871512,0.045031488932968,0.0940741536780543,0.32873794110082,2,0.000695603784084585,0,17.35449699146,19.7247706422018,0.080101111332208,0.186253315677266,0.0092724135741787,0.586700067300011,0.308020126868452,0.525004417139337,0.245082240375611,/home/ubuntu/Graduation-Project/results/stage0_model200_ball_joint_pd_matlab/raw_traces/stage0_model200_flat_col00_flat.csv
