group,tag,count,first_step,last_step,first_value,last_value,delta,min_value,max_value,mean_value,csv_path
episode,episode/tracking_ang_vel,600,0,599,7.289003372192383,1174.7696533203125,1167.4806499481201,7.289003372192383,1342.4036865234375,823.9615726216634,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode__tracking_ang_vel.csv
episode,episode/tracking_lin_vel,600,0,599,34.33767318725586,1871.82421875,1837.4865455627441,34.33767318725586,2038.7010498046875,1645.8340765190123,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode__tracking_lin_vel.csv
episode_per_step,episode_per_step/action_rate,600,0,599,-0.0008845239644870162,-0.022034991532564163,-0.021150467568077147,-0.0444442555308342,-0.0008845239644870162,-0.02233353137698335,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_per_step__action_rate.csv
episode_per_step,episode_per_step/ball_joint_limit_soft,600,0,599,0.0,-0.00023544095165561885,-0.00023544095165561885,-0.011047887615859509,0.0,-0.0005598801474010769,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_per_step__ball_joint_limit_soft.csv
episode_per_step,episode_per_step/orientation,600,0,599,-0.0004361750034149736,-0.02625977247953415,-0.025823597476119176,-0.13512103259563446,-0.0004361750034149736,-0.04937159555018297,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_per_step__orientation.csv
episode_per_step,episode_per_step/termination,600,0,599,0.0,0.0,0.0,-0.02250637114048004,0.0,-0.001114121763894218,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_per_step__termination.csv
episode_per_step,episode_per_step/tracking_ang_vel,600,0,599,0.007600629702210426,1.224994421005249,1.2173937913030386,0.007600629702210426,1.3997952938079834,0.926779679597045,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_per_step__tracking_ang_vel.csv
episode_per_step,episode_per_step/tracking_lin_vel,600,0,599,0.035805702209472656,1.9518499374389648,1.9160442352294922,0.035805702209472656,2.125861644744873,1.8562565476074815,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_per_step__tracking_lin_vel.csv
episode_reset,episode_reset/bad_orientation_rate,600,0,599,0.0,0.0,0.0,0.0,0.0,0.0,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_reset__bad_orientation_rate.csv
episode_reset,episode_reset/ball_joint_limit_rate,600,0,599,0.0,0.0,0.0,0.0,1.0,0.15385417085606604,/home/ubuntu/Graduation-Project/RL_Training/logs/rsl_rl/complete_car_stage0/2026-04-14_14-04-19_soft_limit_v1_orient3_lin22/tensorboard_export/scalars/episode_reset__ball_joint_limit_rate.csv
