J_axis,B_axis,tau_load,calibration_score,calibration_error_mean,calibration_rmse,calibration_relative_error_mean,calibration_sat_ratio,calibration_qdot_limit_rate,calibration_max_norm
0.125,19.5,-1.0,0.0798900555678558,0.05990309405138584,0.07960417832118061,0.558308918502126,0.000969154007382264,0.004748390926121715,1.0
0.11,16.0,-1.0,0.0799631311892817,0.05969072293816644,0.07945745537825281,0.5534845096046193,0.0009552427058408918,0.009158273514736706,1.0
0.12,18.5,-1.0,0.07998850843709676,0.0594705733902815,0.07911047345481048,0.5540783486852425,0.0009598798063546825,0.01660081983937084,1.0
0.125,19.5,-2.0,0.08002785156570445,0.06001834386731113,0.07973919205872097,0.5586599046866583,0.001024799213547753,0.004748390926121715,1.0
0.12,18.5,-2.0,0.080032490277565,0.05950944483576509,0.07915236860004751,0.5538916666759655,0.0009969766104650085,0.01660545693988463,1.0
0.11,16.0,-2.0,0.08007237102799634,0.05981032945248524,0.07956437666671057,0.553983247424954,0.0010016137109787992,0.009158273514736706,1.0
0.14,20.0,-1.0,0.08015433804446102,0.0600701806479729,0.07989396485061168,0.5586333176757804,0.0009737911078960548,0.004233672769090943,1.0
0.135,20.0,-1.0,0.08016133677647863,0.06008171644708931,0.07990096358262928,0.5590118830428107,0.0009737911078960548,0.004233672769090943,1.0
0.14,19.5,-1.0,0.0801644767447292,0.060056605207833576,0.07988856926415865,0.5580163418980896,0.0009737911078960548,0.0045443585035149225,1.0
0.135,19.5,-1.0,0.08016727936198224,0.060060551788673144,0.0798913718814117,0.558263454201777,0.0009737911078960548,0.0045443585035149225,1.0
0.13,20.0,-1.0,0.08017614235509779,0.06012180685949472,0.07991716029140258,0.5599332204075088,0.0009737911078960548,0.004205850166008198,1.0
0.13,19.5,-1.0,0.08017794939637546,0.06008422225793148,0.0799022737708306,0.5588984841397783,0.000969154007382264,0.0045443585035149225,1.0
0.14,19.0,-1.0,0.08018509382499933,0.06004848366856614,0.07989017423232224,0.5574434861590514,0.000969154007382264,0.004929237846159553,1.0
0.135,19.0,-1.0,0.08018572561644775,0.060048089670848,0.07989080602377066,0.5576023682467871,0.000969154007382264,0.004929237846159553,1.0
0.115,17.0,-1.0,0.08018901453612681,0.06000382999820796,0.07980946785907304,0.5567688238772707,0.000969154007382264,0.0066217795336931725,1.0
0.125,19.0,-1.0,0.0801893941360037,0.06009296946481216,0.07989447454332661,0.5590075294502048,0.0009784282084098455,0.0049199636451319724,1.0
0.13,19.0,-1.0,0.08018993089261599,0.06005928578383036,0.07989570686501596,0.5580278262248426,0.0009737911078960548,0.004910689444104391,1.0
0.12,18.0,-1.0,0.0802055582548746,0.060065229649047175,0.0798730781480358,0.5580536729963543,0.0009784282084098455,0.005671173928366071,1.0
0.135,18.5,-1.0,0.08021157342340969,0.06004272694459904,0.07989810542867744,0.5570074745011635,0.0009784282084098455,0.005290931686235231,1.0
0.13,18.5,-1.0,0.08021176246234216,0.06004619191256939,0.07989922188771266,0.557288871025672,0.0009737911078960548,0.005277020384693859,1.0
0.14,18.5,-1.0,0.08021184494027787,0.0600455424039765,0.07989860880057131,0.5569087079454357,0.0009737911078960548,0.005290931686235231,1.0
0.125,18.5,-1.0,0.08021622972078388,0.060068273200167506,0.07990392100118007,0.5579888677596346,0.0009737911078960548,0.005272383284180068,1.0
0.13,18.0,-1.0,0.08024622905511689,0.06004245138301054,0.07991212596309827,0.5566468869006284,0.0009784282084098455,0.005703633631962607,1.0
0.135,18.0,-1.0,0.08024715865540696,0.060043447320119674,0.07991282370836265,0.556463993342621,0.0009784282084098455,0.005708270732476398,1.0
0.125,18.0,-1.0,0.08024740208379467,0.06005250985687469,0.07991329899177606,0.5571214883807628,0.0009784282084098455,0.005703633631962607,1.0
0.14,18.0,-1.0,0.08024798719893657,0.06004723027599866,0.07991365225189226,0.5564055239129624,0.0009784282084098455,0.005708270732476398,1.0
0.12,17.5,-1.0,0.08028029037515336,0.060065800479808355,0.07992532033082268,0.557146495902663,0.0009784282084098455,0.006120972678203773,1.0
0.125,17.5,-1.0,0.08028751509516767,0.060048147581359165,0.07993184948575992,0.5563905047699758,0.0009784282084098455,0.006134883979745145,1.0
0.13,17.5,-1.0,0.08028928876704744,0.06004617960217832,0.07993362315763969,0.5560769408942988,0.0009737911078960548,0.006139521080258936,1.0
0.135,17.5,-1.0,0.08029074152485967,0.06004920742889768,0.07993484406042622,0.5559586109352618,0.0009737911078960548,0.006144158180772727,1.0
0.14,17.5,-1.0,0.08029162883244008,0.060053176346325565,0.07993549951298096,0.5559275705819767,0.0009737911078960548,0.006148795281286518,1.0
0.12,17.0,-1.0,0.08033758345232862,0.060060922264578334,0.0799547908049152,0.5562846830817111,0.0009784282084098455,0.006677424739858662,1.0
0.125,17.0,-1.0,0.08034186291631937,0.060053515703494535,0.07995976583398301,0.5557644258967555,0.0009784282084098455,0.006663513438317289,1.0
0.13,17.0,-1.0,0.08034431132977357,0.060055960168161254,0.07996290981251428,0.555559708333073,0.0009784282084098455,0.006649602136775917,1.0
0.135,17.0,-1.0,0.08034599577057418,0.060059936536059066,0.07996413054326351,0.5554864284101966,0.0009784282084098455,0.006658876337803499,1.0
0.14,17.0,-1.0,0.08034643460001678,0.060063549295825955,0.07996433751768042,0.5554735145879822,0.0009737911078960548,0.00666815053883108,1.0
0.14,20.0,-2.0,0.08036618888666,0.06024011213257053,0.08010326528752806,0.55940005198769,0.0010294363140615436,0.004229035668577152,1.0
0.115,16.5,-1.0,0.0803709415071411,0.06007482883545619,0.07996426779208164,0.5563496877656205,0.000969154007382264,0.007164320293806689,1.0
0.135,20.0,-2.0,0.08037284878252346,0.06025095164236488,0.08010946147334015,0.5597696972865658,0.0010387105150891252,0.004229035668577152,1.0
0.115,17.0,-2.0,0.0803775612044616,0.06018972106646603,0.07999546412212524,0.5577080203692626,0.001024799213547753,0.006617142433179382,1.0
0.14,19.5,-2.0,0.0803789564947665,0.06023280231190212,0.08010003489886199,0.5588377275840553,0.0010340734145753343,0.0045443585035149225,1.0
0.135,19.5,-2.0,0.08038144142011601,0.06023631425127305,0.08010228796918581,0.5590808050812496,0.0010387105150891252,0.0045443585035149225,1.0
0.13,20.0,-2.0,0.08038261259673904,0.060287205346342035,0.08012038456268418,0.5606507568583783,0.0010433476156029159,0.004201213065494408,1.0
0.13,19.5,-2.0,0.08039021972594863,0.06025883829017666,0.08011129813004413,0.5596995015264626,0.0010340734145753343,0.0045443585035149225,1.0
0.125,19.0,-2.0,0.08039570813919357,0.06026927011012648,0.08009800628620821,0.5598211745648226,0.0010387105150891252,0.0049153265446181815,1.0
0.12,16.5,-1.0,0.08039833875205774,0.06006682191364079,0.07999050576186983,0.5555655466005374,0.000969154007382264,0.007187505796375643,1.0
0.14,19.0,-2.0,0.08040202568713845,0.06023114658924174,0.0801038601241017,0.5583213209677982,0.0010387105150891252,0.0049246007456457625,1.0
0.135,19.0,-2.0,0.08040222459134545,0.06023037840480365,0.08010405902830871,0.5584780025639461,0.0010387105150891252,0.0049246007456457625,1.0
0.125,16.5,-1.0,0.08040444032756246,0.06006729217848508,0.07999660733737456,0.5552205400985133,0.000969154007382264,0.007187505796375643,1.0
0.13,19.0,-2.0,0.08040525306537726,0.06024102553199123,0.08010801492244327,0.5588948401856378,0.0010387105150891252,0.0049060523435906,1.0
0.13,16.5,-1.0,0.08040648877496194,0.06007172069730706,0.07999981505990249,0.5550881078444335,0.0009645169068684733,0.007168957394320479,1.0
0.135,16.5,-1.0,0.08040780591297485,0.06007580289971568,0.08000066848786402,0.5550450890386915,0.0009645169068684733,0.007178231595348061,1.0
0.14,16.5,-1.0,0.08040845058997419,0.0600787464741651,0.08000038574476061,0.55504380273314,0.000969154007382264,0.007192142896889433,1.0
0.12,18.0,-2.0,0.08040903657247013,0.06025045733167453,0.08007354235029737,0.5589542948310136,0.0010340734145753343,0.005675811028879862,1.0
0.135,18.5,-2.0,0.08042874014965003,0.06023137849329332,0.08011364916973794,0.5579402981317846,0.0010201621130339622,0.00528165748520765,1.0
0.13,18.5,-2.0,0.08042924679677904,0.06023442187627836,0.08011415581686696,0.5582167615029724,0.0010294363140615436,0.005272383284180068,1.0
0.14,18.5,-2.0,0.08042960336166154,0.06023446087040888,0.08011451238174945,0.5578425442819526,0.0010201621130339622,0.00528165748520765,1.0
0.125,18.5,-2.0,0.08043154069959949,0.060255305177053645,0.08011621786466172,0.5588992648772465,0.0010387105150891252,0.005267746183666278,1.0
0.115,16.0,-1.0,0.08045856663509403,0.060085603832423354,0.08002105620161787,0.5555216406072162,0.000969154007382264,0.007781054662140857,1.0
0.13,18.0,-2.0,0.08046549879547245,0.0602371100538966,0.0801295408632483,0.5576343173913266,0.0010201621130339622,0.005698996531448816,1.0
0.125,18.0,-2.0,0.0804660371096684,0.06024685963400885,0.08012961546739289,0.5581025224112808,0.001024799213547753,0.005703633631962607,1.0
0.135,18.0,-2.0,0.08046687606159098,0.06023834825743007,0.08013068627434114,0.5574530274157333,0.0010201621130339622,0.005703633631962607,1.0
0.14,18.0,-2.0,0.0804679989744612,0.06024247987241546,0.08013180918721137,0.5573960831504619,0.0010201621130339622,0.005703633631962607,1.0
0.12,16.0,-1.0,0.08047350482560661,0.06008330287018662,0.08003553068207908,0.5549648830761451,0.0009645169068684733,0.007794965963682229,1.0
0.125,16.0,-1.0,0.08048019928255559,0.06008814800430399,0.08004199328400237,0.5547405965315825,0.0009645169068684733,0.00779960306419602,1.0
0.11,15.5,-1.0,0.08048370089551955,0.06009262922777361,0.08001604930870376,0.5555820944710849,0.0009645169068684733,0.008388514829447443,1.0
0.13,16.0,-1.0,0.08048395452856015,0.0600930640194342,0.08004458925487848,0.554655214597078,0.000969154007382264,0.007818151466251182,1.0
