wall_time,step,value
1776420165.7387238,0,20.799596786499023
1776420167.3077638,1,20.799596786499023
1776420168.8788886,2,20.799596786499023
1776420170.5235093,3,20.799596786499023
1776420172.2230318,4,20.300235748291016
1776420173.7831635,5,-27.139171600341797
1776420175.3444479,6,-27.139171600341797
1776420176.9376023,7,-25.913320541381836
1776420178.6358967,8,-25.408559799194336
1776420180.215224,9,-25.408559799194336
1776420181.7429233,10,-25.408559799194336
1776420183.2758524,11,-25.408559799194336
1776420184.8034022,12,-3.6959381103515625
1776420186.3468654,13,5.244552135467529
1776420187.9880376,14,5.244552135467529
1776420189.6460083,15,5.244552135467529
1776420191.3632615,16,5.244552135467529
1776420192.9530435,17,-18.057861328125
1776420194.5012054,18,-27.65297508239746
1776420196.1533613,19,-27.65297508239746
1776420197.9319735,20,-27.65297508239746
1776420199.7444124,21,-27.65297508239746
1776420201.5755644,22,-0.8538288474082947
1776420203.105369,23,9.632792472839355
1776420204.6346562,24,9.632792472839355
1776420206.166336,25,9.632792472839355
1776420207.7341096,26,9.632792472839355
1776420209.394872,27,14.831096649169922
1776420210.9385824,28,16.865215301513672
1776420212.4797163,29,16.865215301513672
1776420214.0146852,30,16.865215301513672
1776420215.7028575,31,16.865215301513672
1776420217.499378,32,15.720553398132324
1776420219.18631,33,15.272639274597168
1776420220.912381,34,15.272639274597168
1776420222.560567,35,15.272639274597168
1776420224.221166,36,15.272639274597168
1776420225.922111,37,-13.0101318359375
1776420227.5485663,38,-23.51516342163086
1776420229.1469345,39,-23.51516342163086
1776420230.7347052,40,-23.51516342163086
1776420232.323291,41,-23.51516342163086
1776420233.9405057,42,-18.259260177612305
1776420235.555275,43,-16.30706787109375
1776420237.1585886,44,-16.30706787109375
1776420238.758234,45,-16.30706787109375
1776420240.3409839,46,-16.30706787109375
1776420241.9607065,47,4.359692573547363
1776420243.5639098,48,12.035917282104492
1776420245.1532035,49,12.035917282104492
1776420246.7551188,50,12.035917282104492
1776420248.3452117,51,12.035917282104492
1776420249.9580834,52,-11.362579345703125
1776420251.5614338,53,-19.601486206054688
1776420253.1627023,54,-19.601486206054688
1776420254.759065,55,-19.601486206054688
1776420256.3647182,56,-19.601486206054688
1776420257.931626,57,-8.888235092163086
1776420259.537169,58,-5.115962028503418
1776420261.1396537,59,-5.115962028503418
1776420262.735111,60,-5.115962028503418
1776420264.3188524,61,-5.115962028503418
1776420265.944462,62,-21.35760498046875
1776420267.5370233,63,-27.07649040222168
1776420269.1256328,64,-27.07649040222168
1776420270.7541697,65,-27.07649040222168
1776420272.3763516,66,-27.07649040222168
1776420274.0209882,67,-15.079218864440918
1776420275.6725662,68,-11.080129623413086
1776420277.2846644,69,-11.080129623413086
1776420278.8841689,70,-11.080129623413086
1776420280.4822657,71,-11.080129623413086
1776420282.0749934,72,15.368728637695312
1776420283.6639402,73,24.185016632080078
1776420285.256115,74,24.185016632080078
1776420286.8671758,75,24.185016632080078
1776420288.4604352,76,24.185016632080078
1776420290.0557866,77,-7.453125
1776420291.6575541,78,-17.99917221069336
1776420293.2609587,79,-17.99917221069336
1776420294.8730085,80,-17.99917221069336
1776420296.4779687,81,-17.99917221069336
1776420298.0898638,82,-23.163352966308594
1776420299.7219133,83,-24.79042625427246
1776420301.3838997,84,-24.79042625427246
1776420303.0080972,85,-24.79042625427246
1776420304.6225703,86,-24.79042625427246
1776420306.2504396,87,-20.196043014526367
1776420307.8947182,88,-18.74850082397461
1776420309.5044088,89,-18.74850082397461
1776420311.1199043,90,-18.74850082397461
1776420312.7287445,91,-18.74850082397461
1776420314.3225796,92,-16.024839401245117
1776420315.8980033,93,-15.166698455810547
1776420317.554462,94,-15.166698455810547
1776420319.1595848,95,-15.166698455810547
1776420320.757847,96,-15.166698455810547
1776420322.3382027,97,-15.658343315124512
1776420323.920347,98,-15.8045072555542
1776420325.4914107,99,-15.8045072555542
1776420327.0610237,100,-15.8045072555542
1776420328.6292372,101,-15.8045072555542
1776420330.227626,102,-17.777545928955078
1776420331.8829553,103,-18.364124298095703
1776420333.5026286,104,-18.364124298095703
1776420335.1080043,105,-18.364124298095703
1776420336.687867,106,-18.364124298095703
1776420338.322556,107,11.504032135009766
1776420339.9455345,108,20.38375473022461
1776420341.5385897,109,20.38375473022461
1776420343.146074,110,20.38375473022461
1776420344.7209308,111,20.38375473022461
1776420346.3344207,112,7.406739711761475
1776420347.9484692,113,3.7731757164001465
1776420349.5378876,114,3.7731757164001465
1776420351.143028,115,3.7731757164001465
1776420352.7570257,116,3.7731757164001465
1776420354.3402245,117,-18.15528106689453
1776420355.9285178,118,-24.295249938964844
1776420357.5082033,119,-24.295249938964844
1776420359.0847156,120,-24.295249938964844
1776420360.6877189,121,-24.295249938964844
1776420362.2575774,122,-25.077011108398438
1776420363.8536599,123,-25.2959041595459
1776420365.403572,124,-25.2959041595459
1776420367.0020063,125,-25.2959041595459
1776420368.5682209,126,-25.2959041595459
1776420370.1516387,127,-20.108373641967773
1776420371.7329867,128,-18.74323272705078
1776420373.2906752,129,-18.74323272705078
1776420374.8694766,130,-18.74323272705078
1776420376.434602,131,-18.74323272705078
1776420377.9893477,132,-12.892244338989258
1776420379.5657175,133,-11.352511405944824
1776420381.1385858,134,-11.352511405944824
1776420382.7208128,135,-11.352511405944824
1776420384.2824326,136,-11.352511405944824
1776420385.8731372,137,18.005245208740234
1776420387.466951,138,25.730968475341797
1776420389.034278,139,25.730968475341797
1776420390.6100218,140,25.730968475341797
1776420392.2003036,141,25.730968475341797
1776420393.7884586,142,18.02368927001953
1776420395.363103,143,16.12189483642578
1776420396.9261765,144,16.12189483642578
1776420398.513879,145,16.12189483642578
1776420400.0896904,146,16.12189483642578
1776420401.6576154,147,-13.234672546386719
1776420403.236766,148,-20.478504180908203
1776420404.8191798,149,-20.478504180908203
1776420406.387899,150,-20.478504180908203
1776420407.9461946,151,-20.478504180908203
1776420409.5161343,152,19.181303024291992
1776420411.093432,153,28.96748924255371
1776420412.6589048,154,28.96748924255371
1776420414.24618,155,28.96748924255371
1776420415.820638,156,28.96748924255371
1776420417.3830001,157,-9.169248580932617
1776420418.9585762,158,-17.970035552978516
1776420420.543914,159,-17.970035552978516
1776420422.1430767,160,-17.970035552978516
1776420423.7191727,161,-17.970035552978516
1776420425.286936,162,-20.967533111572266
1776420426.8767507,163,-21.65926170349121
1776420428.4567893,164,-21.65926170349121
1776420430.0309353,165,-21.65926170349121
1776420431.595538,166,-21.65926170349121
1776420433.185454,167,-18.29273796081543
1776420434.760229,168,-17.515850067138672
1776420436.330613,169,-17.515850067138672
1776420437.904934,170,-17.515850067138672
1776420439.4664917,171,-17.515850067138672
1776420441.0569348,172,5.592641353607178
1776420442.6468532,173,10.565353393554688
1776420444.2132561,174,10.565353393554688
1776420445.7879992,175,10.565353393554688
1776420447.3550065,176,10.565353393554688
1776420448.9291308,177,11.148321151733398
1776420450.5148814,178,11.27376937866211
1776420452.0860035,179,11.27376937866211
1776420453.6780312,180,11.27376937866211
1776420455.246112,181,11.27376937866211
1776420456.819995,182,10.215742111206055
1776420458.4264262,183,9.988065719604492
1776420459.9730062,184,9.988065719604492
1776420461.548193,185,9.988065719604492
1776420463.120482,186,9.988065719604492
1776420464.7065856,187,14.090253829956055
1776420466.268591,188,14.910690307617188
1776420467.8352847,189,14.910690307617188
1776420469.4374154,190,14.910690307617188
1776420471.0205266,191,14.910690307617188
