step,time_s,env_id,episode_index,is_done,done_reason,terrain_col,terrain_name,terrain_level,row_progress,root_x,root_y,root_z,vx_cmd_raw,yaw_rate_cmd_raw,vx_cmd_limited,yaw_rate_cmd_limited,wheel_speed_reference_abs_mean,wheel_torque_target_abs_mean,contact_weight_mean,rolling_speed_actual_mean,lateral_speed_actual_abs_mean,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,q_desired_spm1_platform_joint_z,q_position_target_spm1_platform_joint_z,q_actual_spm1_platform_joint_z,qdot_actual_spm1_platform_joint_z,qdot_alloc_spm1_platform_joint_z,q_desired_minus_position_target_spm1_platform_joint_z,q_desired_minus_actual_spm1_platform_joint_z,q_position_target_minus_actual_spm1_platform_joint_z,q_desired_spm1_platform_joint_y,q_position_target_spm1_platform_joint_y,q_actual_spm1_platform_joint_y,qdot_actual_spm1_platform_joint_y,qdot_alloc_spm1_platform_joint_y,q_desired_minus_position_target_spm1_platform_joint_y,q_desired_minus_actual_spm1_platform_joint_y,q_position_target_minus_actual_spm1_platform_joint_y,q_desired_spm1_platform_joint_x,q_position_target_spm1_platform_joint_x,q_actual_spm1_platform_joint_x,qdot_actual_spm1_platform_joint_x,qdot_alloc_spm1_platform_joint_x,q_desired_minus_position_target_spm1_platform_joint_x,q_desired_minus_actual_spm1_platform_joint_x,q_position_target_minus_actual_spm1_platform_joint_x,q_desired_spm2_platform_joint_z,q_position_target_spm2_platform_joint_z,q_actual_spm2_platform_joint_z,qdot_actual_spm2_platform_joint_z,qdot_alloc_spm2_platform_joint_z,q_desired_minus_position_target_spm2_platform_joint_z,q_desired_minus_actual_spm2_platform_joint_z,q_position_target_minus_actual_spm2_platform_joint_z,q_desired_spm2_platform_joint_y,q_position_target_spm2_platform_joint_y,q_actual_spm2_platform_joint_y,qdot_actual_spm2_platform_joint_y,qdot_alloc_spm2_platform_joint_y,q_desired_minus_position_target_spm2_platform_joint_y,q_desired_minus_actual_spm2_platform_joint_y,q_position_target_minus_actual_spm2_platform_joint_y,q_desired_spm2_platform_joint_x,q_position_target_spm2_platform_joint_x,q_actual_spm2_platform_joint_x,qdot_actual_spm2_platform_joint_x,qdot_alloc_spm2_platform_joint_x,q_desired_minus_position_target_spm2_platform_joint_x,q_desired_minus_actual_spm2_platform_joint_x,q_position_target_minus_actual_spm2_platform_joint_x
0,0.0,8,0,0,,8,discrete obstacles,11,0.0,93.05856323242188,68.0159912109375,0.14916078746318817,-0.15329229831695557,0.4301724135875702,-0.15329229831695557,0.4301724135875702,0.6309971809387207,1.3375219106674194,0.5,0.009904320351779461,0.006473317742347717,-0.07664614915847778,0.2150862067937851,-0.048510145395994186,-0.23266363143920898,0.010462338104844093,0.04428069293498993,-0.41457897424697876,0.2434006631374359,-0.0339571014046669,-0.0339571014046669,-0.04973440617322922,0.05977785214781761,-0.05195288360118866,0.0,0.015777304768562317,0.015777304768562317,-0.37226182222366333,-0.37226182222366333,-0.4020099937915802,0.07463201880455017,-0.3879392445087433,0.0,0.02974817156791687,0.02974817156791687,0.005231169052422047,0.005231169052422047,0.010262693278491497,-0.13720718026161194,0.11728896200656891,0.0,-0.00503152422606945,-0.00503152422606945,0.03099648468196392,0.03099648468196392,0.04703812301158905,0.08059746026992798,0.08861777931451797,0.0,-0.01604163832962513,-0.01604163832962513,-0.6633263826370239,-0.6633263826370239,-0.8080254793167114,0.07257234305143356,-0.3809957206249237,0.0,0.1446990966796875,0.1446990966796875,0.12170033156871796,0.12170033156871796,0.025574875995516777,-0.020675938576459885,0.16465766727924347,0.0,0.09612545557320118,0.09612545557320118
0,0.0,18,0,0,,8,discrete obstacles,11,0.0,93.01546478271484,68.03377532958984,0.15122631192207336,0.3488309979438782,-0.4559589624404907,0.3488309979438782,-0.4559589624404907,3.130756378173828,6.089601039886475,0.4504484534263611,0.008317232131958008,0.04731108248233795,0.1744154989719391,-0.22797948122024536,0.06619434058666229,-0.23432114720344543,0.5820373296737671,-0.49777644872665405,-0.03793094679713249,0.1252615600824356,0.046336036175489426,0.046336036175489426,0.02524527721107006,0.7627208232879639,0.749448835849762,0.0,0.021090758964419365,0.021090758964419365,-0.3749138414859772,-0.3749138414859772,-0.2273004949092865,0.04178887605667114,-0.937286376953125,0.0,-0.14761334657669067,-0.14761334657669067,0.29101866483688354,0.29101866483688354,0.06195897236466408,0.6270171999931335,0.8192694783210754,0.0,0.22905969247221947,0.22905969247221947,-0.34844350814819336,-0.34844350814819336,-0.09141219407320023,-1.8326886892318726,-1.3490946292877197,0.0,-0.25703131407499313,-0.25703131407499313,-0.06068951636552811,-0.06068951636552811,-0.6267858743667603,0.2291073203086853,-1.0197725296020508,0.0,0.5660963580012321,0.5660963580012321,0.0626307800412178,0.0626307800412178,-0.019734404981136322,-0.1325899362564087,-0.5279157161712646,0.0,0.08236518502235413,0.08236518502235413
0,0.0,28,0,0,,8,discrete obstacles,11,0.0,93.09740447998047,68.04193878173828,0.14529374241828918,0.6123383045196533,0.34875741600990295,0.3999999761581421,0.34875741600990295,1.9362596273422241,3.0539426803588867,0.3333333432674408,0.10940499603748322,0.04785911366343498,0.30616915225982666,0.17437870800495148,-0.3132967948913574,-0.21059103310108185,-0.12860436737537384,0.11295200139284134,-0.13805538415908813,0.14770545065402985,-0.21930775046348572,-0.21930775046348572,-0.11524710059165955,-0.6364591121673584,0.18932121992111206,0.0,-0.10406064987182617,-0.10406064987182617,-0.33694565296173096,-0.33694565296173096,-0.1662817895412445,-0.815320611000061,-0.05638235807418823,0.0,-0.17066386342048645,-0.17066386342048645,-0.06430218368768692,-0.06430218368768692,0.07373528927564621,-0.42465341091156006,-0.5094071626663208,0.0,-0.13803747296333313,-0.13803747296333313,0.07906640321016312,0.07906640321016312,-0.01723145693540573,0.8576966524124146,-0.05274391174316406,0.0,0.09629786014556885,0.09629786014556885,-0.22088861465454102,-0.22088861465454102,-0.3543262183666229,0.7668217420578003,1.289713978767395,0.0,0.1334376037120819,0.1334376037120819,0.07385272532701492,0.07385272532701492,-0.001968831056728959,-0.03283008933067322,-0.03449162095785141,0.0,0.07582155638374388,0.07582155638374388
1,0.016666666666666666,8,0,0,,8,discrete obstacles,11,0.0,93.05866241455078,68.01597595214844,0.1491050124168396,-0.18053297698497772,0.6464455723762512,-0.18053297698497772,0.6464455723762512,0.8252266645431519,0.8044294714927673,0.5,0.009207305498421192,0.008155103772878647,-0.09026648849248886,0.3232227861881256,-0.03909830376505852,-0.2541716694831848,-0.06734714657068253,0.05965602770447731,-0.3593796193599701,0.24959412217140198,-0.027368811890482903,-0.027368811890482903,-0.04932218790054321,0.036249224096536636,-0.01387958787381649,0.0,0.02195337601006031,0.02195337601006031,-0.40667468309402466,-0.40667468309402466,-0.3978709280490875,0.4387664496898651,-0.2303137332201004,0.0,-0.008803755044937134,-0.008803755044937134,-0.03367357328534126,-0.03367357328534126,0.006561648566275835,-0.3357160687446594,0.030567016452550888,0.0,-0.0402352218516171,-0.0402352218516171,0.04175921902060509,0.04175921902060509,0.050117336213588715,0.18722204864025116,0.08588477969169617,0.0,-0.008358117192983627,-0.008358117192983627,-0.5750073790550232,-0.5750073790550232,-0.8050719499588013,0.4444020688533783,-0.22643816471099854,0.0,0.23006457090377808,0.23006457090377808,0.12479706108570099,0.12479706108570099,0.024352282285690308,-0.06440552324056625,0.10150349885225296,0.0,0.10044477880001068,0.10044477880001068
1,0.016666666666666666,18,0,0,,8,discrete obstacles,11,0.0,93.01604461669922,68.03463745117188,0.15155494213104248,0.033538155257701874,-0.3978556990623474,0.033538155257701874,-0.3978556990623474,2.196500539779663,8.354227066040039,0.6666666865348816,0.01862574927508831,0.04906095191836357,0.016769077628850937,-0.1989278495311737,0.10062827169895172,-0.21350207924842834,0.17987339198589325,-0.2909201979637146,-0.044198036193847656,0.20835793018341064,0.07043978571891785,0.07043978571891785,0.03853465989232063,0.8080286383628845,0.7539713382720947,0.0,0.031905125826597214,0.031905125826597214,-0.3416033387184143,-0.3416033387184143,-0.21708258986473083,0.6569214463233948,-0.6036572456359863,0.0,-0.12452074885368347,-0.12452074885368347,0.08993669599294662,0.08993669599294662,0.06788202375173569,0.39472484588623047,0.753757655620575,0.0,0.022054672241210938,0.022054672241210938,-0.20364414155483246,-0.20364414155483246,-0.11943406611680984,-1.9261841773986816,-1.5138838291168213,0.0,-0.08421007543802261,-0.08421007543802261,-0.07071685791015625,-0.07071685791015625,-0.6145365238189697,1.240520715713501,-0.5942050218582153,0.0,0.5438196659088135,0.5438196659088135,0.10417896509170532,0.10417896509170532,-0.02232496067881584,-1.586678147315979,-0.3932047486305237,0.0,0.12650392577052116,0.12650392577052116
1,0.016666666666666666,28,0,0,,8,discrete obstacles,11,0.0,93.10295104980469,68.04241943359375,0.14522866904735565,0.6693435907363892,0.4587081968784332,0.3999999761581421,0.4587081968784332,1.9160945415496826,4.032170295715332,0.4115455746650696,0.1140640527009964,0.040893785655498505,0.3346717953681946,0.2293540984392166,-0.1486387550830841,-0.45385774970054626,-0.24512964487075806,0.06938281655311584,-0.010386130772531033,0.20494289696216583,-0.10404712706804276,-0.10404712706804276,-0.11913088709115982,0.0924777090549469,-0.09207116812467575,0.0,0.015083760023117065,0.015083760023117065,-0.7261723875999451,-0.7261723875999451,-0.18891799449920654,-1.8348814249038696,-0.31499767303466797,0.0,-0.5372543931007385,-0.5372543931007385,-0.12256482243537903,-0.12256482243537903,0.05884932726621628,-0.854712963104248,-0.48052653670310974,0.0,-0.1814141497015953,-0.1814141497015953,0.04856796935200691,0.04856796935200691,-0.00883213896304369,0.3695802688598633,0.25749725103378296,0.0,0.0574001083150506,0.0574001083150506,-0.01661781035363674,-0.01661781035363674,-0.34941667318344116,0.2269117832183838,1.111533522605896,0.0,0.3327988628298044,0.3327988628298044,0.10247144848108292,0.10247144848108292,-0.005673270206898451,-0.02294503152370453,-0.03392544016242027,0.0,0.10814471868798137,0.10814471868798137
2,0.03333333333333333,8,0,0,,8,discrete obstacles,11,0.0,93.05885314941406,68.01593017578125,0.14897304773330688,-0.2909976840019226,0.7747947573661804,-0.2909976840019226,0.7747947573661804,1.2917888164520264,0.9257591962814331,0.5,-0.00043776011443696916,0.010288330726325512,-0.1454988420009613,0.3873973786830902,-0.06698080897331238,-0.21788212656974792,-0.06691495329141617,0.13101248443126678,-0.35153165459632874,0.2616913318634033,-0.046886567026376724,-0.046886567026376724,-0.05050523951649666,-0.29172414541244507,0.003202274441719055,0.0,0.003618672490119934,0.003618672490119934,-0.34861141443252563,-0.34861141443252563,-0.387288361787796,0.46168988943099976,-0.0023183857556432486,0.0,0.038676947355270386,0.038676947355270386,-0.033457476645708084,-0.033457476645708084,0.0015494502149522305,-0.30368664860725403,-0.09424737840890884,0.0,-0.035006926860660315,-0.035006926860660315,0.09170873463153839,0.09170873463153839,0.05775474011898041,1.0126105546951294,0.12041640281677246,0.0,0.03395399451255798,0.03395399451255798,-0.562450647354126,-0.562450647354126,-0.7952095866203308,0.7112065553665161,0.0021569423843175173,0.0,0.23275893926620483,0.23275893926620483,0.13084566593170166,0.13084566593170166,0.02379491552710533,0.430839478969574,0.04496844485402107,0.0,0.10705075040459633,0.10705075040459633
2,0.03333333333333333,18,0,0,,8,discrete obstacles,11,0.0,93.01571655273438,68.03364562988281,0.14994657039642334,0.29541268944740295,-0.2485579252243042,0.29541268944740295,-0.2485579252243042,2.562103509902954,3.882689952850342,0.5,0.047319889068603516,0.07175298035144806,0.14770634472370148,-0.1242789626121521,0.4698273837566376,-0.4215767979621887,0.2293449491262436,0.10092071443796158,-0.3772965371608734,0.09976056963205338,0.328879177570343,0.328879177570343,0.05159917101264,0.7067515850067139,0.7723918557167053,0.0,0.277280006557703,0.277280006557703,-0.674522876739502,-0.674522876739502,-0.24198438227176666,-2.0005745887756348,-0.17410321533679962,0.0,-0.4325384944677353,-0.4325384944677353,0.1146724745631218,0.1146724745631218,0.06863163411617279,0.09167230129241943,0.6314138174057007,0.0,0.046040840446949005,0.046040840446949005,0.07064449787139893,0.07064449787139893,-0.12888893485069275,0.1987481415271759,-1.6543790102005005,0.0,0.19953343272209167,0.19953343272209167,-0.6036744713783264,-0.6036744713783264,-0.6184565424919128,-0.4535817503929138,0.030994974076747894,0.0,0.014782071113586426,0.014782071113586426,0.04988028481602669,0.04988028481602669,-0.03480325639247894,0.03471400961279869,-0.799892008304596,0.0,0.08468354120850563,0.08468354120850563
2,0.03333333333333333,28,0,0,,8,discrete obstacles,11,0.0,93.10922241210938,68.04219818115234,0.14591433107852936,0.8481922149658203,0.2625555098056793,0.3999999761581421,0.2625555098056793,1.977247953414917,4.953697204589844,0.6579805016517639,0.1503542810678482,0.04772637039422989,0.42409610748291016,0.13127775490283966,-0.3975740671157837,-0.28783977031707764,-0.16153691709041595,0.29125186800956726,-0.16152295470237732,0.34797006845474243,-0.27830183506011963,-0.27830183506011963,-0.13166652619838715,-1.185180425643921,-0.029184406623244286,0.0,-0.14663530886173248,-0.14663530886173248,-0.4605436325073242,-0.4605436325073242,-0.21153336763381958,-1.47197687625885,-0.832912266254425,0.0,-0.24901026487350464,-0.24901026487350464,-0.08076845854520798,-0.08076845854520798,0.045099951326847076,-1.0528730154037476,-0.6080340147018433,0.0,-0.12586840987205505,-0.12586840987205505,0.2038763016462326,0.2038763016462326,0.011006292887032032,1.5949949026107788,0.2956905663013458,0.0,0.19287000875920057,0.19287000875920057,-0.25843673944473267,-0.25843673944473267,-0.3490128219127655,-0.06432323902845383,0.8100903630256653,0.0,0.09057608246803284,0.09057608246803284,0.17398503422737122,0.17398503422737122,-7.649986946489662e-05,0.27152758836746216,-0.030183762311935425,0.0,0.1740615340968361,0.1740615340968361
3,0.05,8,0,0,,8,discrete obstacles,11,0.0,93.05899810791016,68.01537322998047,0.14895185828208923,-0.12567390501499176,0.537028431892395,-0.12567390501499176,0.537028431892395,0.7668533325195312,4.589692115783691,0.6666666865348816,-0.02768891304731369,0.032240912318229675,-0.06283695250749588,0.2685142159461975,-0.11391808837652206,-0.13755644857883453,0.04089533910155296,0.13350147008895874,-0.4286429286003113,0.12293043732643127,-0.0797426626086235,-0.0797426626086235,-0.05649310350418091,-0.3200801610946655,-0.09729666262865067,0.0,-0.023249559104442596,-0.023249559104442596,-0.22009031474590302,-0.22009031474590302,-0.38272950053215027,0.2747713327407837,0.15579678118228912,0.0,0.16263918578624725,0.16263918578624725,0.02044766955077648,0.02044766955077648,-0.0005581696168519557,-0.12259224057197571,-0.1656157672405243,0.0,0.021005839167628437,0.021005839167628437,0.09345103055238724,0.09345103055238724,0.07571591436862946,1.0847769975662231,0.4244399070739746,0.0,0.017735116183757782,0.017735116183757782,-0.685828685760498,-0.685828685760498,-0.7894010543823242,0.41761428117752075,0.2437722384929657,0.0,0.10357236862182617,0.10357236862182617,0.06146521866321564,0.06146521866321564,0.030975792557001114,0.553046464920044,0.17645761370658875,0.0,0.030489426106214523,0.030489426106214523
3,0.05,18,0,0,,8,discrete obstacles,11,0.0,93.01715087890625,68.03184509277344,0.14735375344753265,0.3089904189109802,-0.8557834029197693,0.3089904189109802,-0.8557834029197693,1.7618987560272217,2.946613073348999,0.22074507176876068,0.046761900186538696,0.058806292712688446,0.1544952094554901,-0.42789170145988464,-0.4436032474040985,-0.16212375462055206,0.5088810920715332,0.17505453526973724,-0.005713780410587788,0.17446374893188477,-0.31052225828170776,-0.31052225828170776,0.040129128843545914,-0.08397562801837921,0.7500242590904236,0.0,-0.3506513871252537,-0.3506513871252537,-0.2593980133533478,-0.2593980133533478,-0.23718230426311493,1.5478193759918213,-0.7964904308319092,0.0,-0.02221570909023285,-0.02221570909023285,0.2544405460357666,0.2544405460357666,0.0818362608551979,0.13531017303466797,0.4474918246269226,0.0,0.1726042851805687,0.1726042851805687,0.12253817170858383,0.12253817170858383,-0.10214785486459732,0.8211157321929932,-1.0229085683822632,0.0,0.22468602657318115,0.22468602657318115,-0.00914204865694046,-0.00914204865694046,-0.594994306564331,1.8509447574615479,-0.1341290920972824,0.0,0.5858522579073906,0.5858522579073906,0.08723187446594238,0.08723187446594238,-0.021279992535710335,0.5262995958328247,-0.5154921412467957,0.0,0.10851186700165272,0.10851186700165272
3,0.05,28,0,0,,8,discrete obstacles,11,0.0,93.1159439086914,68.04191589355469,0.14536839723587036,0.7787664532661438,0.5280078053474426,0.3999999761581421,0.5280078053474426,2.197967052459717,4.71189022064209,0.6666666865348816,0.12145011872053146,0.03711846470832825,0.3893832266330719,0.2640039026737213,-0.27053922414779663,-0.34648093581199646,-0.22786644101142883,0.2580079138278961,-0.09452494978904724,0.35740765929222107,-0.18937745690345764,-0.18937745690345764,-0.14812806248664856,-0.9688611030578613,-0.42310088872909546,0.0,-0.04124939441680908,-0.04124939441680908,-0.5543695092201233,-0.5543695092201233,-0.23860082030296326,-1.889500617980957,-1.0506795644760132,0.0,-0.31576868891716003,-0.31576868891716003,-0.11393322050571442,-0.11393322050571442,0.043381672352552414,-0.2007898986339569,-0.759617030620575,0.0,-0.15731489285826683,-0.15731489285826683,0.18060553073883057,0.18060553073883057,0.03509995713829994,1.3984203338623047,0.7384406924247742,0.0,0.14550557360053062,0.14550557360053062,-0.15123991668224335,-0.15123991668224335,-0.3453400433063507,0.14551016688346863,0.5121256709098816,0.0,0.19410012662410736,0.19410012662410736,0.17870382964611053,0.17870382964611053,0.005275251343846321,0.5427538156509399,0.07262720912694931,0.0,0.1734285783022642,0.1734285783022642
