step,col00_flat.env_count,col00_flat.current_level_mean,col00_flat.rows_advanced_mean,col00_flat.row_advance_rate,col00_flat.rear_follow_success_rate,col00_flat.row_contact_support_min,col00_flat.actual_overspeed_near_edge_rate,col00_flat.stagnation_rate,col00_flat.recovery_active_rate,col00_flat.stuck_time_mean,col00_flat.difficulty_score,col01_slope_down.env_count,col01_slope_down.current_level_mean,col01_slope_down.rows_advanced_mean,col01_slope_down.row_advance_rate,col01_slope_down.rear_follow_success_rate,col01_slope_down.row_contact_support_min,col01_slope_down.actual_overspeed_near_edge_rate,col01_slope_down.stagnation_rate,col01_slope_down.recovery_active_rate,col01_slope_down.stuck_time_mean,col01_slope_down.difficulty_score,col02_slope_up.env_count,col02_slope_up.current_level_mean,col02_slope_up.rows_advanced_mean,col02_slope_up.row_advance_rate,col02_slope_up.rear_follow_success_rate,col02_slope_up.row_contact_support_min,col02_slope_up.actual_overspeed_near_edge_rate,col02_slope_up.stagnation_rate,col02_slope_up.recovery_active_rate,col02_slope_up.stuck_time_mean,col02_slope_up.difficulty_score,col03_rough.env_count,col03_rough.current_level_mean,col03_rough.rows_advanced_mean,col03_rough.row_advance_rate,col03_rough.rear_follow_success_rate,col03_rough.row_contact_support_min,col03_rough.actual_overspeed_near_edge_rate,col03_rough.stagnation_rate,col03_rough.recovery_active_rate,col03_rough.stuck_time_mean,col03_rough.difficulty_score,col04_rough.env_count,col04_rough.current_level_mean,col04_rough.rows_advanced_mean,col04_rough.row_advance_rate,col04_rough.rear_follow_success_rate,col04_rough.row_contact_support_min,col04_rough.actual_overspeed_near_edge_rate,col04_rough.stagnation_rate,col04_rough.recovery_active_rate,col04_rough.stuck_time_mean,col04_rough.difficulty_score,col05_stairs_down.env_count,col05_stairs_down.current_level_mean,col05_stairs_down.rows_advanced_mean,col05_stairs_down.row_advance_rate,col05_stairs_down.rear_follow_success_rate,col05_stairs_down.row_contact_support_min,col05_stairs_down.actual_overspeed_near_edge_rate,col05_stairs_down.stagnation_rate,col05_stairs_down.recovery_active_rate,col05_stairs_down.stuck_time_mean,col05_stairs_down.difficulty_score,col06_stairs_down.env_count,col06_stairs_down.current_level_mean,col06_stairs_down.rows_advanced_mean,col06_stairs_down.row_advance_rate,col06_stairs_down.rear_follow_success_rate,col06_stairs_down.row_contact_support_min,col06_stairs_down.actual_overspeed_near_edge_rate,col06_stairs_down.stagnation_rate,col06_stairs_down.recovery_active_rate,col06_stairs_down.stuck_time_mean,col06_stairs_down.difficulty_score,col07_stairs_down.env_count,col07_stairs_down.current_level_mean,col07_stairs_down.rows_advanced_mean,col07_stairs_down.row_advance_rate,col07_stairs_down.rear_follow_success_rate,col07_stairs_down.row_contact_support_min,col07_stairs_down.actual_overspeed_near_edge_rate,col07_stairs_down.stagnation_rate,col07_stairs_down.recovery_active_rate,col07_stairs_down.stuck_time_mean,col07_stairs_down.difficulty_score,col08_obstacles.env_count,col08_obstacles.current_level_mean,col08_obstacles.rows_advanced_mean,col08_obstacles.row_advance_rate,col08_obstacles.rear_follow_success_rate,col08_obstacles.row_contact_support_min,col08_obstacles.actual_overspeed_near_edge_rate,col08_obstacles.stagnation_rate,col08_obstacles.recovery_active_rate,col08_obstacles.stuck_time_mean,col08_obstacles.difficulty_score,col09_obstacles.env_count,col09_obstacles.current_level_mean,col09_obstacles.rows_advanced_mean,col09_obstacles.row_advance_rate,col09_obstacles.rear_follow_success_rate,col09_obstacles.row_contact_support_min,col09_obstacles.actual_overspeed_near_edge_rate,col09_obstacles.stagnation_rate,col09_obstacles.recovery_active_rate,col09_obstacles.stuck_time_mean,col09_obstacles.difficulty_score
82,4,6.96875,5.21875,1,,1,,0,,,,4,7.21875,4.96875,1,,1,0,0,,,0.126409,4,8.15625,5.90625,1,,1,,0,,,0.107812,4,7.28125,4.53125,1,,1,,0,,,0.135967,4,6.15625,3.40625,1,,1,0,0,,,0.215194,15,14.075,0.791667,0.683333,0.166667,0.0932046,0.958333,0.05,0.0166667,0.0372222,0.463128,15,13.9833,0.883333,0.675,0.15,0.0717529,0.95,0.0583333,0.00833333,0.0186111,0.451108,15,14,0.783333,0.591667,0.191667,0.0976806,0.983333,0.05,0,0.00305556,0.458677,16,11.3516,0.65625,0.484375,0.75,0.114162,0.992188,0.421875,0.203125,0.322396,0.471162,15,8.1,0.5,0.375,0.866667,0.074216,0.983333,0.316667,0.2,0.290556,0.46438
83,4,7.40625,5.25,0.78125,,1,,0.03125,,,,4,7.90625,4.84375,0.8125,,1,0,0,,,0.16354,4,6.65625,3.875,0.75,,1,,0.03125,,,0.19597,4,5.625,3.28125,0.6875,,1,,0,,,0.197882,4,7.21875,4.53125,0.8125,,1,0,0,,,0.16777,15,14.8667,0.591667,0.391667,0.125,0.0491972,0.958333,0.075,0.00833333,0.0222222,0.407126,15,14.7083,0.525,0.441667,0.125,0.0485744,0.958333,0.05,0.0166667,0.0516666,0.393327,15,14.8,0.65,0.533333,0.141667,0.0712574,0.95,0.0583333,0,0.00277778,0.38607,16,11.7969,0.304688,0.234375,0.671875,0.0652381,0.976562,0.296875,0.195312,0.269271,0.425686,15,8.53333,0.408333,0.333333,0.8,0.0726158,0.975,0.4,0.225,0.313333,0.419922
84,4,6.40625,3.65625,1,,1,,0,,,,4,7.40625,3.90625,0.9375,,1,0,0,,,0.115377,4,7.625,4.375,1,,1,,0,,,0.0984375,4,4.96875,3.21875,1,,1,,0,,,0.135738,4,5.21875,2.21875,0.875,,1,0,0,,,0.240883,15,15.3833,0.166667,0.166667,0.1,0.0551583,0.958333,0.108333,0.025,0.0769444,0.513516,15,15.3417,0.45,0.4,0.133333,0.063822,0.983333,0.05,0.00833333,0.0194444,0.453628,15,15.55,0.5,0.441667,0.133333,0.0611222,0.95,0.1,0.0166667,0.0361111,0.460669,16,12.0859,0.328125,0.226562,0.78125,0.0308553,0.992188,0.359375,0.15625,0.215625,0.474454,15,8.81667,0.35,0.2,0.841667,0.0610011,0.991667,0.3,0.1,0.162778,0.461199
85,4,9.90625,7.34375,0.90625,,1,,0.03125,,,,4,9.25,5.8125,0.84375,,1,0,0,,,0.168447,4,9.03125,5.84375,0.78125,,1,,0.03125,,,0.212154,4,6.09375,4.6875,0.78125,,1,,0,,,0.236448,4,7.84375,4.75,0.90625,,1,0,0,,,0.215148,15,16.0583,0.325,0.325,0.116667,0.0667976,0.9,0.0916667,0.0666667,0.148889,0.499648,15,15.8833,0.375,0.333333,0.15,0.0591885,0.958333,0.1,0.00833333,0.0438889,0.499907,15,16.2,0.466667,0.408333,0.141667,0.0811118,0.941667,0.075,0.0166667,0.0361111,0.482029,16,12.2969,0.15625,0.132812,0.734375,0.0327482,0.96875,0.351562,0.195312,0.345573,0.491023,15,9.26667,0.483333,0.333333,0.833333,0.0816764,0.983333,0.266667,0.0916667,0.136667,0.463323
86,4,4.625,2.125,0.84375,,1,,0,,,,4,5.78125,3.28125,0.9375,,1,0,0,,,0.119792,4,5.84375,2.84375,0.96875,,1,,0,,,0.117188,4,3.53125,2.03125,0.9375,,1,,0,,,0.124792,4,5.5625,2.3125,0.8125,,1,0,0,,,0.190677,15,16.3833,0.208333,0.208333,0.141667,0.0296444,0.966667,0.15,0.025,0.0666667,0.448708,15,16.3,0.233333,0.233333,0.0666667,0.0135564,0.933333,0.116667,0.00833333,0.0327778,0.433542,15,16.6417,0.233333,0.233333,0.0833333,0.0291022,0.95,0.133333,0.0333333,0.0677778,0.437882,16,12.625,0.34375,0.28125,0.75,0.0695879,0.984375,0.242188,0.15625,0.255208,0.387194,15,9.61667,0.275,0.175,0.833333,0.0545142,1,0.341667,0.125,0.203056,0.414132
87,4,9.34375,6.84375,1,,1,,0,,,,4,8.28125,6.28125,1,,1,0,0,,,0.128601,4,10.1562,7.15625,1,,1,,0,,,0.110938,4,6.9375,5.4375,1,,1,,0,,,0.171214,4,7.59375,4.59375,1,,1,0,0,,,0.216011,15,16.9583,0.141667,0.133333,0.0583333,0.0384708,0.916667,0.116667,0.0333333,0.0475,0.511403,15,16.625,0.141667,0.141667,0.1,0.0288019,0.941667,0.15,0.0333333,0.0883333,0.49894,15,16.9333,0.0666667,0.0666667,0.0916667,0.030856,0.966667,0.175,0.0666667,0.16,0.524253,16,13.1484,0.46875,0.289062,0.742188,0.0366849,0.960938,0.40625,0.226562,0.350521,0.484606,15,10,0.416667,0.333333,0.825,0.0829225,0.991667,0.35,0.15,0.294444,0.48342
88,4,5.9375,3.25,0.75,,1,,0,,,,4,4.8125,3.46875,0.8125,,1,0,0.03125,,,0.158877,4,5.8125,2.28125,0.75,,1,,0,,,0.169341,4,4.90625,1.8125,0.71875,,1,,0,,,0.209388,4,5.40625,3,0.71875,,1,0,0.03125,,,0.191757,15,17.3917,0.0666667,0.0666667,0.125,0.0258609,0.9,0.175,0.05,0.11,0.408917,15,16.9667,0.1,0.1,0.0833333,0.0289545,0.9,0.133333,0.00833333,0.0311111,0.412119,15,17.4167,0.116667,0.116667,0.0666667,0.0302445,0.933333,0.191667,0.025,0.0527778,0.427911,16,13.5156,0.210938,0.1875,0.640625,0.0308241,0.96875,0.367188,0.195312,0.351302,0.382885,15,10.3083,0.258333,0.183333,0.841667,0.0546107,0.966667,0.333333,0.116667,0.233889,0.39215
89,4,8,5.25,1,,1,,0,,,,4,6.5,5,1,,1,0,0,,,0.128601,4,9.1875,5.6875,1,,1,,0,,,0.1,4,7.375,4.125,1,,1,,0,,,0.169311,4,5.15625,3.15625,1,,1,0,0,,,0.237657,15,17.575,0.0333333,0.0333333,0.0416667,0.0154571,0.866667,0.166667,0.00833333,0.0369444,0.512862,15,17.2083,0.075,0.075,0.0333333,0.0208333,0.925,0.166667,0.05,0.129722,0.517704,15,17.5917,0.075,0.075,0.0416667,0.01131,0.916667,0.158333,0.0416667,0.107222,0.512514,16,13.8594,0.359375,0.257812,0.757812,0.0656663,0.976562,0.398438,0.195312,0.325521,0.490648,15,10.55,0.183333,0.133333,0.875,0.0469902,0.975,0.416667,0.166667,0.276667,0.498338
90,4,8.4375,5.78125,0.8125,,1,,0,,,,4,6.375,4.84375,0.8125,,1,0,0.03125,,,0.186663,4,6.375,4.03125,0.78125,,1,,0.03125,,,0.196357,4,5.875,3.09375,0.71875,,1,,0.03125,,,0.205273,4,6.65625,4.3125,0.84375,,1,0,0,,,0.203155,15,17.7333,0.0166667,0.0166667,0.0583333,0.00528649,0.891667,0.141667,0.025,0.0561111,0.501365,15,17.4583,0.05,0.05,0.05,0.0166667,0.908333,0.183333,0.0583333,0.139167,0.474254,15,17.775,0.0583333,0.0583333,0.0416667,0.0166667,0.941667,0.183333,0.0583333,0.116389,0.474282,16,14.1172,0.242188,0.140625,0.734375,0.0319579,0.945312,0.25,0.0703125,0.165365,0.427719,15,10.7,0.108333,0.108333,0.891667,0.0208333,0.983333,0.433333,0.191667,0.260833,0.45401
91,4,6.15625,3.65625,1,,1,,0,,,,4,6,3.59375,0.9375,,1,0,0,,,0.145615,4,5.875,4.375,1,,1,,0,,,0.115625,4,5.375,3.125,1,,1,,0,,,0.151502,4,6.09375,2.1875,0.875,,1,0,0,,,0.244797,15,17.6417,0.00833333,0.00833333,0.025,0.00416667,0.916667,0.208333,0.00833333,0.0402778,0.523243,15,17.6,0.0166667,0.0166667,0.025,0.00633966,0.925,0.133333,0.0416667,0.0880556,0.520989,15,17.8583,0.025,0.025,0.00833333,0,0.925,0.241667,0.0666667,0.146389,0.536875,16,14.3359,0.148438,0.148438,0.789062,0.0429688,0.96875,0.421875,0.179688,0.26276,0.50588,15,10.8333,0.125,0.125,0.891667,0.0322734,0.975,0.525,0.258333,0.476944,0.516452
