step,stairs05,stairs06,stairs07,obs08,obs09,stairs_avg,obs_avg,hard_avg
48,17.636364,17.854168,17.583334,17.727274,18.0,17.691289,17.863637,17.760228
49,17.636364,17.916668,17.583334,17.727274,18.0,17.712122,17.863637,17.772728
50,17.637341,17.923809,17.573261,17.76252,18.0,17.71147,17.88126,17.779386
51,17.642859,17.933334,17.57143,17.785715,5.086309,17.715874,11.436012,15.20393
52,17.642859,17.933334,17.57143,17.785715,2.660714,17.715874,10.223215,14.718811
53,17.642859,17.933334,17.57143,17.785715,2.824405,17.715874,10.30506,14.751549
54,17.642859,17.933334,17.57143,17.785715,2.25,17.715874,10.017858,14.636668
55,17.714287,17.933334,17.57143,17.785715,3.208333,17.739684,10.497024,14.84262
56,17.714287,17.933334,17.57143,17.785715,1.949405,17.739684,9.86756,14.590834
57,17.714287,17.933334,17.57143,17.812502,2.392857,17.739684,10.102679,14.684882
58,17.714287,17.933334,17.57143,17.883928,2.077381,17.739684,9.980655,14.636072
59,17.741072,17.933334,17.616072,17.928572,2.339286,17.763493,10.133929,14.711667
60,17.785715,17.933334,17.642859,17.982143,2.684524,17.787303,10.333334,14.805715
61,17.785715,17.933334,17.642859,18.0,1.821429,17.787303,9.910714,14.636667
62,17.785715,17.933334,17.678574,18.0,2.482143,17.799208,10.241071,14.775953
63,17.785715,17.933334,17.714287,18.0,1.821429,17.811112,9.910714,14.650953
64,17.857143,17.933334,17.714287,18.0,2.464286,17.834922,10.232143,14.79381
65,17.857143,17.933334,17.714287,18.0,2.473214,17.834922,10.236607,14.795596
66,17.857143,17.933334,17.714287,18.0,2.267857,17.834922,10.133929,14.754524
67,17.857143,17.933334,17.714287,18.0,2.83631,17.834922,10.418155,14.868215
68,17.857143,17.933334,17.714287,18.0,2.479167,17.834922,10.239583,14.796786
69,17.857143,17.933334,17.758928,18.0,3.142857,17.849802,10.571429,14.938453
70,17.857143,17.933334,17.785715,18.0,2.294643,17.858731,10.147321,14.774167
71,17.857143,17.933334,17.785715,18.0,3.0,17.858731,10.5,14.915239
72,17.857143,17.933334,17.785715,18.0,2.339286,17.858731,10.169643,14.783096
73,17.857143,17.933334,17.785715,18.0,2.205357,17.858731,10.102679,14.75631
74,17.857143,17.933334,17.812502,18.0,2.488095,17.86766,10.244048,14.818215
75,17.857143,17.933334,17.857143,18.0,1.955357,17.88254,9.977679,14.720596
76,17.873474,17.938753,17.8717,14.3625,2.710119,17.894643,8.53631,14.151309
77,17.894737,17.947369,17.927631,2.05,2.454167,17.923246,2.252083,11.654781
78,17.894737,17.947369,17.947369,3.729167,2.604167,17.929825,3.166667,12.024562
79,17.894737,17.947369,17.947369,2.6375,2.941667,17.929825,2.789583,11.873728
80,17.894737,17.947369,17.947369,3.416667,2.2,17.929825,2.808333,11.881228
81,17.894737,17.947369,17.993422,3.766667,2.791667,17.945176,3.279167,12.078772
82,17.894737,17.947369,18.0,2.466667,1.975,17.947369,2.220833,11.656755
83,17.894737,17.947369,18.0,3.891667,2.675,17.947369,3.283333,12.081755
84,17.894737,17.947369,18.0,2.491667,2.066667,17.947369,2.279167,11.680088
85,17.894737,17.947369,18.0,3.6,2.520833,17.947369,3.060417,11.992588
86,17.894737,17.947369,18.0,3.195833,2.704167,17.947369,2.95,11.948421
87,17.894737,17.947369,18.0,2.895833,2.270833,17.947369,2.583333,11.801755
88,17.894737,17.967106,18.0,3.729167,3.054167,17.953948,3.391667,12.129035
89,17.894737,18.0,18.0,2.45,2.029167,17.964912,2.239583,11.674781
90,17.894737,18.0,18.0,3.425,2.875,17.964912,3.15,12.038947
91,17.894737,18.0,18.0,2.633333,2.25,17.964912,2.441667,11.755614
92,17.894737,18.0,18.0,3.604167,2.145833,17.964912,2.875,11.928947
93,17.894737,18.0,18.0,3.525,2.333333,17.964912,2.929167,11.950614
94,17.894737,18.0,18.0,2.854167,1.7875,17.964912,2.320833,11.707281
95,17.894737,18.0,18.0,4.416667,2.3,17.964912,3.358334,12.122281
96,17.894737,18.0,18.0,2.3125,1.816667,17.964912,2.064583,11.604781
97,17.894737,18.0,18.0,4.104167,2.375,17.964912,3.239583,12.074781
98,17.894737,18.0,18.0,3.0625,2.4,17.964912,2.73125,11.871447
99,17.894737,18.0,18.0,3.2,2.104167,17.964912,2.652083,11.839781
100,17.894737,18.0,18.0,3.85,2.741667,17.964912,3.295833,12.097281
101,17.894737,18.0,18.0,2.45,1.833333,17.964912,2.141667,11.635614
102,17.894737,18.0,18.0,3.9875,2.458333,17.964912,3.222917,12.068114
103,17.894737,18.0,18.0,2.075,1.9,17.964912,1.9875,11.573947
104,17.894737,18.0,18.0,3.625,2.85,17.964912,3.2375,12.073947
105,17.894737,18.0,18.0,2.929167,2.5125,17.964912,2.720834,11.867281
106,17.894737,18.0,18.0,2.75,2.125,17.964912,2.4375,11.753947
107,17.894737,18.0,18.0,3.633333,2.908333,17.964912,3.270833,12.087281
108,17.894737,18.0,18.0,2.7,1.716667,17.964912,2.208333,11.662281
109,17.894737,18.0,18.0,4.05,2.4375,17.964912,3.24375,12.076447
110,17.894737,18.0,18.0,2.633333,2.116667,17.964912,2.375,11.728947
111,17.894737,18.0,18.0,3.65,2.145833,17.964912,2.897917,11.938114
112,17.894737,18.0,18.0,3.045833,1.858333,17.964912,2.452083,11.759781
113,17.894737,18.0,18.0,3.075,2.1,17.964912,2.5875,11.813947
114,17.894737,18.0,18.0,3.241667,2.475,17.964912,2.858333,11.922281
115,17.894737,18.0,18.0,2.395833,2.208333,17.964912,2.302083,11.699781
116,17.894737,18.0,18.0,3.833333,3.25,17.964912,3.541667,12.195614
117,17.894737,18.0,18.0,2.383333,2.0,17.964912,2.191667,11.655614
118,17.894737,18.0,18.0,3.791667,2.8125,17.964912,3.302083,12.099781
119,17.894737,18.0,18.0,3.358334,2.5375,17.964912,2.947917,11.958114
120,17.894737,18.0,18.0,3.041667,2.383333,17.964912,2.7125,11.863948
121,17.894737,18.0,18.0,3.541667,2.358334,17.964912,2.95,11.958948
122,17.894737,18.0,18.0,2.558333,1.825,17.964912,2.191667,11.655614
123,17.894737,18.0,18.0,4.145833,3.0375,17.964912,3.591667,12.215614
124,17.894737,18.0,18.0,2.045833,1.975,17.964912,2.010417,11.583114
125,17.894737,18.0,18.0,3.104167,2.4,17.964912,2.752083,11.879781
126,17.894737,18.0,18.0,3.3,2.0375,17.964912,2.66875,11.846448
127,17.894737,18.0,18.0,2.65,1.9375,17.964912,2.29375,11.696447
128,17.894737,18.0,18.0,3.583333,2.0625,17.964912,2.822917,11.908114
129,17.894737,18.0,18.0,2.7125,2.270833,17.964912,2.491667,11.775614
130,17.894737,18.0,18.0,4.225,2.741667,17.964912,3.483334,12.172281
131,17.894737,18.0,18.0,1.916667,2.175,17.964912,2.045833,11.597281
132,17.894737,18.0,18.0,3.3125,3.1875,17.964912,3.25,12.078947
133,17.894737,18.0,18.0,3.075,2.329167,17.964912,2.702084,11.859781
134,17.894737,18.0,18.0,3.0,2.375,17.964912,2.6875,11.853947
135,17.894737,18.0,18.0,4.145833,2.595833,17.964912,3.370833,12.127281
136,17.894737,18.0,18.0,2.345833,2.358333,17.964912,2.352083,11.719781
137,17.894737,18.0,18.0,3.645833,2.958333,17.964912,3.302083,12.099781
138,17.894737,18.0,18.0,2.395833,2.375,17.964912,2.385417,11.733114
139,17.894737,18.0,18.0,2.979167,2.604167,17.964912,2.791667,11.895614
140,17.894737,18.0,18.0,3.5625,1.95,17.964912,2.75625,11.881447
141,17.894737,18.0,18.0,2.708333,2.408333,17.964912,2.558333,11.802281
142,17.894737,18.0,18.0,4.025,2.983333,17.964912,3.504167,12.180614
143,17.894737,18.0,18.0,2.925,1.8375,17.964912,2.38125,11.731447
144,17.894737,18.0,18.0,3.270833,2.575,17.964912,2.922917,11.948114
145,17.894737,18.0,18.0,4.075,2.033334,17.964912,3.054167,12.000614
146,17.894737,18.0,18.0,2.775,2.775,17.964912,2.775,11.888947
147,17.894737,18.0,18.0,3.479167,2.683333,17.964912,3.08125,12.011447
148,17.894737,18.0,18.0,3.195833,1.9375,17.964912,2.566667,11.805614
149,17.894737,18.0,18.0,3.308333,2.179167,17.964912,2.74375,11.876447
150,17.894737,18.0,18.0,3.541667,1.895833,17.964912,2.71875,11.866447
151,17.894737,18.0,18.0,3.345833,2.891667,17.964912,3.11875,12.026447
152,17.894737,18.0,18.0,3.179167,2.445833,17.964912,2.8125,11.903947
153,17.894737,18.0,18.0,3.125,2.604167,17.964912,2.864583,11.924781
154,17.894737,18.0,18.0,2.720833,2.633333,17.964912,2.677083,11.849781
155,17.894737,18.0,18.0,3.65,2.025,17.964912,2.8375,11.913947
156,17.894737,18.0,18.0,3.279167,2.570833,17.964912,2.925,11.948947
157,17.894737,18.0,18.0,2.9375,2.145833,17.964912,2.541667,11.795614
158,17.894737,18.0,18.0,3.620833,3.025,17.964912,3.322917,12.108114
159,17.894737,18.0,18.0,2.6625,2.25,17.964912,2.45625,11.761447
160,17.894737,18.0,18.0,3.416667,2.525,17.964912,2.970833,11.967281
161,17.894737,18.0,18.0,2.783333,2.820833,17.964912,2.802083,11.899781
162,17.894737,18.0,18.0,2.779167,2.725,17.964912,2.752083,11.879781
163,17.894737,18.0,18.0,3.633333,2.479167,17.964912,3.05625,12.001447
164,17.894737,18.0,18.0,2.45,2.354167,17.964912,2.402083,11.739781
165,17.894737,18.0,18.0,3.904167,3.3875,17.964912,3.645833,12.237281
166,17.894737,18.0,18.0,2.604167,2.275,17.964912,2.439583,11.754781
167,17.894737,18.0,18.0,3.5,2.3125,17.964912,2.90625,11.941447
168,17.894737,18.0,18.0,3.445833,2.191667,17.964912,2.81875,11.906448
169,17.894737,18.0,18.0,3.0625,2.270833,17.964912,2.666667,11.845614
170,17.894737,18.0,18.0,4.275,3.05,17.964912,3.6625,12.243947
171,17.894737,18.0,18.0,2.495833,1.8,17.964912,2.147917,11.638114
172,17.894737,18.0,18.0,3.8,2.283334,17.964912,3.041667,11.995614
173,17.894737,18.0,18.0,2.716667,2.020833,17.964912,2.36875,11.726447
174,17.894737,18.0,18.0,2.8625,2.583333,17.964912,2.722917,11.868114
175,17.894737,18.0,18.0,3.345833,2.516667,17.964912,2.93125,11.951447
176,17.894737,18.0,18.0,2.35,2.166667,17.964912,2.258333,11.682281
177,17.894737,18.0,18.0,3.070833,3.320833,17.964912,3.195833,12.057281
178,17.894737,18.0,18.0,2.420833,2.175,17.964912,2.297917,11.698114
179,17.894737,18.0,18.0,3.329167,2.558333,17.964912,2.94375,11.956448
180,17.894737,18.0,18.0,3.120833,2.1625,17.964912,2.641667,11.835614
181,17.894737,18.0,18.0,3.058333,3.145833,17.964912,3.102083,12.019781
182,17.894737,18.0,18.0,3.9875,2.870833,17.964912,3.429167,12.150614
183,17.894737,18.0,18.0,2.35,2.333333,17.964912,2.341667,11.715614
184,17.894737,18.0,18.0,3.925,2.395833,17.964912,3.160417,12.043114
185,17.894737,18.0,18.0,2.625,1.766667,17.964912,2.195833,11.657281
