terrain_group,feature,count,mean,p50,p75,p90,p95,max
flat,step_up_height_m,560,0.0,0.0,0.0,0.0,0.0,0.0
flat,drop_depth_m,560,0.0,0.0,0.0,0.0,0.0,0.0
flat,front_roughness_m,560,0.0,0.0,0.0,0.0,0.0,0.0
flat,gap_width_norm,560,0.0,0.0,0.0,0.0,0.0,0.0
flat,front_slope,560,0.0,0.0,0.0,0.0,0.0,0.0
flat,edge_up_detected,560,0.0,0.0,0.0,0.0,0.0,0.0
flat,edge_down_detected,560,0.0,0.0,0.0,0.0,0.0,0.0
flat,gap_any_detected,560,0.0,0.0,0.0,0.0,0.0,0.0
flat,g_step_up,560,0.01798620996209156,0.01798620996209156,0.01798620996209156,0.01798620996209156,0.01798620996209156,0.01798620996209156
flat,g_step_down,560,0.01798620996209156,0.01798620996209156,0.01798620996209156,0.01798620996209156,0.01798620996209156,0.01798620996209156
flat,g_gap,560,0.000853011712607243,0.0008530117126072428,0.0008530117126072428,0.0008530117126072428,0.0008530117126072428,0.0008530117126072428
flat,g_rough,560,0.04742587317756678,0.04742587317756678,0.04742587317756678,0.04742587317756678,0.04742587317756678,0.04742587317756678
rough,step_up_height_m,8960,0.020029988929952613,0.019487799628407382,0.02382622368878701,0.028539640859488843,0.031661006855087055,0.06914547362250012
rough,drop_depth_m,8960,0.025073178479888776,0.02229378060362949,0.02947743930593534,0.04135514107491887,0.04853252660832449,0.07911040797122293
rough,front_roughness_m,8960,0.028423315997306433,0.018365319413570967,0.026174314281386793,0.06505875906309329,0.08607637701041665,0.11826258110171585
rough,gap_width_norm,8960,0.08096540178571429,0.0,0.0,0.4,0.55,0.8
rough,front_slope,8960,-0.026773612409986144,-0.005681555398635355,0.00493733877188956,0.013518791269823627,0.01848677220660818,0.0548400897077729
rough,edge_up_detected,8960,0.4489955357142857,0.0,1.0,1.0,1.0,1.0
rough,edge_down_detected,8960,0.5987723214285714,1.0,1.0,1.0,1.0,1.0
rough,gap_any_detected,8960,0.23258928571428572,0.0,0.0,1.0,1.0,1.0
rough,g_step_up,8960,0.05006017623471279,0.04628221610727615,0.05685645069258873,0.07089525642853169,0.08188929956992512,0.3675535992316982
rough,g_step_down,8960,0.06892591022733015,0.052884489471948654,0.074046685702441,0.12650252768694348,0.17173598073150517,0.4888819326109334
rough,g_gap,8960,0.02658670429595116,0.0025345156708647615,0.004429952971062884,0.11073605355525819,0.15746045213820065,0.48871798599104965
rough,g_rough,8960,0.38093381872177917,0.23803769210491366,0.4055075524206014,0.9708543981152478,0.9963436812236272,0.9998531949329978
stairs,step_up_height_m,1120,0.04389035176587307,2.220446049250313e-16,0.08656260740740737,0.13507983425925987,0.16116542824074145,0.21892770370370207
stairs,drop_depth_m,1120,0.04389035176587307,2.220446049250313e-16,0.08656260740740737,0.13507983425925987,0.16116542824074145,0.21892770370370207
stairs,front_roughness_m,1120,0.0781191286848193,0.06580092438614614,0.13750982224125485,0.19565945479222624,0.21254893422511612,0.24602636198540623
stairs,gap_width_norm,1120,0.3093303571428571,0.0,0.8125,0.95,0.95,1.0
stairs,front_slope,1120,0.0,0.0,0.1956606694027432,0.4096939884757626,0.5299025626024545,0.8039346831804283
stairs,edge_up_detected,1120,0.4375,0.0,1.0,1.0,1.0,1.0
stairs,edge_down_detected,1120,0.4375,0.0,1.0,1.0,1.0,1.0
stairs,gap_any_detected,1120,0.42232142857142857,0.0,1.0,1.0,1.0,1.0
stairs,g_step_up,1120,0.2799161351021287,0.017986209962091753,0.581301639393178,0.9401364745681802,0.9830145777042084,0.9990388180466183
stairs,g_step_down,1120,0.2799161351021287,0.017986209962091753,0.581301639393178,0.9401364745681802,0.9830145777042084,0.9990388180466183
stairs,g_gap,1120,0.2556055432291104,0.000853011712607252,0.5326657088342025,0.924728460260973,0.977825287681147,0.999038705619623
stairs,g_rough,1120,0.6317287687701606,0.9728627938029972,0.9999785759380642,0.9999999360998738,0.9999999881912667,0.9999999995849558
obstacles,step_up_height_m,8960,0.04404949541261405,2.7755575615628914e-17,0.07155241481481481,0.13091238518518578,0.17240722592592456,0.4161986296296297
obstacles,drop_depth_m,8960,0.04476290523658829,0.000980414814814764,0.07359840000000019,0.13356082833333374,0.17215582222222198,0.4558702222222213
obstacles,front_roughness_m,8960,0.028119207541749288,0.014630334074980413,0.04727026120318228,0.08095450316438205,0.10163454025147756,0.22648574996452478
obstacles,gap_width_norm,8960,0.12833705357142855,0.0,0.1,0.55,0.75,1.0
obstacles,front_slope,8960,-0.0005571270089503004,0.0,0.020019469411745032,0.05816938820081553,0.0872540823012233,0.190372543202669
obstacles,edge_up_detected,8960,0.4802455357142857,0.0,1.0,1.0,1.0,1.0
obstacles,edge_down_detected,8960,0.48035714285714287,0.0,1.0,1.0,1.0,1.0
obstacles,gap_any_detected,8960,0.29185267857142855,0.0,1.0,1.0,1.0,1.0
obstacles,g_step_up,8960,0.2515739535031119,0.017986209962091583,0.39594755470367327,0.9272786607625779,0.9902467869529569,0.999999949934392
obstacles,g_step_down,8960,0.25546661705785967,0.018872820802663948,0.42065625136194507,0.9357183847515396,0.9901246697513337,0.9999999931121795
obstacles,g_gap,8960,0.1580970938667659,0.0014798432374378725,0.11897155233250276,0.7381959222318778,0.9490317232076027,0.9999986191161057
obstacles,g_rough,8960,0.39520031350010865,0.17697679560961704,0.8490316325380054,0.9939127297920416,0.9992262236514095,0.9999999970709128
