step,completed_column_rate,unfinished_column_count,col00_flat__current_level_mean,col00_flat__rows_advanced_mean,col00_flat__row_advance_rate,col01_slope_down__current_level_mean,col01_slope_down__rows_advanced_mean,col01_slope_down__row_advance_rate,col02_slope_up__current_level_mean,col02_slope_up__rows_advanced_mean,col02_slope_up__row_advance_rate,col03_rough__current_level_mean,col03_rough__rows_advanced_mean,col03_rough__row_advance_rate,col04_rough__current_level_mean,col04_rough__rows_advanced_mean,col04_rough__row_advance_rate,col05_stairs_down__current_level_mean,col05_stairs_down__rows_advanced_mean,col05_stairs_down__row_advance_rate,col06_stairs_down__current_level_mean,col06_stairs_down__rows_advanced_mean,col06_stairs_down__row_advance_rate,col07_stairs_down__current_level_mean,col07_stairs_down__rows_advanced_mean,col07_stairs_down__row_advance_rate,col08_obstacles__current_level_mean,col08_obstacles__rows_advanced_mean,col08_obstacles__row_advance_rate,col09_obstacles__current_level_mean,col09_obstacles__rows_advanced_mean,col09_obstacles__row_advance_rate
16,0.500000,5.000000,5.593750,3.718750,0.781250,9.375000,6.906250,0.968750,8.718750,4.968750,0.781250,4.656250,2.781250,0.718750,6.531250,2.625000,0.656250,16.191668,0.216667,0.216667,15.758333,0.158333,0.158333,16.083334,0.225000,0.208333,12.695312,0.492188,0.328125,10.366667,0.416667,0.316667
17,0.500000,5.000000,6.625000,4.875000,1.000000,3.468750,2.375000,0.812500,5.906250,3.406250,1.000000,5.406250,3.406250,1.000000,7.750000,3.250000,1.000000,16.608335,0.158333,0.158333,16.116669,0.266667,0.266667,16.408335,0.166667,0.166667,12.929688,0.281250,0.148438,10.741667,0.491667,0.358333
18,0.500000,5.000000,8.000000,5.500000,0.750000,6.781250,5.781250,1.000000,8.656250,6.531250,0.875000,6.281250,4.562500,0.812500,8.500000,4.406250,0.781250,16.833332,0.133333,0.133333,16.325003,0.175000,0.175000,16.658335,0.091667,0.091667,13.125000,0.187500,0.148438,11.050001,0.308333,0.200000
19,0.500000,5.000000,7.062500,3.312500,1.000000,5.593750,4.062500,0.750000,4.625000,2.531250,0.875000,3.968750,2.218750,0.906250,5.500000,2.250000,0.937500,16.950001,0.041667,0.041667,16.541668,0.158333,0.158333,16.775000,0.075000,0.075000,13.281250,0.226562,0.156250,11.375000,0.291667,0.225000
20,0.500000,5.000000,11.468750,7.718750,1.000000,6.437500,4.437500,1.000000,8.375000,6.125000,1.000000,6.875000,5.156250,0.937500,8.718750,5.468750,1.000000,17.150002,0.116667,0.116667,16.666668,0.100000,0.100000,16.808334,0.008333,0.008333,13.359375,0.031250,0.023438,11.616667,0.166667,0.166667
21,0.500000,5.000000,4.531250,1.781250,0.781250,8.000000,6.125000,0.843750,5.781250,3.281250,0.750000,3.937500,1.812500,0.750000,5.312500,1.625000,0.718750,17.299999,0.066667,0.066667,16.775000,0.033333,0.033333,16.900002,0.075000,0.075000,13.437500,0.062500,0.054688,11.900001,0.366667,0.266667
22,0.500000,5.000000,9.062500,6.312500,1.000000,4.843750,2.843750,0.937500,6.843750,4.843750,1.000000,6.312500,4.562500,1.000000,7.937500,4.437500,1.000000,17.341667,0.008333,0.008333,17.125000,0.216667,0.216667,17.133335,0.150000,0.150000,13.585938,0.195312,0.117188,12.108334,0.175000,0.133333
23,0.500000,5.000000,5.781250,3.937500,0.812500,8.968750,6.843750,0.968750,7.843750,5.468750,0.843750,3.781250,2.968750,0.687500,4.750000,2.656250,0.656250,17.575003,0.075000,0.075000,17.291668,0.158333,0.158333,17.391668,0.216667,0.216667,13.687500,0.093750,0.054688,12.233334,0.133333,0.133333
24,0.500000,5.000000,6.062500,4.812500,1.000000,4.968750,2.593750,0.781250,5.562500,3.312500,0.968750,3.875000,3.375000,1.000000,4.968750,3.218750,1.000000,17.666668,0.000000,0.000000,17.383335,0.066667,0.066667,17.566668,0.058333,0.058333,13.843750,0.078125,0.078125,12.533334,0.316667,0.283333
25,0.500000,5.000000,8.031250,5.718750,0.750000,7.781250,5.781250,1.000000,8.187500,6.062500,0.875000,5.750000,4.593750,0.781250,7.000000,4.375000,0.718750,17.733334,0.008333,0.008333,17.441668,0.016667,0.016667,17.541668,0.025000,0.025000,14.015625,0.195312,0.171875,12.925001,0.325000,0.216667
