step,global_current_level_mean,completed_column_rate,unfinished_column_count,col00_flat,col01_slope_down,col02_slope_up,col03_rough,col04_rough,col05_stairs_down,col06_stairs_down,col07_stairs_down,col08_obstacles,col09_obstacles
13,12.110678,0.500000,5.000000,9.968750,7.218750,7.468750,7.781250,7.843750,15.066668,14.925001,15.241667,11.515625,9.250000
14,11.851562,0.500000,5.000000,3.906250,8.375000,6.875000,4.500000,4.093750,15.583334,15.250000,15.450001,11.843750,9.533334
15,12.509115,0.500000,5.000000,8.625000,5.343750,9.375000,6.656250,6.968750,15.908333,15.516666,15.766667,12.195312,10.000000
16,12.694011,0.500000,5.000000,5.593750,9.375000,8.718750,4.656250,6.531250,16.191668,15.758333,16.083334,12.695312,10.366667
17,12.725261,0.500000,5.000000,6.625000,3.468750,5.906250,5.406250,7.750000,16.608335,16.116669,16.408335,12.929688,10.741667
18,13.290365,0.500000,5.000000,8.000000,6.781250,8.656250,6.281250,8.500000,16.833332,16.325003,16.658335,13.125000,11.050001
19,12.959636,0.500000,5.000000,7.062500,5.593750,4.625000,3.968750,5.500000,16.950001,16.541668,16.775000,13.281250,11.375000
20,13.696615,0.500000,5.000000,11.468750,6.437500,8.375000,6.875000,8.718750,17.150002,16.666668,16.808334,13.359375,11.616667
21,13.212240,0.500000,5.000000,4.531250,8.000000,5.781250,3.937500,5.312500,17.299999,16.775000,16.900002,13.437500,11.900001
22,13.677084,0.500000,5.000000,9.062500,4.843750,6.843750,6.312500,7.937500,17.341667,17.125000,17.133335,13.585938,12.108334
23,13.654948,0.500000,5.000000,5.781250,8.968750,7.843750,3.781250,4.750000,17.575003,17.291668,17.391668,13.687500,12.233334
24,13.546875,0.500000,5.000000,6.062500,4.968750,5.562500,3.875000,4.968750,17.666668,17.383335,17.566668,13.843750,12.533334
25,14.123698,0.500000,5.000000,8.031250,7.781250,8.187500,5.750000,7.000000,17.733334,17.441668,17.541668,14.015625,12.925001
26,13.902344,0.500000,5.000000,7.625000,6.406250,4.375000,4.437500,6.031250,17.741667,17.616669,17.566666,14.132812,13.275002
27,14.641928,0.500000,5.000000,12.218750,7.156250,7.656250,7.875000,9.375000,17.800001,17.650002,17.633335,14.281250,13.583334
28,13.994792,0.500000,5.000000,2.968750,8.937500,5.375000,4.156250,4.812500,17.800001,17.666668,17.733334,14.523438,13.875001
29,14.473959,0.500000,5.000000,7.437500,7.125000,7.312500,6.812500,7.468750,17.800001,17.666668,17.733334,14.679688,14.133334
30,14.498698,0.500000,5.000000,5.250000,10.968750,8.593750,4.906250,5.437500,17.808334,17.675001,17.733334,14.851562,14.358334
31,14.270834,0.500000,5.000000,5.593750,6.468750,6.937500,4.718750,5.437500,17.866667,17.725000,17.733334,14.937500,14.300001
32,14.783854,0.500000,5.000000,7.843750,9.031250,10.125000,6.625000,6.781250,17.866667,17.825001,17.841667,14.984375,14.325001
33,14.470053,0.500000,5.000000,6.812500,7.968750,5.625000,5.531250,5.000000,17.925001,17.891668,17.866667,15.109375,14.558334
34,15.075521,0.500000,5.000000,11.281250,7.187500,8.500000,8.656250,8.312500,17.933334,17.933334,17.866667,15.250000,14.766668
35,14.386719,0.500000,5.000000,4.937500,8.687500,6.375000,3.375000,2.906250,17.950001,17.933334,17.866667,15.375000,14.916668
36,14.730469,0.500000,5.000000,9.281250,5.656250,7.687500,6.093750,5.312500,18.000000,17.891668,17.866667,15.375000,15.041668
37,14.785156,0.500000,5.000000,6.250000,9.156250,7.843750,6.062500,5.062500,18.000000,17.866667,17.866667,15.429688,15.266667
38,14.563803,0.500000,5.000000,6.406250,6.625000,3.656250,6.250000,5.093750,18.000000,17.866667,17.866667,15.437500,15.533334
39,15.000000,0.500000,5.000000,8.250000,9.437500,7.000000,7.375000,5.875000,18.000000,17.866667,17.933334,15.437500,15.616667
40,14.417969,0.500000,5.000000,4.468750,6.625000,4.062500,5.187500,3.125000,18.000000,17.866667,17.950001,15.437500,15.733335
41,14.993490,0.500000,5.000000,9.000000,5.062500,7.156250,8.343750,6.500000,18.000000,17.958334,18.000000,15.500000,15.850000
42,15.320312,0.600000,4.000000,4.770833,7.958334,6.895833,4.354167,2.895833,18.000000,18.000000,18.000000,15.520124,15.959430
43,14.792969,0.600000,4.000000,8.041667,3.354167,5.562500,4.500000,3.656250,14.458334,18.000000,18.000000,15.526316,16.197369
44,14.748698,0.600000,4.000000,7.479167,7.250000,8.729167,5.666667,6.093750,2.375000,18.000000,18.000000,15.572369,16.250000
45,14.660156,0.600000,4.000000,7.062500,5.854167,5.291667,5.541667,5.833333,4.218750,18.000000,18.000000,15.631578,16.460526
46,15.069011,0.600000,4.000000,10.854167,8.031250,6.968750,7.708333,7.750000,2.916667,18.000000,18.000000,15.756578,16.486843
47,14.756511,0.600000,4.000000,6.541667,7.114583,6.875000,3.812500,5.875000,4.166667,18.000000,18.000000,15.842105,16.605263
48,15.042969,0.600000,4.000000,10.708334,7.802083,7.541667,6.437500,6.895833,3.208333,18.000000,18.000000,15.855263,16.677631
49,15.009115,0.600000,4.000000,5.572917,10.291667,8.281250,6.208333,7.114584,3.364583,18.000000,18.000000,15.947369,16.796053
50,15.024740,0.687500,3.125000,6.875000,6.604167,7.041667,6.333333,6.166667,4.343750,18.000000,18.000000,16.112961,16.966751
51,15.873698,0.762500,2.375000,10.812500,9.687500,9.500000,9.395834,8.875000,3.562500,18.000000,18.000000,16.129440,17.225519
52,15.044271,0.800000,2.000000,3.833333,5.645833,7.229167,4.437500,3.083333,2.937500,18.000000,4.812500,16.144735,17.342106
53,14.630209,0.800000,2.000000,8.750000,7.875000,6.291667,7.375000,4.416667,3.687500,8.750000,4.000000,16.194078,17.355263
54,14.585938,0.800000,2.000000,10.000000,9.354167,9.791667,4.187500,5.729167,3.187500,3.291667,3.375000,16.105263,17.358553
55,14.333334,0.800000,2.000000,8.541667,3.645833,5.437500,4.666667,4.812500,4.375000,4.083333,3.125000,16.167763,17.434212
56,14.781250,0.800000,2.000000,10.666667,7.833333,8.958334,7.083334,7.645833,2.770833,3.312500,4.333333,16.276318,17.467106
57,14.355469,0.800000,2.000000,4.250000,5.312500,6.645833,5.895833,5.770833,3.125000,3.437500,2.500000,16.332237,17.500000
58,14.726562,0.800000,2.000000,7.750000,5.312500,7.125000,9.250000,5.458333,5.166667,3.750000,4.125000,16.453947,17.523026
59,15.395834,0.900000,1.000000,5.916667,8.250000,7.958333,6.166667,9.375000,2.500000,4.250000,3.937500,16.536289,17.255630
60,14.649740,0.900000,1.000000,6.625000,2.083333,8.750000,3.604167,7.250000,3.125000,3.312500,3.437500,16.514805,15.306547
61,14.234375,0.900000,1.000000,8.687500,5.625000,5.375000,6.666667,8.312500,3.687500,3.312500,3.250000,16.562500,2.812500
62,14.313803,0.900000,1.000000,5.395833,5.687500,6.916667,7.187500,8.937500,3.625000,4.500000,4.187500,16.636513,2.000000
63,14.216146,0.900000,1.000000,7.083333,5.416667,8.437500,4.625000,4.562500,3.500000,2.375000,2.812500,16.728619,2.000000
64,14.509115,0.900000,1.000000,6.625000,8.375000,7.062500,5.375000,7.500000,3.875000,4.812500,4.416667,16.822369,2.437500
65,14.462240,0.900000,1.000000,8.416667,6.937500,7.458333,4.750000,5.312500,3.750000,2.500000,2.666667,16.914474,2.562500
66,14.641928,0.900000,1.000000,7.750000,9.062500,8.562500,7.312500,5.937500,3.312500,4.062500,3.708333,16.988487,1.812500
67,14.528646,0.900000,1.000000,5.250000,7.562500,6.812500,6.125000,6.625000,3.187500,3.312500,3.604167,17.060856,2.312500
68,14.657553,0.900000,1.000000,7.291667,8.187500,8.000000,6.500000,4.687500,3.520833,3.437500,3.562500,17.090462,2.062500
69,14.826823,0.900000,1.000000,5.208333,10.354167,7.875000,8.187500,6.979167,3.833333,4.312500,3.645833,17.166119,2.375000
70,14.614584,0.900000,1.000000,6.375000,7.937500,4.250000,7.312500,6.750000,3.375000,2.229167,3.437500,17.202301,1.562500
71,14.865886,0.900000,1.000000,7.687500,8.937500,5.750000,7.625000,7.937500,3.875000,4.458333,3.875000,17.266449,2.062500
72,14.767725,0.971094,0.289062,6.927083,9.261719,5.028646,4.384766,5.563477,3.862305,2.402344,3.711914,17.310476,2.356445
