Kp,Kd,risk_score,new_relative_error_mean,rms_relative_error_new,new_error_mean,rms_target_error_new,relative_error_reduction_ratio,sat_ratio,qdot_limit_rate,max_abs_qdot_new,max_abs_tau_new,smoothness_cost
170.0,30.0,1.0216310522137504,0.8160303934912464,1.0899408817116099,0.1039781747452899,0.1326682351492629,0.08439384939453662,0.3713397457281589,0.6994236257830164,2.0,60.0,0.5010100766660055
160.0,30.0,1.0247031288673107,0.8249063076135926,1.0980606799878858,0.10573019667890354,0.13455398061008145,0.07443485567630413,0.37957300122317356,0.710566551762482,2.0,60.0,0.4394238927692014
150.0,30.0,1.032251016549803,0.8336567760428296,1.1057788325627094,0.10756293690191063,0.13655970239710385,0.06461661510782431,0.389891211683161,0.7231504132844063,2.0,60.0,0.3808376912853755
180.0,30.0,1.0398475630179131,0.8076405439097145,1.0820784666901033,0.10231731225475622,0.13091576216146958,0.09380746675582141,0.3641999332814411,0.690106193706216,2.0,60.0,0.5641541881685919
140.0,30.0,1.0432297470593266,0.8422166722057052,1.1125467785330614,0.1095858218879446,0.13879669998859906,0.05501220130438545,0.39936154045739275,0.7376292672078283,2.0,60.0,0.32307660522551845
130.0,30.0,1.0558726258890694,0.8514298775126594,1.1190601048751063,0.11179592379884255,0.14125810781645906,0.04467475859009189,0.40599633047926165,0.7511305089143407,2.0,60.0,0.2705133452772831
190.0,30.0,1.056940831528902,0.7998118964336123,1.074951018577798,0.10077246431068121,0.12931355762964064,0.10259140156660004,0.3577134067237481,0.6818636717446903,2.0,60.0,0.628758764212132
120.0,30.0,1.0720908266006026,0.8599114979946726,1.1238056400799394,0.11416694397145247,0.1439464335053798,0.03515817202374135,0.4153461951888506,0.7665916082879276,2.0,60.0,0.21959414849686573
200.0,30.0,1.0753069605056151,0.7925224460517356,1.068259505774665,0.09933680019431292,0.1278506664827235,0.11077034399008616,0.35067552540865116,0.6737323473812965,2.0,60.0,0.6939876228643052
210.0,30.0,1.0930635799758632,0.7847802177347658,1.0605081187878642,0.09796886370612523,0.12646955272284366,0.11945731438107979,0.3440453686200378,0.6663794062048259,2.0,60.0,0.7585579209575166
110.0,30.0,1.0989763038514067,0.8702238822855728,1.1313261291353705,0.11671298460332762,0.14685537718135044,0.023587423483654443,0.4243254012379999,0.7849716446124764,2.0,60.0,0.17311827373598537
220.0,30.0,1.1117600617240733,0.7775807710623002,1.0536736340430557,0.09665834156128494,0.12520030167772864,0.12753527043129925,0.33955576559546313,0.6604720338040698,2.0,60.0,0.8249051267215196
230.0,30.0,1.1285147994016627,0.7705596391590122,1.046876469299241,0.09544106642900133,0.12404755257587256,0.13541315292947326,0.33369935876051743,0.6542959338744949,2.0,60.0,0.888241274359032
100.0,30.0,1.131301396863165,0.8801235092364149,1.1371534448859328,0.11956458669292033,0.15012402451324472,0.012479798820176897,0.43311001149041845,0.8043756254864894,2.0,60.0,0.13298829279849098
240.0,30.0,1.1460075654419224,0.7635880059180078,1.0401011562300073,0.0942807054005267,0.12296187787479435,0.14323549671242888,0.3297240446273027,0.6503067200415138,2.0,60.0,0.9526432218384093
250.0,30.0,1.1615296312407224,0.756711964838763,1.0330619325922235,0.09319340026078102,0.12196528382898318,0.1509505837412797,0.32477575151043403,0.6468642277326809,2.0,60.0,1.0130102712959084
260.0,30.0,1.1767186150176963,0.7494868996634347,1.0254404914506845,0.09214409743833844,0.12103463652075129,0.15905728438113387,0.3206799733125764,0.6441815856777493,2.0,60.0,1.0763342689763558
270.0,30.0,1.190824708810812,0.74267371090516,1.0183394222784308,0.09116270043741379,0.1201904031639352,0.1667018495616332,0.3173857444679195,0.6415174765558397,2.0,60.0,1.1354786634969019
280.0,30.0,1.2054700962074836,0.7361881641299223,1.0114513068230084,0.09024192617125623,0.11940378847861105,0.173978792387306,0.3137532895956114,0.6378850216835317,2.0,60.0,1.1941384494459626
