step,time_s,env_id,episode_index,is_done,done_reason,terrain_col,terrain_name,terrain_level,row_progress,root_x,root_y,root_z,vx_cmd_raw,yaw_rate_cmd_raw,vx_cmd_limited,yaw_rate_cmd_limited,wheel_speed_reference_abs_mean,wheel_torque_target_abs_mean,contact_weight_mean,rolling_speed_actual_mean,lateral_speed_actual_abs_mean,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,q_desired_spm1_platform_joint_z,q_position_target_old_spm1_platform_joint_z,q_actual_spm1_platform_joint_z,qdot_actual_spm1_platform_joint_z,qdot_cmd_old_spm1_platform_joint_z,q_desired_minus_position_target_old_spm1_platform_joint_z,q_desired_minus_actual_spm1_platform_joint_z,q_position_target_old_minus_actual_spm1_platform_joint_z,q_desired_spm1_platform_joint_y,q_position_target_old_spm1_platform_joint_y,q_actual_spm1_platform_joint_y,qdot_actual_spm1_platform_joint_y,qdot_cmd_old_spm1_platform_joint_y,q_desired_minus_position_target_old_spm1_platform_joint_y,q_desired_minus_actual_spm1_platform_joint_y,q_position_target_old_minus_actual_spm1_platform_joint_y,q_desired_spm1_platform_joint_x,q_position_target_old_spm1_platform_joint_x,q_actual_spm1_platform_joint_x,qdot_actual_spm1_platform_joint_x,qdot_cmd_old_spm1_platform_joint_x,q_desired_minus_position_target_old_spm1_platform_joint_x,q_desired_minus_actual_spm1_platform_joint_x,q_position_target_old_minus_actual_spm1_platform_joint_x,q_desired_spm2_platform_joint_z,q_position_target_old_spm2_platform_joint_z,q_actual_spm2_platform_joint_z,qdot_actual_spm2_platform_joint_z,qdot_cmd_old_spm2_platform_joint_z,q_desired_minus_position_target_old_spm2_platform_joint_z,q_desired_minus_actual_spm2_platform_joint_z,q_position_target_old_minus_actual_spm2_platform_joint_z,q_desired_spm2_platform_joint_y,q_position_target_old_spm2_platform_joint_y,q_actual_spm2_platform_joint_y,qdot_actual_spm2_platform_joint_y,qdot_cmd_old_spm2_platform_joint_y,q_desired_minus_position_target_old_spm2_platform_joint_y,q_desired_minus_actual_spm2_platform_joint_y,q_position_target_old_minus_actual_spm2_platform_joint_y,q_desired_spm2_platform_joint_x,q_position_target_old_spm2_platform_joint_x,q_actual_spm2_platform_joint_x,qdot_actual_spm2_platform_joint_x,qdot_cmd_old_spm2_platform_joint_x,q_desired_minus_position_target_old_spm2_platform_joint_x,q_desired_minus_actual_spm2_platform_joint_x,q_position_target_old_minus_actual_spm2_platform_joint_x
0,0.0,1,0,0,,5,stairs down,11,0.0,93.22626495361328,44.291053771972656,-1.0377833843231201,1.7694002389907837,1.1435480117797852,0.8318778276443481,1.1435480117797852,7.584243297576904,9.592177391052246,0.808113694190979,-0.005884408950805664,0.07248204946517944,0.8847001194953918,0.5717740058898926,0.22760413587093353,-0.058216873556375504,-0.2801956832408905,-0.2429373413324356,0.4874480962753296,-0.20885467529296875,0.15932288765907288,-0.14477227628231049,-0.15592816472053528,1.2361220121383667,1.5,0.30409516394138336,0.31525105237960815,0.011155888438224792,-0.09314700216054916,-0.11091554909944534,-0.1107059046626091,0.10790193825960159,0.16401737928390503,0.01776854693889618,0.017558902502059937,-0.00020964443683624268,-0.14009784162044525,-0.028874993324279785,-0.038062967360019684,-0.6763741970062256,-1.0266724824905396,-0.11122284829616547,-0.10203487426042557,0.009187974035739899,-0.17005613446235657,-0.09229297190904617,-0.08648773282766342,-0.9181074500083923,-0.7178137898445129,-0.0777631625533104,-0.08356840163469315,-0.0058052390813827515,0.2437240481376648,0.14107079803943634,0.13959479331970215,1.8881250619888306,0.947568416595459,0.10265325009822845,0.10412925481796265,0.001476004719734192,-0.10442733764648438,0.10035288333892822,0.12610523402690887,-0.1951998621225357,-1.5,-0.2047802209854126,-0.23053257167339325,-0.025752350687980652
0,0.0,7,0,0,,5,stairs down,11,0.0,93.21317291259766,44.21832275390625,-1.041446328163147,1.9085299968719482,1.9771201610565186,0.9562335014343262,1.9771201610565186,6.984612941741943,10.40881633758545,0.8333333730697632,-0.055767469108104706,0.07004712522029877,0.9542649984359741,0.9885600805282593,0.26491954922676086,0.4549350142478943,-0.42210620641708374,0.10472074896097183,0.5651720762252808,-0.13554786145687103,0.1854436844587326,-0.13191747665405273,-0.14958974719047546,1.1138277053833008,1.5,0.31736116111278534,0.33503343164920807,0.01767227053642273,0.22746750712394714,-0.219126358628273,-0.22870615124702454,0.7376327514648438,1.5,0.44659386575222015,0.4561736583709717,0.009579792618751526,-0.21105310320854187,0.018680144101381302,0.023879267275333405,-1.5321403741836548,-1.5,-0.22973324730992317,-0.23493237048387527,-0.005199123173952103,0.07330452650785446,-0.023896148428320885,-0.04196291044354439,-0.36632582545280457,0.8972370028495789,0.09720067493617535,0.11526743695139885,0.018066762015223503,0.2825860381126404,0.024855520576238632,0.016039546579122543,1.2704156637191772,1.5,0.25773051753640175,0.26654649153351784,0.008815973997116089,-0.06777393072843552,0.08275526016950607,0.09360218048095703,-1.2636966705322266,-1.3895001411437988,-0.1505291908979416,-0.16137611120939255,-0.010846920311450958
0,0.0,13,0,0,,5,stairs down,11,0.0,93.25202941894531,44.2953987121582,-1.0246305465698242,1.4717963933944702,0.324760764837265,0.8252354860305786,0.324760764837265,5.875443458557129,4.223818778991699,0.5,0.28662341833114624,0.0476844422519207,0.7358981966972351,0.1623803824186325,0.13981541991233826,-0.21505188941955566,-0.005460226442664862,-0.3205198049545288,0.575831949710846,-0.2817939221858978,0.09787078946828842,-0.05916783958673477,-0.05959324166178703,1.3698638677597046,1.449587345123291,0.1570386290550232,0.15746403113007545,0.00042540207505226135,-0.3440830409526825,-0.14835020899772644,-0.13095960021018982,-0.48720264434814453,-1.5,-0.19573283195495605,-0.21312344074249268,-0.01739060878753662,-0.002730113221332431,-0.08089490234851837,-0.09883218258619308,0.07944034785032272,0.7215210795402527,0.07816478912718594,0.09610206936486065,0.017937280237674713,-0.22436386346817017,-0.09207560122013092,-0.08009987324476242,-0.3530341684818268,-1.2211225032806396,-0.13228826224803925,-0.14426399022340775,-0.0119757279753685,0.287915974855423,0.16242936253547668,0.1404067724943161,0.08419723063707352,1.158337950706482,0.1254866123199463,0.14750920236110687,0.022022590041160583,-0.1408969610929489,0.08699212968349457,0.10732987523078918,-0.5172622799873352,-1.5,-0.22788909077644348,-0.2482268363237381,-0.020337745547294617
1,0.016666666666666666,1,0,0,,5,stairs down,11,0.0,93.23426818847656,44.29274368286133,-1.0336620807647705,1.77225661277771,0.46722909808158875,0.9305151700973511,0.46722909808158875,6.4459733963012695,4.776231288909912,0.6666666865348816,-0.010305067524313927,0.028825771063566208,0.886128306388855,0.23361454904079437,-0.1601085662841797,-0.07646093517541885,-0.028172051534056664,-0.5192315578460693,0.850896418094635,-0.20304837822914124,-0.11207599192857742,-0.15008120238780975,-0.14456364512443542,0.5015832185745239,0.35081738233566284,0.03800521045923233,0.032487653195858,-0.005517557263374329,-0.12233749777078629,-0.11225678026676178,-0.1137128472328186,-0.0069869947619736195,-0.09305274486541748,-0.010080717504024506,-0.008624650537967682,0.0014560669660568237,-0.014086025767028332,-0.03486604243516922,-0.04277895763516426,-0.42150330543518066,0.19181552529335022,0.020780016668140888,0.02869293186813593,0.007912915199995041,-0.36346209049224854,-0.1114877313375473,-0.09343020617961884,-0.1966961920261383,-1.5,-0.25197435915470123,-0.2700318843126297,-0.018057525157928467,0.4254482090473175,0.16459479928016663,0.15305514633655548,0.8497405052185059,1.5,0.2608534097671509,0.272393062710762,0.011539652943611145,-0.10152418911457062,0.1011052280664444,0.1242360919713974,-0.30090567469596863,-1.5,-0.20262941718101501,-0.22576028108596802,-0.023130863904953003
1,0.016666666666666666,7,0,0,,5,stairs down,11,0.0,93.22064208984375,44.21919631958008,-1.0344144105911255,1.623077154159546,0.6363160014152527,1.0768332481384277,0.6363160014152527,6.634208679199219,8.839031219482422,0.7010253667831421,0.18695668876171112,0.07130062580108643,0.811538577079773,0.31815800070762634,0.21292364597320557,-0.0021973198745399714,-0.40496504306793213,-0.014562592841684818,0.4740717113018036,-0.004165586084127426,0.14904655516147614,-0.12458974123001099,-0.13295957446098328,0.7068292498588562,1.5,0.2736362963914871,0.2820061296224594,0.00836983323097229,-0.0035157117526978254,-0.20370614528656006,-0.2115222066640854,0.87099289894104,1.5,0.20019043353386223,0.20800649491138756,0.00781606137752533,-0.20248252153396606,-0.0011207349598407745,-0.0010123305255547166,-0.8703577518463135,-1.5,-0.2013617865741253,-0.20147019100841135,-0.00010840443428605795,-0.010193814523518085,-0.037727031856775284,-0.044495414942502975,0.014899954199790955,0.254152774810791,0.0275332173332572,0.03430160041898489,0.006768383085727692,0.2370358556509018,0.04103954881429672,0.03501678630709648,0.8564252853393555,1.5,0.19599630683660507,0.2020190693438053,0.006022762507200241,-0.002082793042063713,0.08084418624639511,0.07510517537593842,-0.5819199681282043,-0.7654798030853271,-0.08292697928845882,-0.07718796841800213,0.0057390108704566956
1,0.016666666666666666,13,0,0,,5,stairs down,11,0.0,93.26087951660156,44.29738235473633,-1.0211007595062256,0.9501328468322754,0.031522076576948166,0.8156049251556396,0.031522076576948166,5.309774398803711,2.8447508811950684,0.3333333432674408,0.23137658834457397,0.04520847648382187,0.4750664234161377,0.015761038288474083,-0.216558575630188,-0.1301848590373993,0.09534993767738342,-0.4263988733291626,0.49269264936447144,-0.05669712647795677,-0.1515910029411316,-0.07185961306095123,-0.04899229854345322,0.22527822852134705,-0.7359820604324341,-0.07973138988018036,-0.10259870439767838,-0.022867314517498016,-0.2082957774400711,-0.14127108454704285,-0.1360512226819992,-0.07407630980014801,-0.6186894178390503,-0.06702469289302826,-0.0722445547580719,-0.00521986186504364,0.04767496883869171,-0.07929790019989014,-0.09423147886991501,0.33050864934921265,1.1720571517944336,0.12697286903858185,0.14190644770860672,0.014933578670024872,-0.29847919940948486,-0.1050998717546463,-0.08057704567909241,-0.08334722369909286,-1.5,-0.19337932765483856,-0.21790215373039246,-0.024522826075553894,0.24634632468223572,0.1545320451259613,0.14255580306053162,0.4107985496520996,0.8475164175033569,0.09181427955627441,0.1037905216217041,0.011976242065429688,-0.028348563238978386,0.08923941850662231,0.10112758725881577,-0.32897138595581055,-1.0854275226593018,-0.1175879817456007,-0.12947615049779415,-0.011888168752193451
2,0.03333333333333333,1,0,0,,5,stairs down,11,0.0,93.2419662475586,44.29508590698242,-1.0302172899246216,1.2122527360916138,0.4805028736591339,0.8862184286117554,0.4805028736591339,5.440305709838867,2.6153769493103027,0.3333333432674408,0.03969785198569298,0.005657499190419912,0.6061263680458069,0.24025143682956696,-0.1147257536649704,-0.2681765854358673,-0.0023271548561751842,-0.3151366412639618,0.6629126071929932,-0.1637020707130432,-0.08030802756547928,-0.13599622249603271,-0.13365988433361053,0.3264140784740448,0.5140449404716492,0.055688194930553436,0.053351856768131256,-0.00233633816242218,-0.4290825426578522,-0.13871285319328308,-0.12510304152965546,-0.3835918605327606,-1.5,-0.2903696894645691,-0.3039795011281967,-0.013609811663627625,-0.0011635774280875921,-0.0372302383184433,-0.04570746421813965,0.4177877902984619,0.3329230546951294,0.036066660890355706,0.044543886790052056,0.00847722589969635,-0.22059564292430878,-0.11038559675216675,-0.09763693809509277,0.07595866918563843,-1.0173234939575195,-0.11021004617214203,-0.122958704829216,-0.012748658657073975,0.3314563035964966,0.17684197425842285,0.1561020165681839,0.37167999148368835,1.4272092580795288,0.15461432933807373,0.17535428702831268,0.020739957690238953,-0.0818510353565216,0.09923608601093292,0.11217796802520752,-0.12974518537521362,-1.5,-0.18108712136745453,-0.19402900338172913,-0.012941882014274597
2,0.03333333333333333,7,0,0,,5,stairs down,11,0.0,93.22826385498047,44.21950912475586,-1.0280203819274902,1.4077996015548706,0.44335001707077026,1.0484225749969482,0.44335001707077026,7.144428253173828,5.778241157531738,0.5,0.176808163523674,0.05766623467206955,0.7038998007774353,0.22167500853538513,0.26034703850746155,0.0026670016814023256,-0.31468939781188965,-0.25850802659988403,0.40983015298843384,0.00242751557379961,0.18224292993545532,-0.1079595685005188,-0.1121201142668724,1.2994877099990845,1.5,0.2902024984359741,0.29436304420232773,0.004160545766353607,0.0013335008407011628,-0.1865222007036209,-0.19771046936511993,1.0643718242645264,1.5,0.18785570154432207,0.1990439702058211,0.011188268661499023,-0.15734469890594482,-0.021856648847460747,-0.020553940907120705,-0.8710843920707703,-1.2506589889526367,-0.13548805005848408,-0.13679075799882412,-0.0013027079403400421,-0.18095561861991882,-0.06269010901451111,-0.052941761910915375,-0.7269642353057861,-1.0916815996170044,-0.11826550960540771,-0.12801385670900345,-0.009748347103595734,0.20491507649421692,0.05766989290714264,0.04786190018057823,0.9919529557228088,1.3591862916946411,0.14724518358707428,0.1570531763136387,0.009807992726564407,0.001213757786899805,0.06525298953056335,0.0659099817276001,-0.24982663989067078,-0.591131329536438,-0.06403923174366355,-0.06469622394070029,-0.0006569921970367432
2,0.03333333333333333,13,0,0,,5,stairs down,11,0.0,93.26983642578125,44.29955291748047,-1.0177533626556396,1.1554934978485107,0.5885164737701416,0.8153301477432251,0.5885164737701416,4.884622573852539,2.8824777603149414,0.6666666865348816,0.2342672348022461,0.01566409133374691,0.5777467489242554,0.2942582368850708,-0.08972278982400894,-0.1314064860343933,0.12962566316127777,-0.2333371788263321,0.6137529611587524,-0.1379384845495224,-0.06280595064163208,-0.05083411931991577,-0.04508339613676071,0.11565525084733963,-0.11050921678543091,-0.011971831321716309,-0.01772255450487137,-0.00575072318315506,-0.2102503776550293,-0.14594444632530212,-0.13941101729869843,-0.10927938669919968,-0.5935932397842407,-0.06430593132972717,-0.07083936035633087,-0.006533429026603699,0.06481283158063889,-0.07302556931972504,-0.09120084345340729,0.29232802987098694,1.2723544836044312,0.13783840090036392,0.15601367503404617,0.01817527413368225,-0.16333602368831635,-0.0916115790605545,-0.07972762733697891,0.246789813041687,-0.6620718240737915,-0.07172444462776184,-0.08360839635133743,-0.011883951723575592,0.3068764805793762,0.16446523368358612,0.14896193146705627,0.6622203588485718,1.3145654201507568,0.1424112468957901,0.15791454911231995,0.015503302216529846,-0.0689692422747612,0.07844801247119904,0.09457314014434814,-0.20587792992591858,-1.3607746362686157,-0.14741725474596024,-0.16354238241910934,-0.01612512767314911
3,0.05,1,0,0,,5,stairs down,11,0.0,93.25027465820312,44.297340393066406,-1.0269864797592163,1.2993245124816895,0.3030421733856201,0.8314049243927002,0.3030421733856201,5.847966194152832,7.232761383056641,0.6666666865348816,0.06726521998643875,0.021698271855711937,0.6496622562408447,0.15152108669281006,-0.2605988681316376,-0.26155921816825867,-0.04213445261120796,-0.3128821849822998,0.6144180297851562,-0.19452936947345734,-0.18241921067237854,-0.14016112685203552,-0.12920160591602325,0.17192500829696655,-0.39007461071014404,-0.04225808382034302,-0.053217604756355286,-0.010959520936012268,-0.4184947609901428,-0.15010304749011993,-0.13560518622398376,-0.6978141069412231,-1.5,-0.2683917135000229,-0.28288957476615906,-0.01449786126613617,-0.02106722630560398,-0.0424221009016037,-0.05251392349600792,-0.2958829402923584,0.19712190330028534,0.021354874595999718,0.03144669719040394,0.01009182259440422,-0.21901752054691315,-0.11382101476192474,-0.09610486775636673,0.09141768515110016,-0.971044659614563,-0.1051965057849884,-0.12291265279054642,-0.017716147005558014,0.3072090148925781,0.17624962329864502,0.1627233326435089,0.3812129497528076,1.2088559865951538,0.1309593915939331,0.1444856822490692,0.013526290655136108,-0.09726468473672867,0.08717796206474304,0.10207229852676392,-0.5659304261207581,-1.5,-0.1844426468014717,-0.19933698326349258,-0.014894336462020874
