step,time_s,env_id,episode_index,is_done,done_reason,terrain_col,terrain_name,terrain_level,row_progress,root_x,root_y,root_z,vx_cmd_raw,yaw_rate_cmd_raw,vx_cmd_limited,yaw_rate_cmd_limited,wheel_speed_reference_abs_mean,wheel_torque_target_abs_mean,contact_weight_mean,rolling_speed_actual_mean,lateral_speed_actual_abs_mean,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,q_desired_spm1_platform_joint_z,q_position_target_old_spm1_platform_joint_z,q_actual_spm1_platform_joint_z,qdot_actual_spm1_platform_joint_z,qdot_cmd_old_spm1_platform_joint_z,q_desired_minus_position_target_old_spm1_platform_joint_z,q_desired_minus_actual_spm1_platform_joint_z,q_position_target_old_minus_actual_spm1_platform_joint_z,q_desired_spm1_platform_joint_y,q_position_target_old_spm1_platform_joint_y,q_actual_spm1_platform_joint_y,qdot_actual_spm1_platform_joint_y,qdot_cmd_old_spm1_platform_joint_y,q_desired_minus_position_target_old_spm1_platform_joint_y,q_desired_minus_actual_spm1_platform_joint_y,q_position_target_old_minus_actual_spm1_platform_joint_y,q_desired_spm1_platform_joint_x,q_position_target_old_spm1_platform_joint_x,q_actual_spm1_platform_joint_x,qdot_actual_spm1_platform_joint_x,qdot_cmd_old_spm1_platform_joint_x,q_desired_minus_position_target_old_spm1_platform_joint_x,q_desired_minus_actual_spm1_platform_joint_x,q_position_target_old_minus_actual_spm1_platform_joint_x,q_desired_spm2_platform_joint_z,q_position_target_old_spm2_platform_joint_z,q_actual_spm2_platform_joint_z,qdot_actual_spm2_platform_joint_z,qdot_cmd_old_spm2_platform_joint_z,q_desired_minus_position_target_old_spm2_platform_joint_z,q_desired_minus_actual_spm2_platform_joint_z,q_position_target_old_minus_actual_spm2_platform_joint_z,q_desired_spm2_platform_joint_y,q_position_target_old_spm2_platform_joint_y,q_actual_spm2_platform_joint_y,qdot_actual_spm2_platform_joint_y,qdot_cmd_old_spm2_platform_joint_y,q_desired_minus_position_target_old_spm2_platform_joint_y,q_desired_minus_actual_spm2_platform_joint_y,q_position_target_old_minus_actual_spm2_platform_joint_y,q_desired_spm2_platform_joint_x,q_position_target_old_spm2_platform_joint_x,q_actual_spm2_platform_joint_x,qdot_actual_spm2_platform_joint_x,qdot_cmd_old_spm2_platform_joint_x,q_desired_minus_position_target_old_spm2_platform_joint_x,q_desired_minus_actual_spm2_platform_joint_x,q_position_target_old_minus_actual_spm2_platform_joint_x
0,0.0,4,0,0,,8,discrete obstacles,11,0.0,93.22200775146484,68.17232513427734,0.14637532830238342,1.1509449481964111,-0.47743672132492065,0.3999999761581421,-0.47743672132492065,1.618128776550293,2.1336870193481445,0.5,0.20909295976161957,0.03898482769727707,0.5754724740982056,-0.23871836066246033,0.060136426240205765,-0.15372131764888763,0.12228859215974808,0.011745108291506767,-0.013707749545574188,0.20769567787647247,0.042095497250556946,-0.002778687048703432,-0.0032951997127383947,0.418000191450119,0.41422325372695923,0.04487418429926038,0.04539069696329534,0.0005165126640349627,-0.24595411121845245,-0.06446053087711334,-0.0404018796980381,-0.2265218049287796,-1.5,-0.1814935803413391,-0.20555223152041435,-0.02405865117907524,0.06114429607987404,-0.0031887423247098923,-0.02103460393846035,-0.6802132725715637,0.5938434600830078,0.06433303840458393,0.08217890001833439,0.017845861613750458,0.008221575990319252,0.0867270901799202,0.09299604594707489,-0.34606796503067017,-0.7246662974357605,-0.07850551418960094,-0.08477446995675564,-0.006268955767154694,-0.02193239890038967,-0.046428337693214417,-0.06461586803197861,-0.7425969839096069,0.2261163741350174,0.024495938792824745,0.042683469131588936,0.01818753033876419,0.10384783893823624,0.01760505512356758,0.005269951652735472,0.14587576687335968,0.7960872054100037,0.08624278381466866,0.09857788728550076,0.01233510347083211
0,0.0,10,0,0,,8,discrete obstacles,11,0.0,93.25666046142578,68.18864440917969,0.14458701014518738,1.1776771545410156,0.43551865220069885,0.3999999761581421,0.43551865220069885,1.9454047679901123,1.7892836332321167,0.798174262046814,0.3194667398929596,0.007619093172252178,0.5888385772705078,0.21775932610034943,0.1318449079990387,-0.3484639823436737,0.06186193227767944,0.0706016793847084,0.25226467847824097,-0.08483456820249557,0.0922914370894432,0.040845006704330444,0.036550089716911316,0.2247016727924347,0.4748901426792145,0.05144643038511276,0.05574134737253189,0.004294916987419128,-0.5575423836708069,-0.10815945267677307,-0.08566968888044357,-0.13082990050315857,-1.5,-0.4493829309940338,-0.4718726947903633,-0.0224897637963295,0.03093096613883972,-0.0011453493498265743,-0.00958893820643425,-0.14170995354652405,0.2960890531539917,0.032076315488666296,0.04051990434527397,0.008443588856607676,0.04942117631435394,0.048110347241163254,0.04636364430189133,-0.12877658009529114,0.01209995150566101,0.001310829073190689,0.003057532012462616,0.0017467029392719269,0.12613233923912048,-0.06440655887126923,-0.0885322168469429,0.07386599481105804,1.5,0.1905388981103897,0.21466455608606339,0.024125657975673676,-0.04241728410124779,-0.00533145060762763,0.00031297889654524624,-0.01570059172809124,-0.34233078360557556,-0.03708583349362016,-0.042730262997793034,-0.0056444295041728765
0,0.0,16,0,0,,8,discrete obstacles,11,0.0,93.28993225097656,68.17671966552734,0.14616337418556213,1.2014977931976318,0.4621044099330902,0.3999999761581421,0.4621044099330902,1.3373264074325562,4.1335062980651855,0.5,0.23955324292182922,0.00820233579725027,0.6007488965988159,0.2310522049665451,-0.07581070065498352,-0.1609867513179779,0.17383824288845062,-0.0023352219723165035,0.24093012511730194,-0.037418849766254425,-0.053067490458488464,-0.007461083121597767,-0.009844428859651089,-0.08394128084182739,-0.4209822118282318,-0.0456064073368907,-0.043223061598837376,0.002383345738053322,-0.2575788199901581,-0.11442198604345322,-0.08479941636323929,-0.3593037724494934,-1.321447730064392,-0.14315683394670486,-0.1727794036269188,-0.029622569680213928,0.08691912144422531,0.018905021250247955,0.014458983205258846,-0.37465208768844604,0.6278224587440491,0.06801410019397736,0.07246013823896646,0.004446038044989109,-0.0016346554039046168,0.08887331187725067,0.10266754776239395,-0.46257832646369934,-0.8354582190513611,-0.09050796728115529,-0.10430220316629857,-0.01379423588514328,0.12046506255865097,-0.06009730324149132,-0.08257035911083221,-0.07033450156450272,1.5,0.1805623658001423,0.20303542166948318,0.022473055869340897,-0.018709424883127213,-4.352186806499958e-05,0.0075591327622532845,-0.044058434665203094,-0.17230065166950226,-0.018665903015062213,-0.026268557645380497,-0.007602654630318284
1,0.016666666666666666,4,0,0,,8,discrete obstacles,11,0.0,93.22947692871094,68.17411804199219,0.14665350317955017,1.4843114614486694,0.2659474313259125,0.3999999761581421,0.2659474313259125,2.0093536376953125,2.1775810718536377,0.6050387024879456,0.20494991540908813,0.03836562857031822,0.7421557307243347,0.13297371566295624,0.140194371342659,-0.3202771246433258,0.1401745229959488,0.08635486662387848,0.1561545580625534,0.12116946280002594,0.0981360599398613,0.010228968225419521,0.0034715740475803614,0.5251009464263916,0.8114500641822815,0.08790709171444178,0.09466448589228094,0.00675739417783916,-0.5124434232711792,-0.06540188193321228,-0.03848918154835701,-0.10291969776153564,-1.5,-0.4470415413379669,-0.4739542417228222,-0.02691270038485527,0.0700872614979744,-0.008885021321475506,-0.029371947050094604,-0.551518976688385,0.7289749383926392,0.0789722828194499,0.099459208548069,0.0204869257286191,0.060448404401540756,0.08865635842084885,0.08887902647256851,-0.3113357424736023,-0.26038113236427307,-0.02820795401930809,-0.028430622071027756,-0.00022266805171966553,0.0780772790312767,-0.0455901138484478,-0.07052572816610336,-0.35836488008499146,1.1415451765060425,0.1236673928797245,0.14860300719738007,0.024935614317655563,0.06058473140001297,0.012645255774259567,0.00658442685380578,0.11367462575435638,0.4425182342529297,0.0479394756257534,0.05400030454620719,0.006060828920453787
1,0.016666666666666666,10,0,0,,8,discrete obstacles,11,0.0,93.26353454589844,68.19026947021484,0.14422594010829926,1.0086677074432373,-0.07111950218677521,0.38834917545318604,-0.07111950218677521,1.7327330112457275,0.6362150311470032,0.8333333730697632,0.3297516703605652,0.01019913237541914,0.5043338537216187,-0.035559751093387604,0.13768643140792847,-0.3271540701389313,0.03574017435312271,0.04926678165793419,0.20814809203147888,-0.11801515519618988,0.09638050198554993,0.04452747851610184,0.041099663823843,0.22251901030540466,0.4786432981491089,0.05185302346944809,0.055280838161706924,0.003427814692258835,-0.5234465003013611,-0.11066968739032745,-0.08719806373119354,0.04664791747927666,-1.5,-0.41277681291103363,-0.43624843657016754,-0.02347162365913391,0.017870087176561356,-0.005927734542638063,-0.013311322778463364,-0.07521472126245499,0.21967220306396484,0.02379782171919942,0.03118140995502472,0.0073835882358253,0.03448674827814102,0.04478005692362785,0.044371768832206726,-0.18713361024856567,-0.09501516819000244,-0.010293308645486832,-0.009885020554065704,0.0004082880914211273,0.10407404601573944,-0.06353221833705902,-0.0886232778429985,-0.21326620876789093,1.5,0.16760626435279846,0.19269732385873795,0.025091059505939484,-0.05900757759809494,-0.007596428971737623,0.0001438516628695652,0.058648936450481415,-0.47456446290016174,-0.05141114862635732,-0.059151429260964505,-0.007740280634607188
1,0.016666666666666666,16,0,0,,8,discrete obstacles,11,0.0,93.29889678955078,68.1793212890625,0.14590874314308167,1.3446402549743652,-0.0665375366806984,0.3999999761581421,-0.0665375366806984,1.315784215927124,2.812434673309326,0.6666666865348816,0.28407227993011475,0.02434842847287655,0.6723201274871826,-0.0332687683403492,0.2122565656900406,-0.3470419943332672,-0.08238357305526733,-0.08839953690767288,0.2549034059047699,-0.21790604293346405,0.14857959747314453,0.01127877552062273,-0.00416065938770771,0.5311264991760254,1.2673921585083008,0.1373008219525218,0.15274025686085224,0.01543943490833044,-0.5552672147750854,-0.10979941487312317,-0.08454883843660355,-0.05404762551188469,-1.5,-0.4454677999019623,-0.4707183763384819,-0.025250576436519623,-0.04119178652763367,0.00703888013958931,0.00885216984897852,-0.23942111432552338,-0.4452061653137207,-0.04823066666722298,-0.050043956376612186,-0.0018132897093892097,-0.06187967583537102,0.08072791993618011,0.09136330336332321,-0.8653134703636169,-1.3163777589797974,-0.14260759577155113,-0.15324297919869423,-0.010635383427143097,0.12745170295238495,-0.057570356875658035,-0.08163285255432129,-0.06173606589436531,1.5,0.18502205982804298,0.20908455550670624,0.024062495678663254,-0.10895302146673203,-0.007975822314620018,0.0071332152001559734,-0.08443654328584671,-0.9320972561836243,-0.10097719915211201,-0.116086236666888,-0.015109037514775991
2,0.03333333333333333,4,0,0,,8,discrete obstacles,11,0.0,93.23695373535156,68.17543029785156,0.14659929275512695,1.3709349632263184,0.11491420120000839,0.3999999761581421,0.11491420120000839,1.7660998106002808,2.4960923194885254,0.6912627220153809,0.22195075452327728,0.044100742787122726,0.6854674816131592,0.057457100600004196,0.14906781911849976,-0.41187092661857605,0.017747806385159492,0.07855843007564545,0.17079831659793854,-0.060773421078920364,0.10434747487306595,0.016921695321798325,0.014269504696130753,0.37890926003456116,0.8070071935653687,0.08742577955126762,0.0900779701769352,0.002652190625667572,-0.6589934825897217,-0.06348918378353119,-0.0405232235789299,-0.4485742747783661,-1.5,-0.5955042988061905,-0.6184702590107918,-0.022965960204601288,0.008873903192579746,-0.024272499606013298,-0.025707483291625977,0.27098244428634644,0.3059667944908142,0.033146402798593044,0.03458138648420572,0.0014349836856126785,0.054990898817777634,0.08436060696840286,0.08355365693569183,-0.22619794309139252,-0.271105021238327,-0.02936970815062523,-0.0285627581179142,0.000806950032711029,0.08539915829896927,-0.04973573982715607,-0.06744396686553955,-0.11208213865756989,1.247399091720581,0.13513489812612534,0.15284312516450882,0.017708227038383484,-0.030386710539460182,0.001654941588640213,0.007100827060639858,0.04614848271012306,-0.2957690954208374,-0.032041652128100395,-0.03748753760010004,-0.005445885471999645
2,0.03333333333333333,10,0,0,,8,discrete obstacles,11,0.0,93.27046203613281,68.19194793701172,0.14486804604530334,1.0848164558410645,-0.016035787761211395,0.3999999761581421,-0.016035787761211395,1.8522977828979492,1.3112640380859375,0.6666666865348816,0.3149220049381256,0.015428631566464901,0.5424082279205322,-0.008017893880605698,0.14584089815616608,-0.3250402808189392,0.05817205831408501,0.03242204710841179,0.2034584879875183,-0.057845134288072586,0.10208863019943237,0.049231525510549545,0.04478442296385765,0.2162478268146515,0.48791173100471497,0.05285710468888283,0.05730420723557472,0.0044471025466918945,-0.5200644731521606,-0.11219806969165802,-0.08429320156574249,-0.026426292955875397,-1.5,-0.4078664034605026,-0.43577127158641815,-0.027904868125915527,0.029086029157042503,-0.007658342365175486,-0.013706437312066555,0.25946998596191406,0.33917880058288574,0.03674437152221799,0.04279246646910906,0.006048094946891069,0.022695433348417282,0.04148159176111221,0.04228520765900612,-0.11646520346403122,-0.17341068387031555,-0.01878615841269493,-0.019589774310588837,-0.0008036158978939056,0.10172924399375916,-0.06362327933311462,-0.09133467823266983,-0.20476913452148438,1.5,0.16535252332687378,0.19306392222642899,0.027711398899555206,-0.028922567144036293,-0.003731671255081892,1.988380063266959e-05,0.058760352432727814,-0.2325313538312912,-0.0251908958889544,-0.028942450944668963,-0.0037515550557145616
2,0.03333333333333333,16,0,0,,8,discrete obstacles,11,0.0,93.30787658691406,68.18201446533203,0.1464356631040573,1.1205003261566162,0.05211314558982849,0.3999999761581421,0.05211314558982849,1.724099040031433,1.830759882926941,0.5,0.2957559823989868,0.024617522954940796,0.5602501630783081,0.026056572794914246,-0.09066172689199448,-0.213399276137352,-0.029931241646409035,0.041284069418907166,0.17581000924110413,0.1756826788187027,-0.06346321105957031,-0.012067667208611965,-0.004875936545431614,-0.23325581848621368,-0.474420428276062,-0.05139554385095835,-0.0585872745141387,-0.007191730663180351,-0.3414388597011566,-0.10954883694648743,-0.0812796875834465,0.11061868071556091,-1.5,-0.2318900227546692,-0.2601591721177101,-0.028269149363040924,-0.014965620823204517,0.005676464177668095,0.004434661939740181,-0.39623624086380005,-0.1905423253774643,-0.020642085000872612,-0.0194002827629447,0.0012418022379279137,0.028898848220705986,0.0830347090959549,0.08598741888999939,0.08769229799509048,-0.4997156262397766,-0.05413586087524891,-0.057088570669293404,-0.0029527097940444946,0.08790500462055206,-0.05902780592441559,-0.08678262680768967,-0.5395724177360535,1.3563028573989868,0.14693281054496765,0.17468763142824173,0.02775482088327408,0.08784133940935135,0.01789429970085621,0.009199804626405239,-0.03258165717124939,0.6456649899482727,0.06994703970849514,0.07864153478294611,0.00869449507445097
3,0.05,4,0,0,,8,discrete obstacles,11,0.0,93.24431610107422,68.17718505859375,0.14623819291591644,0.9297369122505188,-0.2414693683385849,0.3999999761581421,-0.2414693683385849,1.3558368682861328,3.13604998588562,0.7407065629959106,0.25181087851524353,0.040011197328567505,0.4648684561252594,-0.12073468416929245,-0.026087813079357147,-0.2106212079524994,-0.19522465765476227,-0.012026684358716011,0.08142538368701935,-0.024337954819202423,-0.018261468037962914,0.00993204116821289,0.01651250384747982,0.13256588578224182,-0.26024776697158813,-0.028193509206175804,-0.034773971885442734,-0.00658046267926693,-0.336993932723999,-0.06552322208881378,-0.04814160242676735,-0.5551594495773315,-1.5,-0.27147071063518524,-0.2888523302972317,-0.017381619662046432,-0.09761232882738113,-0.0352947972714901,-0.022821424528956413,-0.015136395581066608,-0.5752387642860413,-0.06231753155589104,-0.07479090429842472,-0.012473372742533684,-0.008418679237365723,0.07129067927598953,0.08247179538011551,-0.1360587328672409,-0.7357786893844604,-0.07970935851335526,-0.09089047461748123,-0.011181116104125977,0.040712691843509674,-0.0530230775475502,-0.06732313334941864,0.06377066671848297,0.8652532696723938,0.09373576939105988,0.10803582519292831,0.014300055801868439,-0.012168977409601212,0.004531519487500191,0.007635382004082203,0.012079073116183281,-0.15415844321250916,-0.016700496897101402,-0.019804359413683414,-0.003103862516582012
