case,rows,envs,q_desired_abs_mean,q_desired_abs_p95,tracking_error_abs_mean,tracking_error_abs_p95,tracking_error_ratio,position_target_gap_max,qdot_abs_mean,qdot_abs_p95,qdot_limit_rate_0p95,qdot_limit_rate_0p98,q_desired_delta_abs_mean,q_desired_delta_abs_p95,contact_weight_mean,wheel_speed_reference_abs_mean,wheel_torque_target_abs_mean,rolling_speed_actual_mean,lateral_speed_actual_abs_mean
120_10,4792,8,0.09031235303998851,0.195417121052742,0.04764611002005211,0.11977412784472108,0.5275702427878871,0.0,0.46183428794387704,1.2746416330337524,0.008069003895381191,0.005738731218697829,0.03602349113685165,0.10035692155361176,0.335353667056324,8.312653328135038,2.3331822106595976,0.08183595502019042,0.03913993616697249
120_16,4792,8,0.08967448763630749,0.19698499143123627,0.047728509517182154,0.11883990745991468,0.5322417866579233,0.0,0.4638963925214365,1.2771462202072144,0.007373400111296605,0.005703951029493601,0.0364596974884738,0.10023957304656506,0.3396765601902676,8.2706540399954,2.327111086543271,0.09055783932102446,0.04026353702999263
160_16,4792,8,0.09081189450532598,0.1955350637435913,0.04817289137161116,0.12031191308051348,0.5304689615167746,0.0,0.4608273645283715,1.2760652303695679,0.00765164162493044,0.005669170840289371,0.03616329668962132,0.09918745048344135,0.34420411753913666,8.269023214400013,2.3297092905168224,0.0883936931764506,0.039078055283970875
