Kp,Kd,GroupCount,old_gap_mean,old_error_mean,new_error_mean,error_reduction_ratio,sat_ratio,qdot_limit_rate,oscillation_score,smoothness_cost,risk_score,compatibility_pass
120,24,18,0.173089530823526,0.184318145668954,0.127548964622213,0.303957515834269,0.00668559962520207,0.272547551200074,3.65814104346214,0.321367281600228,0.244791716342746,1
160,24,18,0.173089530823526,0.184318145668954,0.121795600641397,0.335701702472286,0.0150381233332304,0.282076453886469,5.50783059957372,0.565633252848363,0.307809456598275,1
220,24,18,0.173089530823526,0.184318145668954,0.116353910441556,0.365873690237111,0.0355649769869953,0.316924346677787,7.67167083680845,0.944687566484156,0.437893926853122,1
120,16,18,0.173089530823526,0.184318145668954,0.117540277589829,0.359579058925759,0.0105376973094863,0.105978902171563,18.112779167825,0.809611833559342,0.460590435979948,1
160,16,18,0.173089530823526,0.184318145668954,0.112978093718128,0.384945950936108,0.0239313496844078,0.161454459220132,18.7809285515708,1.15829072422304,0.532445524078444,1
220,16,18,0.173089530823526,0.184318145668954,0.108785789685887,0.408398414804004,0.0515766353648617,0.234382767532615,19.4161801501251,1.60361415217044,0.644990657620361,1
120,10,18,0.173089530823526,0.184318145668954,0.111659218569429,0.392202168409165,0.0158951518240509,0.199736618220945,21.9191919191919,1.75126387284168,0.686546719607355,1
320,24,18,0.173089530823526,0.184318145668954,0.11112916627379,0.395113715554773,0.0761339246182518,0.394191269216116,10.2798628486702,1.49034644140442,0.70050627022411,1
160,10,18,0.173089530823526,0.184318145668954,0.108038158460313,0.412496714668878,0.0348471913322831,0.269808154171686,22.8505235844685,2.26946358870282,0.826459959078584,1
320,16,18,0.173089530823526,0.184318145668954,0.104901782738483,0.430244606319416,0.0989161943080139,0.331495034442282,19.9647854693726,2.20189738411986,0.837306313877264,1
