Kp,Kd,tau_v,risk_score_mean,risk_score_max,risk_score_p95,new_error_mean_mean,error_reduction_ratio_mean,sat_ratio_mean,qdot_limit_rate_mean,qdot_alloc_rmse_mean,qdot_alloc_smoothness_mean,compatibility_pass_rate
120.0,10.0,0.03,0.7834463855498338,1.5388059215791752,1.4954442727782664,0.12869528139975356,0.2945976611515637,0.016656126041248314,0.3258970449654547,0.5828826624861253,0.1987439870357008,0.8
120.0,10.0,0.04,0.7834463855498338,1.5388059215791752,1.4954442727782664,0.12869528139975356,0.2945976611515637,0.016656126041248314,0.3258970449654547,0.6778086980489181,0.12907215923826035,0.8
120.0,10.0,0.05,0.7834463855498338,1.5388059215791752,1.4954442727782664,0.12869528139975356,0.2945976611515637,0.016656126041248314,0.3258970449654547,0.7472076960176952,0.09140751778815699,0.8
120.0,16.0,0.03,0.8426469223819777,1.6526580475163843,1.5509893223254696,0.13792155780980564,0.24321772758881074,0.01655891988179445,0.4142531459343692,0.4412408812895912,0.1168404485950825,0.6
120.0,16.0,0.04,0.8426469223819777,1.6526580475163843,1.5509893223254696,0.13792155780980564,0.24321772758881074,0.01655891988179445,0.4142531459343692,0.520991216703511,0.07791309483284042,0.6
120.0,16.0,0.05,0.8426469223819777,1.6526580475163843,1.5509893223254696,0.13792155780980564,0.24321772758881074,0.01655891988179445,0.4142531459343692,0.5817804933085328,0.05646622509222436,0.6
160.0,10.0,0.03,0.8946715388280808,1.5983503054679415,1.5728441884337943,0.11969827180716683,0.3457864084994963,0.035890276361988854,0.37666503181663735,0.6738861647337067,0.261457330199883,0.8
160.0,10.0,0.04,0.8946715388280808,1.5983503054679415,1.5728441884337943,0.11969827180716683,0.3457864084994963,0.035890276361988854,0.37666503181663735,0.7801794765310656,0.16871159150715964,0.8
160.0,10.0,0.05,0.8946715388280808,1.5983503054679415,1.5728441884337943,0.11969827180716683,0.3457864084994963,0.035890276361988854,0.37666503181663735,0.856685153495537,0.11873718849344628,0.8
160.0,16.0,0.03,0.9036241965578012,1.599393257166118,1.591228558141879,0.12719334772524965,0.3037905665876068,0.03090655525695276,0.43930372357623115,0.5409536507585256,0.17280189678628938,0.6
160.0,16.0,0.04,0.9036241965578012,1.599393257166118,1.591228558141879,0.12719334772524965,0.3037905665876068,0.03090655525695276,0.43930372357623115,0.6359919449682415,0.11454807464140541,0.6
160.0,16.0,0.05,0.9036241965578012,1.599393257166118,1.591228558141879,0.12719334772524965,0.3037905665876068,0.03090655525695276,0.43930372357623115,0.7074001857380477,0.08252318529252683,0.6
220.0,16.0,0.03,1.0060242711799694,1.68903043699392,1.6819418333033207,0.11855571246265798,0.3526637316054519,0.059421956208362894,0.4767427767481131,0.6472464507245564,0.24273520014620267,0.6
220.0,16.0,0.04,1.0060242711799694,1.68903043699392,1.6819418333033207,0.11855571246265798,0.3526637316054519,0.059421956208362894,0.4767427767481131,0.7567591304347209,0.15962249379753385,0.6
220.0,16.0,0.05,1.0060242711799694,1.68903043699392,1.6819418333033207,0.11855571246265798,0.3526637316054519,0.059421956208362894,0.4767427767481131,0.8375289774786885,0.11408962812243359,0.6
120.0,24.0,0.03,1.0634082139094945,1.9571900661225237,1.794091796842387,0.15557144278673854,0.14483647607248087,0.15763976760469112,0.6130632209969212,0.32573685424810844,0.06325381841729875,0.4
