case_name,csv_name,env_id,terrain_col,terrain_name,terrain_level,Kp,Kd,J_axis,B_axis,tau_load,tau_v,num_samples,duration_s,old_gap_mean,old_error_mean,new_error_mean,rms_target_error_new,error_reduction_ratio,max_abs_qdot_new,qdot_limit_rate,sat_ratio,max_abs_tau_new,oscillation_score,smoothness_cost,qdot_alloc_rmse,qdot_alloc_smoothness,old_qdot_rms,new_qdot_rms,new_vs_old_qdot_ratio,risk_score
sec14_model699_flat_stairs_down_obstacles_col00_flat_env0,sec14_model699_flat_stairs_down_obstacles_col00_flat.csv,0,0,flat,0.0,120.0,32.0,0.15,5.0,-5.0,0.03,1199,19.98333333333333,0.18231353006762338,0.19407211424061083,0.16851827013284973,0.24353387625516174,0.13167190045695804,2.0,0.07992771754239644,0.15763135946622187,60.0,3.9282735613010846,0.3319906279022284,0.31053335457833153,0.05326500632776792,0.6186397407894707,1.121468480996905,1.8127973472343608,0.27419913132630624
sec14_model699_flat_stairs_down_obstacles_col00_flat_env6,sec14_model699_flat_stairs_down_obstacles_col00_flat.csv,6,0,flat,0.0,120.0,32.0,0.15,5.0,-5.0,0.03,1199,19.98333333333333,0.19166179407515355,0.20360347988920727,0.17498865173669062,0.2456103628320968,0.140541940481998,2.0,0.10397553516819572,0.1675006950236308,60.0,4.420350291909926,0.36449868781743194,0.32716501320636404,0.05910752105685079,0.6233079613054456,1.5573069019406243,2.4984550152047267,0.29209189221927623
sec14_model699_flat_stairs_down_obstacles_col00_flat_env12,sec14_model699_flat_stairs_down_obstacles_col00_flat.csv,12,0,flat,0.0,120.0,32.0,0.15,5.0,-5.0,0.03,1199,19.98333333333333,0.1757728071884057,0.187372997308618,0.16251436161236021,0.23286807329289474,0.13266925359214737,2.0,0.07214345287739783,0.18543230469835975,60.0,3.7781484570475405,0.30079996197706443,0.29054322972406443,0.04662617883359084,0.6160291910297763,1.154618532267,1.87429191518814,0.2604558385782485
sec14_model699_flat_stairs_down_obstacles_col05_stairs_down_env1,sec14_model699_flat_stairs_down_obstacles_col05_stairs_down.csv,1,5,stairs down,11.0,120.0,32.0,0.15,5.0,5.0,0.03,1200,19.98333333333333,0.19577900436598522,0.20713251288143977,0.15827393835711534,0.23060966363773863,0.23588075983170498,2.0,0.20194444444444445,0.24291666666666667,60.0,1.0425354462051712,0.11201023681011452,0.22993194533081135,0.029200915650171504,0.6513222430666568,1.6756904146649625,2.5727517100831934,0.19110134018118996
sec14_model699_flat_stairs_down_obstacles_col05_stairs_down_env7,sec14_model699_flat_stairs_down_obstacles_col05_stairs_down.csv,7,5,stairs down,11.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.19698657232970518,0.20844138330984555,0.1484258866336843,0.21963674360265398,0.2879250546277029,2.0,0.28791666666666665,0.21708333333333332,60.0,1.1592994161801504,0.11069143853307027,0.2322369215442204,0.029788681983527698,0.6572366514696348,1.685085180822318,2.5638941118915537,0.18215716850209987
sec14_model699_flat_stairs_down_obstacles_col05_stairs_down_env13,sec14_model699_flat_stairs_down_obstacles_col05_stairs_down.csv,13,5,stairs down,11.0,120.0,32.0,0.15,5.0,0.0,0.03,1199,19.98333333333333,0.18961255407377273,0.20103413586570923,0.14875303853895092,0.2193852139128337,0.26006079565354057,2.0,0.29469001946066165,0.22490964692799556,60.0,1.1926605504587158,0.10993576428632355,0.22892279608219576,0.028945155643138584,0.6536524799943376,1.8035673843956992,2.759214474962786,0.18266679690080279
sec14_model699_flat_stairs_down_obstacles_col06_stairs_down_env2,sec14_model699_flat_stairs_down_obstacles_col06_stairs_down.csv,2,6,stairs down,11.0,120.0,24.0,0.1,0.0,0.0,0.03,1199,19.98333333333333,0.20496608046116127,0.21665145969758476,0.1313264568407568,0.21016373701205598,0.39383534722512265,2.0,0.17514595496246874,0.01028634973589102,60.0,2.0850708924103425,0.13449179803278807,0.2617126583904378,0.03783022661824027,0.6037911590015383,1.1241459265385991,1.8618124988738616,0.17907552537141785
sec14_model699_flat_stairs_down_obstacles_col06_stairs_down_env8,sec14_model699_flat_stairs_down_obstacles_col06_stairs_down.csv,8,6,stairs down,11.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.19091818066249389,0.20240915292392805,0.1463450731440922,0.2182320486602078,0.2769839158454784,2.0,0.29055555555555557,0.22777777777777777,60.0,1.1676396997497915,0.12073639822736718,0.23742348946469854,0.031134778649179882,0.654234355377378,1.4525747724557292,2.2202667293707763,0.18216874978706357
sec14_model699_flat_stairs_down_obstacles_col06_stairs_down_env14,sec14_model699_flat_stairs_down_obstacles_col06_stairs_down.csv,14,6,stairs down,11.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.2016749451525488,0.21293774215628875,0.14630038370244308,0.21382510796533238,0.31294291833401805,2.0,0.3016666666666667,0.22791666666666666,60.0,1.059216013344454,0.10445794934604416,0.22509116703068308,0.027984105372465064,0.6419439353274912,1.6726143013531598,2.6055457638989403,0.18111746703842987
sec14_model699_flat_stairs_down_obstacles_col07_stairs_down_env3,sec14_model699_flat_stairs_down_obstacles_col07_stairs_down.csv,3,7,stairs down,11.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.1962248152949428,0.20738696376562854,0.15240099867441015,0.2240060877112665,0.2651370370288026,2.0,0.27111111111111114,0.20069444444444445,60.0,1.1926605504587158,0.10963150454010577,0.2300892451612994,0.029240897306120756,0.6665049718581788,1.4299590300212905,2.1454589093831427,0.18625390508701845
