sample_index,time_s,q_raw,q_ref,q_cmd,qdot_cmd,q_model,qdot_model,q_cmd_minus_model,q_raw_minus_model,qdot_cmd_minus_model,tau_model
0,0.0,-0.1778383255004882,-0.04313199544135939,-0.017777777777777778,-0.5333333333333333,-0.014031373772802388,0.7813765179513039,-0.00374640400497539,-0.1638069517276858,-1.3147098512846371,5.701007129111723
1,0.03333333333333333,0.0862903296947479,-0.011742568431907546,-0.017777777777777778,0.0,-0.015585475776308763,0.5411045701105783,-0.0021923020014690143,0.10187580547105667,-0.5411045701105783,4.8922455840269405
2,0.06666666666666667,0.0716520473361015,0.008483533995770846,0.0,0.5333333333333333,-0.002328573095633715,-0.42346432239493326,0.002328573095633715,0.07398062043173521,0.9567976557282666,-2.435719900262499
3,0.1,0.1374940574169159,0.039773084729158414,0.035555555555555556,1.0666666666666667,0.03468664136049312,0.5434044575267614,0.0008689141950624368,0.10280741605642277,0.5232622091399053,9.375659321206962
4,0.13333333333333333,0.1732757687568664,0.07215214105847892,0.07215214105847892,1.097897565087701,0.07130106722020545,0.5197975452205599,0.0008510738382734723,0.10197470153666095,0.5781000198671411,9.108015647546125
5,0.16666666666666666,0.1532170921564102,0.09181321856452188,0.09181321856452188,0.5898323251812887,0.08832631925339061,-0.6340274707873921,0.0034868993111312613,0.06489077290301958,1.2238597959686808,-3.9734903978257083
6,0.2,0.1170045211911201,0.09792298791257704,0.09792298791257704,0.18329308044165504,0.09474501429820845,-0.7262838955997859,0.0031779736143685983,0.02225950689291166,0.9095769760414409,-6.065263499065608
7,0.23333333333333334,0.1738024950027465,0.11632641442199276,0.11632641442199276,0.5521027952824715,0.11287358397586657,-0.5690407842599623,0.0034528304461261955,0.06092891102687993,1.1211435795424338,-3.2367029986249656
8,0.26666666666666666,0.114235870540142,0.11581938463002758,0.1169520631536307,0.0187694619491382,0.11504286462044627,-0.4518377756158708,0.001909198533184428,-0.0008069940803042686,0.470607237565009,-3.98433909756625
9,0.3,0.1018489971756935,0.11243107850254604,0.11243107850254604,-0.13562953953253992,0.11218027420624462,-0.10344189518216892,0.0002508042963014212,-0.010331277030551117,-0.032187644350371,-1.3007662037158143
10,0.3333333333333333,0.1307291388511657,0.11686899621978306,0.11686899621978306,0.13313753151711055,0.11570472465145847,-0.2564454969837594,0.0011642715683245902,0.015024414199707223,0.38958302850086995,-1.9960627889312084
11,0.36666666666666664,0.1328376084566116,0.1207419415383209,0.1207419415383209,0.11618835955613513,0.11922256095203412,-0.34508588703008647,0.0015193805862867699,0.013615047504577482,0.4612742465862216,-2.8276964661923936
