terrain_col,terrain_name,reward_component_progress_to_target,reward_component_drop_anti_dive_penalty,reward_component_rear_follow_reward,reward_component_rear_follow_penalty,reward_component_step_up_module_progress_reward,reward_component_step_up_front_posture_penalty,reward_component_terrain_aware_edge_speed_penalty,quality_gate_score,motion_quality_score,drop_guard_active,rear_follow_score,rear_follow_deficit_score,front_middle_high_rear_low,hard_penalty_sum,hard_positive_sum,net_selected,abs_hard_penalty_to_progress
5,stairs down,8.682717246065352e-05,-0.0039548410807374,0.0,-0.0009226304631568,0.0007274225928119,-0.0057377971753749,-0.0003974429872091,0.0,0.3200376728505992,0.5551839464882943,0.0004082096750693,0.0692989369401948,0.0032880013204338,-0.0110127117064782,0.0007274225928119,-0.010198461941205647,126.83485358766814
6,stairs down,0.002222723273955,-0.0061547441144739,0.0,-0.0050607289643895,0.0007712583054442,-0.0045184759362743,-0.0003821512939158,0.0,0.3354325748029971,0.0939597315436241,0.0009716441230322,0.066797114913458,0.0161365250613065,-0.0161161003090535,0.0007712583054442,-0.013122118729654299,7.250610320184993
7,stairs down,0.005359474422665,-0.0006145528393223,0.0,-0.0111650814116001,0.0008527850200889,-0.0025900829136971,-0.0003225477681907,0.0,0.3907027876377105,0.05,0.1809862076531021,0.0603055992980613,0.0286165438095728,-0.014692264932810199,0.0008527850200889,-0.0084800054900563,2.741363009528921
8,discrete obstacles,0.0099796417275645,-0.0029928392409274,0.0009537774324417,-0.0300534130997645,0.0006037841059636,-0.0035950465460445,-0.000319123798017,0.0,0.3918869628508885,0.5566666666666666,0.4322544703880945,0.0576194800436496,0.0160568434000015,-0.0369604226847534,0.0015575615384053,-0.025423219418783602,3.7035821218577425
9,discrete obstacles,0.0125739150599352,-0.0039860212401906,0.0,0.0,0.0002117641091657,-0.0016908348368445,-0.0003389249121871,0.0,0.4260268708566824,0.5833333333333334,0.1733333333333333,0.0008867381749829,0.0,-0.0060157809892222,0.0002117641091657,0.0067698981798787,0.47843340443666094
