terrain_col,terrain_name,reward_component_progress_to_target__mean,reward_component_progress_to_target__median,reward_component_progress_to_target__std,reward_component_progress_to_target__min,reward_component_progress_to_target__max,reward_component_drop_anti_dive_penalty__mean,reward_component_drop_anti_dive_penalty__median,reward_component_drop_anti_dive_penalty__std,reward_component_drop_anti_dive_penalty__min,reward_component_drop_anti_dive_penalty__max,reward_component_rear_follow_reward__mean,reward_component_rear_follow_reward__median,reward_component_rear_follow_reward__std,reward_component_rear_follow_reward__min,reward_component_rear_follow_reward__max,reward_component_rear_follow_penalty__mean,reward_component_rear_follow_penalty__median,reward_component_rear_follow_penalty__std,reward_component_rear_follow_penalty__min,reward_component_rear_follow_penalty__max,quality_gate_score__mean,quality_gate_score__median,quality_gate_score__std,quality_gate_score__min,quality_gate_score__max,motion_quality_score__mean,motion_quality_score__median,motion_quality_score__std,motion_quality_score__min,motion_quality_score__max,drop_guard_active__mean,drop_guard_active__median,drop_guard_active__std,drop_guard_active__min,drop_guard_active__max,drop_anti_dive_penalty_raw__mean,drop_anti_dive_penalty_raw__median,drop_anti_dive_penalty_raw__std,drop_anti_dive_penalty_raw__min,drop_anti_dive_penalty_raw__max,rear_follow_score__mean,rear_follow_score__median,rear_follow_score__std,rear_follow_score__min,rear_follow_score__max,rear_follow_deficit_score__mean,rear_follow_deficit_score__median,rear_follow_deficit_score__std,rear_follow_deficit_score__min,rear_follow_deficit_score__max,rear_follow_reward_raw__mean,rear_follow_reward_raw__median,rear_follow_reward_raw__std,rear_follow_reward_raw__min,rear_follow_reward_raw__max,rear_follow_penalty_raw__mean,rear_follow_penalty_raw__median,rear_follow_penalty_raw__std,rear_follow_penalty_raw__min,rear_follow_penalty_raw__max,front_middle_high_rear_low__mean,front_middle_high_rear_low__median,front_middle_high_rear_low__std,front_middle_high_rear_low__min,front_middle_high_rear_low__max,reward_component_step_up_module_progress_reward__mean,reward_component_step_up_module_progress_reward__median,reward_component_step_up_module_progress_reward__std,reward_component_step_up_module_progress_reward__min,reward_component_step_up_module_progress_reward__max,reward_component_step_up_front_posture_penalty__mean,reward_component_step_up_front_posture_penalty__median,reward_component_step_up_front_posture_penalty__std,reward_component_step_up_front_posture_penalty__min,reward_component_step_up_front_posture_penalty__max,reward_component_terrain_aware_edge_speed_penalty__mean,reward_component_terrain_aware_edge_speed_penalty__median,reward_component_terrain_aware_edge_speed_penalty__std,reward_component_terrain_aware_edge_speed_penalty__min,reward_component_terrain_aware_edge_speed_penalty__max
5,stairs down,8.682717246065352e-05,0.0011137269902974,0.00928721446102658,-0.0281171798706054,0.0431945584714412,-0.003954841080737458,-0.0002409192966297,0.006035415819143304,-0.0256514344364404,-1.6058385732264922e-09,0.0,0.0,0.0,0.0,0.0,-0.0009226304631568118,-0.0,0.015953772108562327,-0.2758665084838867,-0.0,0.0,0.0,0.0,0.0,0.0,0.3200376728505992,0.3350000083446502,0.054451718758500293,0.1408516019582748,0.6499999761581421,0.5551839464882943,1.0,0.49777850416074343,0.0,1.0,9.887102668996368e-05,6.022982233844232e-06,0.00015088539494168864,4.014596294288353e-11,0.0006412858492694,0.00040820967506930155,0.0,0.001363940160808364,0.0,0.0113532654941082,0.0692989369401948,0.0,0.14532847725241774,0.0,0.7015131711959839,0.0,0.0,0.0,0.0,0.0,7.688587400626154e-05,0.0,0.001329481044953372,0.0,0.0229888763278722,0.0032880013204338557,0.0,0.056854857771955244,0.0,0.9831123948097228,0.0007274225928119648,0.0,0.0017397049812158452,0.0,0.0127894673496484,-0.005737797175374922,-0.003860009368509,0.00567314219092828,-0.0207654424011707,-1.473488282499602e-07,-0.00039744298720914795,-0.0003021036100108,0.00041248757821774014,-0.0026708333753049,-0.0
6,stairs down,0.002222723273955053,0.0006635230092796999,0.00518888461900116,-0.0075569152832031,0.0310028698295354,-0.006154744114473916,-8.571431408199714e-06,0.019253018153200734,-0.083375908434391,-5.11485132026479e-10,0.0,0.0,0.0,0.0,0.0,-0.0050607289643895695,-0.0,0.03921883722083942,-0.3664394915103912,-0.0,0.0,0.0,0.0,0.0,0.0,0.3354325748029971,0.3321287631988525,0.12451621004120551,0.1375546604394912,0.6499999761581421,0.09395973154362416,0.0,0.2922634732000067,0.0,1.0,0.00015386860246561465,2.1428577667848006e-07,0.00048132545269709016,1.2787128127189627e-11,0.0020843977108597,0.0009716441230322035,0.0,0.0023585297661285897,0.0,0.0170299001038074,0.06679711491345809,0.0,0.1438666854080523,0.0,0.9367736577987672,0.0,0.0,0.0,0.0,0.0,0.00042172740744864323,0.0,0.00326823638710814,0.0,0.0305366236716508,0.01613652506130654,0.0,0.1238578616043828,0.0,0.9940897226333618,0.0007712583054442902,0.0,0.002013512677780676,0.0,0.012835968285799,-0.004518475936274329,-0.00100600975565605,0.009249516632255978,-0.0423937365412712,-3.3441835967096263e-09,-0.0003821512939158981,-0.0001930895450641,0.0004478072918947745,-0.0017591887153685,-0.0
7,stairs down,0.005359474422665052,0.0018721404485404001,0.008697186068393703,-0.0059061050415039,0.0607583373785018,-0.0006145528393223008,-8.387476555071771e-06,0.0030498442352079433,-0.0308842733502388,-1.4296732686602807e-09,0.0,0.0,0.0,0.0,0.0,-0.011165081411600114,-0.0,0.06966735492778921,-0.7545647621154785,-0.0,0.0,0.0,0.0,0.0,0.0,0.39070278763771055,0.3449999988079071,0.08867967231170268,0.1500000953674316,0.6499999761581421,0.05,0.0,0.21830909938949905,0.0,1.0,1.536382094089049e-05,2.0968691671896522e-07,7.624610519918668e-05,3.5741833104285796e-11,0.0007721068104729,0.18098620765310217,0.0,0.38437438629906806,0.0,1.0,0.06030559929806137,0.0,0.16914563076034164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0009304234571754918,0.0,0.005805612960182359,0.0,0.0628803968429565,0.028616543809572854,0.0,0.1632306663170512,0.0,0.9952036142349244,0.0008527850200889808,0.0,0.002737968312174908,0.0,0.0320583879947662,-0.002590082913697131,-0.0001408650714438,0.004584313782771562,-0.0198329519480466,-0.0,-0.00032254776819075316,-8.606406845501624e-05,0.0008035682418085693,-0.0069513842463493,-0.0
8,discrete obstacles,0.009979641727564558,0.0058254499454051,0.011199576589365502,-0.0007534027099609,0.0444823876023292,-0.0029928392409274062,-0.00037374252860895,0.004952728015382049,-0.027608435600996,-8.739625911857729e-08,0.0009537774324417111,0.0,0.012227607860313173,0.0,0.1880199164152145,-0.030053413099764524,-0.0,0.07168138763952703,-0.7370575666427612,-0.0,0.0,0.0,0.0,0.0,0.0,0.39188696285088853,0.3687500357627868,0.0822190700393122,0.170542687177658,0.6499999761581421,0.5566666666666666,1.0,0.4976085507587093,0.0,1.0,7.482098109371276e-05,9.343563306174474e-06,0.0001238182001916342,2.1849064779644323e-09,0.0006902109016664,0.43225447038809456,0.0,0.4609184494848082,0.0,1.0,0.05761948004364966,0.0,0.13791180765915073,0.0,1.0,0.00011922217905521367,0.0,0.0015284509825391447,0.0,0.0235024895519018,0.0025044510854058716,0.0,0.005973448906535111,0.0,0.0614214614033699,0.016056843400001526,0.0,0.12371494979369957,0.0,0.9955142140388488,0.00060378410596361,0.0,0.003011678792519309,0.0,0.0380308963358402,-0.003595046546044588,-0.0006390601920429,0.004571559119167091,-0.0197248738259077,-0.0,-0.00031912379801702636,-0.00013998219947095,0.0004692494528082013,-0.0032611424103379,-0.0
9,discrete obstacles,0.012573915059935293,0.0103155598044395,0.01026129271319277,-0.0055832862854003,0.0396340675652027,-0.003986021240190673,-0.0005651895189657499,0.008526581432754329,-0.0438962318003177,-4.372509021521864e-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.4260268708566824,0.4650000035762787,0.10774085644604055,0.1920780688524246,0.6499999761581421,0.5833333333333334,1.0,0.4938303862564448,0.0,1.0,9.965053051378372e-05,1.412973824699293e-05,0.0002131645334120698,1.093127255380466e-10,0.0010974057950079,0.17333333333333334,0.0,0.37916766204679025,0.0,1.0,0.0008867381749829879,0.0,0.006665990137294262,0.0,0.0831949412822723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021176410916571764,0.0,0.002688564787651628,0.0,0.0419445894658565,-0.0016908348368445917,-0.0,0.0046431043071020715,-0.0280301757156848,-0.0,-0.0003389249121871021,-0.00011567654291859999,0.000557571581420087,-0.003003773279488,-0.0
