Kp,Kd,risk_score,new_relative_error_mean,rms_relative_error_new,new_error_mean,rms_target_error_new,relative_error_reduction_ratio,sat_ratio,qdot_limit_rate,max_abs_qdot_new,max_abs_tau_new,smoothness_cost
100.0,10.0,0.9935699023665456,0.7114466991316611,1.003494740493659,0.08925396954510946,0.12149895119256986,0.20173932399015332,0.0002735889303136535,0.024080462968115297,2.0,60.0,0.2951939472856575
110.0,10.0,1.0343601412567143,0.6984411590665442,0.990041130284294,0.08733453402688968,0.11958326145354052,0.2163318594772455,0.000547177860627307,0.032992970155621096,2.0,60.0,0.3802932582882264
120.0,10.0,1.0635608429917498,0.6861918220164326,0.9773834365645399,0.08558806456583258,0.11792785865773363,0.2300759166022966,0.000918145901730566,0.043240962291098625,2.0,60.0,0.4688522274629754
130.0,10.0,1.090428973962563,0.6746499969407668,0.9655022957604376,0.08399619433924625,0.11649572727271212,0.24302612790910788,0.0014375011592751286,0.05434681802162744,2.0,60.0,0.5598642246003837
140.0,10.0,1.115317577071973,0.663762544957829,0.9543292195139474,0.08254432877569957,0.11525559753591595,0.25524211652853956,0.002170163040454065,0.06541093984753214,2.0,60.0,0.6516041072069667
150.0,10.0,1.1378628174709104,0.6534863449046393,0.943884911154038,0.08121424285348876,0.11417483136252408,0.26677226546490224,0.0030883089421846308,0.07690167492070558,2.0,60.0,0.7438455257048739
160.0,10.0,1.1598550337169555,0.6437765355327892,0.9341605631576841,0.07999376500455618,0.11323340596625761,0.2776669101411092,0.004317140578339177,0.08848515200415484,2.0,60.0,0.83595701153738
170.0,10.0,1.1810761858665972,0.6346113845272475,0.9251462108709584,0.07887059521048,0.11241044353051015,0.2879504347485684,0.005773190139669468,0.09985995956448353,2.0,60.0,0.9273326317037043
180.0,10.0,1.203597017397056,0.625980027142871,0.916848620335993,0.0778356290717847,0.11168849452476423,0.2976350297982671,0.007396175319496226,0.11121158162224325,2.0,60.0,1.0185312258243713
190.0,10.0,1.2241117647076794,0.6178155606401727,0.909203825633832,0.07687689743886318,0.11105203430418556,0.30679576180764784,0.009209281620388404,0.12438558418192273,2.0,60.0,1.1088417682091045
200.0,10.0,1.2448833109290363,0.6101182546388498,0.9022419459536247,0.07598975133027043,0.11049437673760991,0.31543232825678613,0.011226420343887374,0.13788418377756756,2.0,60.0,1.1977666314036337
150.0,20.0,1.2506596853148877,0.8540548216340074,1.1266623937376083,0.11014074436463414,0.1381405426037612,0.041729506793502257,0.039234507447183424,0.8083254502624599,2.0,60.0,0.46753176558782567
160.0,20.0,1.2514687895644774,0.8438313116374495,1.1180172506463477,0.10790524659388495,0.1357164309355349,0.053200536191778246,0.04261031662122308,0.798749837701482,2.0,60.0,0.5467521142841101
170.0,20.0,1.2540817084121447,0.8350366807119399,1.1109815643541383,0.10587156980738135,0.13354023691108344,0.06306832816610741,0.0461066904086213,0.7892530558492387,2.0,60.0,0.6267249622912029
140.0,20.0,1.2556377026353327,0.8631548521053436,1.133457834062242,0.11242440626533447,0.1407122089524752,0.031519049025372614,0.03691132008977427,0.8214669931185429,2.0,60.0,0.3929226643502765
180.0,20.0,1.2581321917531747,0.8263840728790786,1.1029933751987786,0.10398751958619865,0.13156368506175697,0.0727767667411099,0.04949177378368854,0.7809851056331497,2.0,60.0,0.7049771235934872
130.0,20.0,1.2619443187578834,0.8736170621121321,1.1402425860621066,0.11513303280233689,0.14369667534790395,0.019780192350980472,0.032881679743290114,0.833917607998071,2.0,60.0,0.32184142855548514
190.0,20.0,1.2648121143177447,0.8181632060086147,1.0955242844049127,0.10228657393064704,0.129809834438633,0.08200078134882824,0.052923228163893686,0.7741268339732532,2.0,60.0,0.7853377287175742
210.0,10.0,1.2648848191808326,0.6028384504040603,0.895862345938666,0.07516566570537125,0.11000297180061891,0.32360044746624367,0.013452228590506928,0.15095153302542988,2.0,60.0,1.285720130567963
200.0,20.0,1.2704219899954923,0.8094746487753582,1.086658169015926,0.10066059949994577,0.1281616233473193,0.09174955603431736,0.05526496392335801,0.7674679576354497,2.0,60.0,0.8627792932317877
120.0,20.0,1.273926029841319,0.8836559807859052,1.1453853838801473,0.11806757040187009,0.14701695743837195,0.008516278952106143,0.028824216793723222,0.8478520950420122,2.0,60.0,0.2572319435687599
210.0,20.0,1.2808071359048963,0.8014696424027333,1.0791192221464254,0.0990975413958582,0.12664156457840728,0.10073136985996861,0.05929924137035594,0.7629235991319349,2.0,60.0,0.9427060530096723
220.0,10.0,1.2841561141140605,0.5959433374499847,0.8899969813805626,0.07439690111884341,0.10956660003033226,0.3313369336072328,0.01603973067720216,0.16452432622929536,2.0,60.0,1.372731570149158
220.0,20.0,1.2903546704176143,0.7932293424605804,1.0706368145804752,0.09766935956023205,0.12528890156530567,0.10997718885157458,0.06279097805724038,0.7581427485022165,2.0,60.0,1.0218609431999295
