group,tag_count,latest_mean
Action,4,0.3695383220911026
Command,8,4.248789899051189
Loss,4,54.404550447856764
Observation,35,0.34740904038106757
Perf,3,551.5735290845236
Policy,1,0.34904396533966064
Reward,9,0.23854101852824292
Termination,1,1.0
Tracking,3,2.025784453998009
Train,4,720.3631955385208
episode,15,120.13801922102769
episode_per_step,8,0.16060261253733188
