joint,joint_name,abs_error_mean,abs_error_rmse,abs_error_p50,abs_error_p95,abs_error_p99,abs_error_max,rel_error_mean,rel_error_rmse,rel_error_p50,rel_error_p95,rel_error_p99,rel_error_max,qdot_limit_rate_ge_0p98x2radps
J1_spm1_z_yaw,spm1_platform_joint_z,0.10747436501938147,0.13870061833365,0.08665300160646441,0.2778041783720253,0.3944216961413621,0.7097857370972632,0.8540302858511057,1.0972035012422203,0.734354309064659,2.1650631880221676,3.470507555918948,8.558504432439804,0.033879933296275706
J2_spm1_y_pitch,spm1_platform_joint_y,0.12387734716935994,0.1733127600182447,0.08636556379497055,0.37320239003747707,0.5612145446240898,1.1017874870449305,0.9391793548751405,1.4720951726800786,0.5510569850063294,3.2699853928503915,5.594333020225166,10.459296628832817,0.03821567537520845
J3_spm1_x_roll,spm1_platform_joint_x,0.10734672647296627,0.1325197644455524,0.0932987043634057,0.2528394576744176,0.324114836063236,0.688990756869316,0.8465537171503591,1.0094718080036693,0.8188202320298098,1.830016043037175,2.9014949791440348,6.28578893840313,0.01753752084491384
J4_spm2_z_yaw,spm2_platform_joint_z,0.12462875919526176,0.15912299306752845,0.10166842304170125,0.3165314044803377,0.42801526804454587,0.7215102538466452,0.8989641573789839,1.1402926299888965,0.7761208497554833,2.2029790458499026,3.5717329955246626,8.722105156630276,0.07245692051139523
J5_spm2_y_pitch,spm2_platform_joint_y,0.11737861670139242,0.1568639375082032,0.08982694894075395,0.3081691641360518,0.49981942608952495,0.9793666154146194,0.8644275804977699,1.4500136821257614,0.48830673557289384,3.0607033476291905,5.749609021105206,15.710767209529873,0.029655364091161755
J6_spm2_x_roll,spm2_platform_joint_x,0.12415864279890906,0.15201932951286176,0.10963205434381959,0.28854114948771875,0.3568676268175477,0.6130835860967636,0.964711901450228,1.1280295712480926,0.928688568480512,1.956374150588007,3.151158604770894,7.63674795627594,0.017982212340188992
