terrain_col,terrain_name,rows,abs_error_mean,abs_error_rmse,abs_error_p50,abs_error_p95,abs_error_p99,abs_error_max,rel_error_mean,rel_error_rmse,rel_error_p50,rel_error_p95,rel_error_p99,rel_error_max,qdot_limit_rate_ge_0p98x2radps
0,flat,3600,0.10357665736392387,0.13221767946933094,0.0847912357421592,0.2632574137300253,0.34381617041304624,0.750677078962326,0.7158896100178632,0.8922462479544281,0.7419507814272627,1.55583539035763,2.7352548572547977,6.336212381720544,0.02449074074074074
1,slope down,3597,0.10636214850350792,0.13697794663364604,0.08654952049255371,0.2700996695086361,0.36081099447794257,0.9304905533790588,0.7671481750644804,0.9687471615306589,0.7207304507909658,1.7745747659688265,2.90782362297185,11.160459890961647,0.030117690668149382
2,slope up,3600,0.10904687752961591,0.13954969751253787,0.08866915106773376,0.27567089991644017,0.3682827579509464,1.0327533334493637,0.7539715527627089,0.9599490424296561,0.7123855804445487,1.7657366762869051,2.948488039663059,8.722105156630276,0.031203703703703702
3,uneven rough,3600,0.11150275111613953,0.14389524458255765,0.08927494660019876,0.28777108706999555,0.39599915720522316,1.0798565298318863,0.8061369804329547,1.0321299108431714,0.6975870364352096,2.0210504896119237,3.174604085759998,6.534244976937769,0.04842592592592593
4,uneven rough,3599,0.11418160916855345,0.1465063043105823,0.0917349457740784,0.2931375285610555,0.394157679118216,1.014132246375084,0.8252337446576155,1.0509513632956025,0.7164797483767006,2.066273541613426,3.1744167959997602,6.090555042028425,0.0540427896637955
5,stairs down,3597,0.13040989545949458,0.16956101878237623,0.10568721150048065,0.33194157071411623,0.5188076820224514,1.0301609337329865,0.9977652954935,1.380444991198543,0.7637732782019249,2.7633285372796563,4.5784982877511275,13.81075356155634,0.034890186266333056
6,stairs down,3596,0.1295081920129312,0.16905928008697896,0.10497104749083519,0.3307253997772931,0.5228338437154889,0.9403408259968272,0.9914905778717066,1.3759448609063014,0.7773245371757538,2.763520670299446,4.788245945237575,12.269131317734718,0.0374953652206155
7,stairs down,3597,0.12942977153032448,0.16816948917235702,0.1050933072110638,0.331170627847314,0.5029054782539605,0.910002663731575,0.973442746797334,1.3436465166988498,0.7647913083654247,2.68609554412028,4.554945027174462,13.75389106571674,0.0360485589843388
8,discrete obstacles,3597,0.11735243201381332,0.1542242247263546,0.091792993247509,0.3072346059139818,0.4522665627300728,1.1017874870449305,1.0329650811973028,1.4806208331855384,0.787314637423491,3.1522740870714188,5.442786559648802,15.263542607426643,0.022379760911871004
9,discrete obstacles,3597,0.12343254605456792,0.16077230467040377,0.09826282598078255,0.3194050017744303,0.465562709495425,1.0370639391476288,1.0828069785151426,1.5773813533888088,0.8138901681880228,3.253921162337064,6.049667931858353,15.710767209529873,0.030442035029190993
