col,terrain,samples,q_desired_abs_mean,error_abs_mean,error_over_desired_mean,relative_error_floor005_mean,target_gap_abs_mean,qdot_abs_mean,qdot_limit_rate_095,front_pitch_q_desired_mean,front_pitch_q_actual_mean,front_pitch_error_abs_mean,front_pitch_error_over_desired_abs,front_pitch_relative_floor005
0,flat,3600,0.15583351554153574,0.10349820751367722,0.6641588438405658,0.7234152853311226,0.0,0.6775957519752003,0.03138888888888889,0.1661450958509239,0.18640076212981108,0.05917510817561075,0.3290682389418262,0.4824714530335851
1,slope down,3600,0.1527292324903731,0.10503959155015143,0.6877504053244838,0.7566305339814451,0.0,0.6793461986975927,0.029027777777777777,0.1250980550386157,0.16383693150078923,0.0794200999909501,0.46031812098782404,0.6179946881909353
2,slope up,3600,0.15878429230303087,0.10556432633676716,0.6648285217992695,0.7408386594588668,0.0,0.6938446914245483,0.03148148148148148,0.16244588668032117,0.18897429726418016,0.06758375722657042,0.37207288814885076,0.5326401754988072
3,uneven rough,3600,0.15113038844345097,0.1129124773084055,0.7471196128808627,0.8243040604286688,0.0,0.8179681145486197,0.062453703703703706,0.1590755742512556,0.17426978419171874,0.0805500257309177,0.45278219850553436,0.6311773137889171
4,uneven rough,3600,0.16378978598518382,0.11688970942792594,0.713656890903439,0.8328390176895701,0.0,0.8146730272353967,0.0661574074074074,0.10489533236462496,0.1359950589948615,0.09422771429708923,0.5014128713783317,0.6738613107539916
5,stairs down,3597,0.15256859835962663,0.131603231538555,0.8625839979754341,1.0337040915507028,0.0,0.71812597708684,0.049902696691687516,-0.06408536587676669,0.006516193501231889,0.173399712154463,0.8998004566039667,1.361041299901197
6,stairs down,3598,0.15822673644017213,0.13075213356479115,0.826359289880383,1.0170110826867491,0.0,0.7160621356328299,0.05188067444876784,-0.07299558689972026,0.009250685407926293,0.1746129021265328,0.8837958039295477,1.3468247480237956
7,stairs down,3596,0.15411003389265607,0.13226465512387606,0.8582481736134312,1.0196415899082028,0.0,0.7288494084134466,0.05200222469410456,-0.053322500040571055,0.015763215297840673,0.17982873094062338,0.9179241249747531,1.3287862615567558
8,discrete obstacles,3599,0.1263226257346724,0.11817864640610563,0.93553031944038,1.127403624596991,0.0,0.5614436657113715,0.025284801333703807,-0.16102511779534628,-0.07451017055408299,0.16993866845462047,0.7752388353887194,1.16530754238282
9,discrete obstacles,3600,0.13473206560971626,0.11838104348364561,0.878640455395115,1.0521411229317919,0.0,0.6287247587149223,0.03939814814814815,-0.10092331911962535,-0.023135261206744973,0.16619300971730872,0.821932678807717,1.2589886838645263
