col,terrain,q_desired_delta_abs_mean,q_desired_delta_abs_p95,delta_over_step_capacity_2radps
0,flat,0.08096166706278794,0.22348079292569306,2.4288500118836382
1,slope down,0.08314482261365118,0.22889074608683596,2.4943446784095356
2,slope up,0.08186614189698099,0.2237083005253225,2.4559842569094297
3,uneven rough,0.09204382702372829,0.25430681705474856,2.761314810711849
4,uneven rough,0.09351904433516793,0.2635390927782282,2.805571330055038
5,stairs down,0.06752834515545551,0.21206548216869098,2.0258503546636653
6,stairs down,0.07082927150640418,0.223969496041536,2.1248781451921257
7,stairs down,0.06854447991446436,0.21432860121130942,2.0563343974339308
8,discrete obstacles,0.08457369323377943,0.26755534671247005,2.537210797013383
9,discrete obstacles,0.08525906692594358,0.26564020216464995,2.5577720077783073
