joint,pair,mean,mean_abs,rmse,p50_abs,p95_abs,p99_abs,max_abs,relative_floor_rad,relative_mean,relative_p95,relative_max
spm1_platform_joint_z,desired_minus_cmd,-0.007153180615275918,0.29544572755404236,0.36741598964295374,0.2504463531076908,0.7127014115452766,0.8907293754816058,1.1186418235301971,0.05,1.9876362385431594,7.405347596475176,13.895176127552986
spm1_platform_joint_z,cmd_minus_actual,-0.0005035563680028069,0.007462114921873317,0.009531004256317008,0.006081227213144302,0.01920740306377411,0.0254683692753315,0.040790289640426636,0.05,0.04703761056673969,0.1683554425192706,0.5071403831243515
spm1_platform_joint_z,desired_minus_actual,-0.007656736983278726,0.2959521926476137,0.3673382532277616,0.25269055366516113,0.7123123809695244,0.8902760982513429,1.1594321131706238,0.05,1.9890297537751835,7.401565331965685,13.954761698842049
spm1_platform_joint_y,desired_minus_cmd,0.0649681943773441,0.33307724998053323,0.4264774071982858,0.2713040504604578,0.8483624070882794,1.0798813098669053,1.5697003602981567,0.05,2.3272448333894036,8.813450614896189,19.961614310741425
spm1_platform_joint_y,cmd_minus_actual,-0.05472121561075647,0.06300402454809712,0.14376234399435583,0.018651694059371948,0.352985917404294,0.6513318437337878,0.8968345560133457,0.05,0.21142599322632838,0.8677098967687714,3.64294888844267
spm1_platform_joint_y,desired_minus_actual,0.01024697876658762,0.3034290056275992,0.38902186050979165,0.2520437054336071,0.7606787189841269,1.0932578669488433,1.5421750247478485,0.05,1.9912975593190398,7.291060583200306,15.305239111185074
spm1_platform_joint_x,desired_minus_cmd,0.005796330016999824,0.22215074138356614,0.27819462228737746,0.1887081041932106,0.5486424893140792,0.6755576336383823,0.8171932101249695,0.05,1.8481037438442725,5.138899290934204,10.353182703256607
spm1_platform_joint_x,cmd_minus_actual,0.00898863568347652,0.023715328923806893,0.04676757831312767,0.011589400470256805,0.07625307145062832,0.23936764849349895,0.4695453494787216,0.05,0.1849799044689367,0.7105837872177873,3.7435519695281982
spm1_platform_joint_x,desired_minus_actual,0.014784965700476344,0.21662848898873102,0.27017930555576125,0.18507999181747437,0.5292235560715198,0.6574913460016253,0.7832583487033844,0.05,1.7640330377283426,4.849249213933944,10.405522137880325
spm2_platform_joint_z,desired_minus_cmd,0.020143800732488504,0.4019167294186061,0.4921791967677381,0.3536454737186432,0.9233727991580963,1.0424188441038134,1.156101405620575,0.05,1.9359291859705754,6.009981350274153,14.052241891622543
spm2_platform_joint_z,cmd_minus_actual,0.0014589102930333212,0.010612759952522388,0.014781325068249461,0.007674425840377808,0.032174678519368165,0.04777490794658661,0.0869920551776886,0.05,0.07089450223286918,0.2596911814292836,0.972131434828043
spm2_platform_joint_z,desired_minus_actual,0.021602711025521824,0.40224116604695187,0.49131111094338203,0.3558812774717808,0.9196405977010726,1.0395526057481765,1.1369577050209045,0.05,1.9294373406268504,5.9526294563738675,14.13468100130558
spm2_platform_joint_y,desired_minus_cmd,0.0239797058629647,0.12511198386756336,0.18028772143739766,0.0835288017988205,0.4097211468964814,0.622399586364627,0.8240617513656616,0.05,0.9066459708871313,3.2496415560329996,13.592460195880275
spm2_platform_joint_y,cmd_minus_actual,0.015318682231426534,0.02281136223558638,0.04079964543255667,0.015461370348930359,0.06130508631467815,0.20312654450535805,0.4004475399851799,0.05,0.14485622297387302,0.5505587381012097,2.202067721248088
spm2_platform_joint_y,desired_minus_actual,0.039298388094391234,0.12498831411838972,0.1785644322118137,0.08374305698089302,0.4034667305648326,0.6142825019359589,0.8218761682510376,0.05,0.8969318350045019,3.1673010504360466,13.33481196218314
spm2_platform_joint_x,desired_minus_cmd,0.01357200666763573,0.27691830695517866,0.34754553255978926,0.23099011182785034,0.6865966022014618,0.7764464396238328,0.8854575455188751,0.05,1.8610582070292128,5.873125060176282,10.724672675132751
spm2_platform_joint_x,cmd_minus_actual,-0.025410790663359835,0.06664262684072275,0.11479302188983674,0.0250093936920166,0.2630640625953674,0.4221839312464002,0.5271790847182274,0.05,0.2890827722185921,0.8570803283956105,2.2599895943733097
spm2_platform_joint_x,desired_minus_actual,-0.011838783995724106,0.24100790950980006,0.30534301811924,0.19475218653678894,0.6084712028503417,0.7271306693553927,0.8649837672710419,0.05,1.4975997170181492,4.36827013579721,9.780993943568319
