env_id,pair,mean_abs,rmse,p95_abs,relative_mean,relative_p95
0,desired_minus_cmd,0.26274544924581755,0.34623006317987975,0.7125408310443162,1.7579488646278851,6.086482850834727
0,cmd_minus_actual,0.027596147554084863,0.06434237486582774,0.1143340408802031,0.14712828180920062,0.5905935466492955
0,desired_minus_actual,0.25133683210040647,0.33155810657680007,0.6855128876864905,1.6420286363783434,5.436485586966468
1,desired_minus_cmd,0.2751522639054409,0.359759645466794,0.7390697985887527,1.7653182754099357,5.917460778114164
1,cmd_minus_actual,0.03459618111801972,0.08361301938873576,0.18221024386584753,0.16536235014418169,0.7070859593560053
1,desired_minus_actual,0.2600347431076079,0.34121265578413634,0.7032738264650105,1.608027971623244,5.183311590263699
2,desired_minus_cmd,0.2893537906792753,0.3806833842571963,0.7790722170379012,1.7974893197905948,6.0384019238461955
2,cmd_minus_actual,0.03754358360637166,0.0893750782875453,0.20612063887529064,0.17008031921934094,0.7022905931567242
2,desired_minus_actual,0.2730145664832618,0.35954381735863117,0.7287746258079989,1.6442320495251357,5.29340336416016
3,desired_minus_cmd,0.28891415770552054,0.3815956715233997,0.8073482856154439,1.8599062847104568,6.888974191731179
3,cmd_minus_actual,0.03865555267019803,0.10207880788100501,0.19293274004012287,0.16523297880203056,0.7646048933233472
3,desired_minus_actual,0.27778002188399414,0.36541359832133197,0.7620476678013801,1.713098299738855,5.955584155552114
4,desired_minus_cmd,0.2671173851574462,0.3503039201809755,0.7209521047770973,1.8245669446485389,6.353156289162986
4,cmd_minus_actual,0.028416718852382786,0.06951954498086199,0.11811365596949994,0.14926218693438972,0.6194562621683427
4,desired_minus_actual,0.2591039555194714,0.34167455069427105,0.7067599453032012,1.7157725096987615,5.885949764996856
5,desired_minus_cmd,0.2713222403758292,0.35669896293169534,0.7321706009097397,1.8612366968139584,6.531091457198847
5,cmd_minus_actual,0.027440569646894283,0.06028621171581289,0.12189679965376854,0.15121236518071232,0.6252887360886386
5,desired_minus_actual,0.2629563974576559,0.34621068185651277,0.7107105031609535,1.7449979727377272,5.870811812034285
