column,name,level_step800,level_step1024,level_last25_mean,rows_advanced_last25_mean,row_advance_rate_last25_mean,stagnation_last25_mean
col00_flat,flat,7.96875,8.90401840209961,7.273303680419922,4.844107208251953,0.8932142925262451,0.007142857238650322
col01_slope_down,slope_down,5.470982074737549,8.620535850524902,7.268839359283447,4.769196481704712,0.9029464411735535,0.006339285746216774
col02_slope_up,slope_up,8.129465103149414,6.084821701049805,7.4801785850524904,4.591249961853027,0.8972321462631225,0.00375
col03_rough,rough03,4.671875,5.421875,5.833125038146973,3.60723219871521,0.8809821557998657,0.00375
col04_rough,rough04,6.674107074737549,4.479910850524902,6.103839282989502,3.535625066757202,0.8714285826683045,0.005714285671710968
col05_stairs_down,stairs05,10.427083969116211,5.427083492279053,5.613333492279053,0.2975000089406967,0.2550000101327896,0.021250000447034834
col06_stairs_down,stairs06,10.5,5.738636493682861,5.7218183898925785,0.30409091770648955,0.25772727966308595,0.02000000059604645
col07_stairs_down,stairs07,10.364583969116211,5.520833492279053,5.700416774749756,0.27500000774860384,0.24250000655651094,0.023333333805203436
col08_obstacles,obs08,13.75,14.056818008422852,14.518636741638183,0.18409091338515282,0.14681818529963495,0.13772727623581887
col09_obstacles,obs09,9.965909957885742,12.295454978942871,12.324546165466309,0.0627272741496563,0.05363636463880539,0.1390909105539322
