case_name,csv_name,env_id,terrain_col,terrain_name,terrain_level,Kp,Kd,J_axis,B_axis,tau_load,tau_v,num_samples,duration_s,old_gap_mean,old_error_mean,old_relative_error_mean,new_error_mean,rms_target_error_new,new_relative_error_mean,rms_relative_error_new,error_reduction_ratio,relative_error_reduction_ratio,max_abs_qdot_new,qdot_limit_rate,sat_ratio,max_abs_tau_new,oscillation_score,smoothness_cost,qdot_alloc_rmse,qdot_alloc_smoothness,old_qdot_rms,new_qdot_rms,new_vs_old_qdot_ratio,risk_score
model725_allcols_col00_flat_env0,model725_allcols_col00_flat.csv,0,0,flat,0.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.10679554608706143,0.7275169325378825,0.09638946187161451,0.12410854336717804,0.7099839396518329,0.9502001749284077,0.0974393090041762,0.024099772942585956,2.0,0.2115277777777778,0.235,60.0,0.5087572977481235,0.07649329610777963,0.1874817093015833,0.019413773470018155,0.8703464466614524,1.574866635835522,1.809470977765839,0.73037017185087
model725_allcols_col00_flat_env10,model725_allcols_col00_flat.csv,10,0,flat,0.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.10323826408095578,0.7214169315751542,0.09255625068089421,0.11994755149800773,0.6942121489237433,0.9323805782815257,0.10346951777187105,0.03771020814830547,2.0,0.22111111111111112,0.25680555555555556,60.0,0.6171809841534613,0.07271498645216536,0.18378384124264016,0.018652920551371733,0.846211582497765,1.3411257032731652,1.5848585992105673,0.714926956055711
model725_allcols_col00_flat_env20,model725_allcols_col00_flat.csv,20,0,flat,0.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.1004608123730145,0.7213119918803312,0.08983323403555542,0.11567894202960687,0.6982221356726205,0.9212936301892679,0.10578829780908518,0.03201091409491146,2.0,0.21888888888888888,0.25472222222222224,60.0,0.6255212677231027,0.07625736235252924,0.1863071765856757,0.01917179698953207,0.8403981856422077,1.4385011916667156,1.711690025327048,0.7197288208203574
model725_allcols_col01_slope_down_env1,model725_allcols_col01_slope_down.csv,1,1,slope down,5.0,120.0,24.0,0.1,0.0,0.0,0.03,1200,19.98333333333333,0.0,0.10507395525411131,0.7489548250880761,0.08676259063736264,0.11540994517474254,0.7004046376052631,0.9844797770213747,0.17427120329166626,0.06482391975658024,2.0,0.059583333333333335,0.0,49.94080603870567,2.7022518765638033,0.09620283956058652,0.21369181471649956,0.025215661054827913,0.835855329427084,1.1560115330330225,1.3830282494285004,0.7466677242830183
model725_allcols_col01_slope_down_env11,model725_allcols_col01_slope_down.csv,11,1,slope down,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.10393836979522007,0.7521704459073557,0.09246892789148237,0.11976712492879656,0.7025483258697759,0.9061651738077074,0.11034848753482339,0.06597190877091672,2.0,0.20708333333333334,0.24291666666666667,60.0,0.5587989991659718,0.07691883368972964,0.18546409955978485,0.018996775957868656,0.8635376533665723,1.7336819399648058,2.007650660287834,0.7235200825993816
model725_allcols_col01_slope_down_env21,model725_allcols_col01_slope_down.csv,21,1,slope down,5.0,120.0,24.0,0.1,0.0,0.0,0.03,1200,19.98333333333333,0.0,0.10610644960112293,0.7687663309489035,0.08772309920771852,0.11472706473779647,0.6944760944638437,0.9443912056653673,0.17325384519519216,0.09663565311628804,2.0,0.06027777777777778,0.0,49.99663150117783,2.977481234361969,0.08922388185459747,0.20532067441663887,0.023256450012115328,0.8538540122096789,1.2354520028042244,1.4469124524074233,0.7420956831783829
model725_allcols_col02_slope_up_env2,model725_allcols_col02_slope_up.csv,2,2,slope up,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.10617975819516338,0.730603242949513,0.09608195228528817,0.12492139288329017,0.7175065386516758,0.9795541141415168,0.09510104450713644,0.01792587758708071,2.0,0.22972222222222222,0.24986111111111112,60.0,0.6672226855713096,0.0737420155447107,0.18409338206117043,0.018718160921536064,0.8694966385894689,1.8756737820381595,2.157194977867827,0.738927168616331
model725_allcols_col02_slope_up_env12,model725_allcols_col02_slope_up.csv,12,2,slope up,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.10390006666077824,0.74159151418459,0.09411297830483026,0.12123187409357795,0.7135787443209838,0.9433441195950366,0.0941971325957056,0.03777385437643176,2.0,0.20472222222222222,0.23527777777777778,60.0,0.5504587155963304,0.07620780580594215,0.1852572111237841,0.018953985616901693,0.8568920899362992,1.7358201052639617,2.025716103171172,0.7343248926381356
model725_allcols_col02_slope_up_env22,model725_allcols_col02_slope_up.csv,22,2,slope up,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.10661315415435982,0.7503212212424973,0.09502291002839268,0.12286547708155175,0.7166253279989524,0.9699958914426337,0.10871307783640101,0.04490862351959884,2.0,0.23083333333333333,0.25083333333333335,60.0,0.633861551292744,0.0756377713111433,0.18507528925834765,0.01891800474690818,0.8711214112503874,1.8603762045765952,2.135610697372545,0.7380914977741085
model725_allcols_col03_uneven_rough_env3,model725_allcols_col03_uneven_rough.csv,3,3,uneven rough,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.11234929469194058,0.811315511806904,0.1039968727103472,0.1332854165707995,0.7532527350342247,0.9497489644510454,0.07434334149133327,0.07156621058971986,2.0,0.18097222222222223,0.19152777777777777,60.0,1.1259382819015848,0.08428039665800209,0.19679518158040138,0.02139086087032157,1.0019673265953508,1.2350293204752503,1.2326043850869228,0.781368197184841
model725_allcols_col03_uneven_rough_env13,model725_allcols_col03_uneven_rough.csv,13,3,uneven rough,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.11371809827384366,0.8380113769225179,0.1046298644256771,0.1341408729348321,0.7716051887966258,0.9649638223830751,0.07991897495754159,0.07924258542856519,2.0,0.17625,0.1825,60.0,1.084236864053378,0.08844456067151023,0.2036490223097211,0.02290665101591027,0.9988473836621005,1.775484939614764,1.7775337540608624,0.8001364695714616
model725_allcols_col03_uneven_rough_env23,model725_allcols_col03_uneven_rough.csv,23,3,uneven rough,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.11267003895943231,0.8235852925565843,0.10628856261917269,0.1372526571350587,0.7701293358783559,0.9831492130970009,0.056638627262366716,0.06490640029800648,2.0,0.1925,0.1963888888888889,60.0,1.1676396997497915,0.08178718839222046,0.19534920419010096,0.02106532220654331,0.9976843951807886,1.6915394500797731,1.6954654781116951,0.7981631705542979
model725_allcols_col04_uneven_rough_env4,model725_allcols_col04_uneven_rough.csv,4,4,uneven rough,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.11450928284946932,0.8181363238269341,0.10632401701735955,0.13724117105299793,0.7730963274115832,1.008442547625549,0.07148124264187286,0.0550519456276807,2.0,0.20152777777777778,0.19791666666666666,60.0,1.2010008340283571,0.08769301686913018,0.20117730275329634,0.02235521895428403,1.0175310170455902,1.2463492278900996,1.2248759074773807,0.8026449391256928
model725_allcols_col04_uneven_rough_env14,model725_allcols_col04_uneven_rough.csv,14,4,uneven rough,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.11712589891179996,0.8222399935456333,0.1085889749777305,0.1402515053810995,0.7685652090901935,0.9756047668658159,0.07288673140086699,0.06527873233699723,2.0,0.18,0.185,60.0,1.1926605504587158,0.09036122416048012,0.2049601497342662,0.023202487479179672,1.0194954492666095,1.4262208304512565,1.398947716222992,0.7985640594268767
model725_allcols_col04_uneven_rough_env24,model725_allcols_col04_uneven_rough.csv,24,4,uneven rough,5.0,120.0,32.0,0.15,5.0,0.0,0.03,1200,19.98333333333333,0.0,0.11903394652250857,0.8581407356961429,0.10552231954487658,0.1372575350701248,0.7886353987456397,1.157767415617712,0.11351070322680619,0.08099526576385974,2.0,0.21541666666666667,0.2152777777777778,60.0,1.0675562969140953,0.08500205185280044,0.1974307258658526,0.021529438402031198,0.9605850533147753,1.2927467296749253,1.3457910106074735,0.8163113720853408
model725_allcols_col05_stairs_down_env5,model725_allcols_col05_stairs_down.csv,5,5,stairs down,11.0,120.0,10.0,0.05,1.0,0.0,0.03,1199,19.98333333333333,0.0,0.1358274629930989,1.0492047976473893,0.08689284753317815,0.1261267202941196,0.6925167637844492,1.022567621703822,0.36027040763035534,0.3399603534626743,2.0,0.13149847094801223,0.0015290519877675841,60.0,4.08673894912427,0.37351265215341056,0.4031286449383559,0.08954828909588324,0.9295178431434304,0.7559940067910877,0.8133184450063679,0.8080866837063739
model725_allcols_col05_stairs_down_env15,model725_allcols_col05_stairs_down.csv,15,5,stairs down,11.0,120.0,10.0,0.05,1.0,0.0,0.03,1198,19.98333333333333,0.0,0.12459090524226313,1.0178193584621957,0.07593822422273364,0.11165917974887823,0.6436682917361212,0.9628155653713109,0.39049945840690276,0.3676006588156983,2.0,0.10127991096271564,0.0005564830272676684,60.0,3.2276897414512096,0.26069459168380743,0.334761122645002,0.06180573025421187,0.8489047351263173,1.1946391802646599,1.4072711940838654,0.7280841074873947
model725_allcols_col05_stairs_down_env25,model725_allcols_col05_stairs_down.csv,25,5,stairs down,11.0,120.0,10.0,0.05,1.0,0.0,0.03,1200,19.98333333333333,0.0,0.13438315936268783,1.0340745612424562,0.0862197558862624,0.1246846351236971,0.6969365470396591,1.0479097352603026,0.35840356563158937,0.32602872833243346,2.0,0.13444444444444445,0.0005555555555555556,60.0,4.170141784820685,0.400649145640466,0.4071623681359412,0.09118572181647909,0.9373589304776877,1.3653173641471588,1.456557696048598,0.8187677940159591
model725_allcols_col06_stairs_down_env6,model725_allcols_col06_stairs_down.csv,6,6,stairs down,11.0,120.0,10.0,0.05,1.0,0.0,0.03,1199,19.98333333333333,0.0,0.12672400063204417,0.9716556317544458,0.08193484847504226,0.12257381244031115,0.657433737159681,1.028917233528594,0.3534385904296985,0.3233881267454786,2.0,0.11843202668890743,0.002085070892410342,60.0,4.662218515429525,0.46117875435557504,0.4229634912740471,0.09870529741490838,0.9019673311015485,1.3652949529665201,1.5136855913607448,0.7962916731850913
model725_allcols_col06_stairs_down_env16,model725_allcols_col06_stairs_down.csv,16,6,stairs down,11.0,120.0,10.0,0.05,1.0,0.0,0.03,1199,19.98333333333333,0.0,0.1286659490380617,1.0429486923135507,0.08025206085337352,0.11594230273767378,0.6913056260855291,1.048893236279283,0.3762758410180962,0.3371623827898756,2.0,0.10800667222685571,0.0009730330831248262,60.0,3.5529608006672233,0.30409431607663673,0.36458052304151495,0.07342103968509628,0.8756448910945467,1.6597689103991162,1.8954817498271737,0.7876540973075288
model725_allcols_col06_stairs_down_env26,model725_allcols_col06_stairs_down.csv,26,6,stairs down,11.0,120.0,10.0,0.05,1.0,0.0,0.03,1200,19.98333333333333,0.0,0.136861355759718,1.0364127424578295,0.08754466606112514,0.1283860895197684,0.681674912288971,1.0286580803509908,0.36034050243646715,0.34227467073359763,2.0,0.13694444444444445,0.002361111111111111,60.0,4.228523769808175,0.41943538983792855,0.4143079993791775,0.0944809850648893,0.9496440549302929,1.4296221452777176,1.505429468921023,0.8078472279546385
model725_allcols_col07_stairs_down_env7,model725_allcols_col07_stairs_down.csv,7,7,stairs down,11.0,120.0,10.0,0.05,1.0,0.0,0.03,1198,19.98333333333333,0.0,0.12980917536348868,1.0012189172377184,0.08071189678295759,0.11995162464357563,0.6584997225198881,1.0073595620947076,0.3782265655956138,0.3423019569619846,2.0,0.11769616026711185,0.002086811352253756,60.0,3.427856547122603,0.32647345670527667,0.36480147971078686,0.07343329954768071,0.8748749234033658,0.8940567744851288,1.0219252496198465,0.7580729793321694
