step,time_s,env_id,terrain_level,row_progress,front_pitch_ref,q_desired_spm1_platform_joint_y,q_actual_spm1_platform_joint_y,front_pitch_actual,policy_minus_ref,actual_minus_desired,actual_minus_ref,policy_abs_error,control_abs_error,total_abs_error,policy_rel_error_ref_floor005,control_rel_error_des_floor005,control_rel_error_ref_floor005,total_rel_error_ref_floor005,step_up_distance_m,step_up_front_gap_m,step_up_posture_phase_weight,step_up_posture_weight,terrain_gate_step_up,step_up_posture_badness,step_up_front_posture_penalty_raw
0,0.0,0,11,0.0,-0.25,0.1838156580924987,-0.0155244832858443,-0.0155244832858443,0.43381565809249867,-0.199340141378343,0.2344755167141557,0.43381565809249867,0.199340141378343,0.2344755167141557,1.7352626323699947,1.0844568055134463,0.797360565513372,0.9379020668566228,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0661971569061279,0.8718233108520508,1.0,2.5273877326981165e-05
0,0.0,1,11,0.0,-0.25,0.2266990542411804,-0.0335149094462394,-0.0335149094462394,0.4766990542411804,-0.2602139636874198,0.21648509055376058,0.4766990542411804,0.2602139636874198,0.21648509055376058,1.9067962169647217,1.1478387704722561,1.0408558547496791,0.8659403622150423,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0714423879981041,0.9409034848213196,1.0,2.325141576875467e-05
0,0.0,2,11,0.0,-0.25,0.0638031959533691,-0.0877356529235839,-0.0877356529235839,0.3138031959533691,-0.15153884887695301,0.1622643470764161,0.3138031959533691,0.15153884887695301,0.1622643470764161,1.2552127838134763,2.375098090504839,0.6061553955078121,0.6490573883056644,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0609666854143142,0.8029374480247498,0.8113217353820801,1.114747010433348e-05
0,0.0,3,11,0.0,-0.25,0.1082266867160797,-0.0771748051047325,-0.0771748051047325,0.3582266867160797,-0.1854014918208122,0.1728251948952675,0.3582266867160797,0.1854014918208122,0.1728251948952675,1.4329067468643188,1.7130847986429794,0.7416059672832488,0.69130077958107,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0671254396438598,0.8840488791465759,0.8641259670257568,1.3923190635978244e-05
0,0.0,4,11,0.0,-0.25,0.1107780858874321,-0.0253476109355688,-0.0253476109355688,0.3607780858874321,-0.1361256968230009,0.2246523890644312,0.3607780858874321,0.1361256968230009,0.2246523890644312,1.4431123435497284,1.2288143068415711,0.5445027872920036,0.8986095562577248,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0680823102593422,0.8966509103775024,1.0,2.3861286535975523e-05
0,0.0,5,11,0.0,-0.25,0.1679340749979019,-0.0208779387176036,-0.0208779387176036,0.4179340749979019,-0.1888120137155055,0.2291220612823964,0.4179340749979019,0.1888120137155055,0.2291220612823964,1.6717362999916077,1.1243222301243179,0.755248054862022,0.9164882451295856,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.071910947561264,0.9470744729042052,1.0,2.6215993784717284e-05
1,0.0333333333333333,0,11,0.0,-0.25,0.2186986953020095,-0.0172236859798431,-0.0172236859798431,0.46869869530200947,-0.2359223812818526,0.2327763140201569,0.46869869530200947,0.2359223812818526,0.2327763140201569,1.8747947812080379,1.0787553211328411,0.9436895251274104,0.9311052560806276,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0696370229125022,0.9171266555786132,1.0,2.6203255401924253e-05
1,0.0333333333333333,1,11,0.0,-0.25,0.1582170575857162,0.0269223898649215,0.0269223898649215,0.4082170575857162,-0.13129466772079468,0.2769223898649215,0.4082170575857162,0.13129466772079468,0.2769223898649215,1.6328682303428648,0.829838891736841,0.5251786708831787,1.107689559459686,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.072593480348587,0.956063449382782,1.0,3.865906546707265e-05
1,0.0333333333333333,2,11,0.0,-0.25,0.1480225920677185,-0.026988485828042,-0.026988485828042,0.3980225920677185,-0.1750110778957605,0.223011514171958,0.3980225920677185,0.1750110778957605,0.223011514171958,1.592090368270874,1.1823268019499018,0.700044311583042,0.892046056687832,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0657298117876052,0.8656682968139648,1.0,2.270149525429588e-05
1,0.0333333333333333,3,11,0.0,-0.25,-0.1641965210437774,-0.0830492377281189,-0.0830492377281189,0.08580347895622259,0.08114728331565851,0.1669507622718811,0.08580347895622259,0.08114728331565851,0.1669507622718811,0.34321391582489036,0.4942082986887606,0.32458913326263406,0.6678030490875244,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0692161694169044,0.9115839600563048,0.8347538113594055,1.3397442671703176e-05
1,0.0333333333333333,4,11,0.0,-0.25,0.1811680942773819,0.0129688447341322,0.0129688447341322,0.4311680942773819,-0.1681992495432497,0.2629688447341322,0.4311680942773819,0.1681992495432497,0.2629688447341322,1.7246723771095276,0.9284154045674514,0.6727969981729988,1.0518753789365287,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0699073895812034,0.9206873774528505,1.0,3.357137393322773e-05
1,0.0333333333333333,5,11,0.0,-0.25,0.2510725259780884,0.0400952212512493,0.0400952212512493,0.5010725259780884,-0.21097730472683907,0.2900952212512493,0.5010725259780884,0.21097730472683907,0.2900952212512493,2.0042901039123535,0.8403042264578622,0.8439092189073563,1.1603808850049973,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0726771429181099,0.9571653604507446,1.0,4.247334800311364e-05
2,0.0666666666666666,0,11,0.0,-0.25,0.1715048402547836,-0.0028868250083178,-0.0028868250083178,0.42150484025478363,-0.1743916652631014,0.2471131749916822,0.42150484025478363,0.1743916652631014,0.2471131749916822,1.6860193610191345,1.0168323238226349,0.6975666610524056,0.9884526999667288,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0723451450467109,0.9527929425239564,1.0,3.0678824259666726e-05
2,0.0666666666666666,1,11,0.0,-0.25,0.1304957419633865,0.033622819930315,0.033622819930315,0.38049574196338654,-0.09687292203307152,0.283622819930315,0.38049574196338654,0.09687292203307152,0.283622819930315,1.5219829678535461,0.7423454633504546,0.38749168813228607,1.13449127972126,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0726881474256515,0.9573102593421936,1.0,4.06053768529091e-05
2,0.0666666666666666,2,11,0.0,-0.25,0.2422074824571609,0.0280120875686407,0.0280120875686407,0.4922074824571609,-0.21419539488852019,0.2780120875686407,0.4922074824571609,0.21419539488852019,0.2780120875686407,1.9688299298286436,0.8843467291577369,0.8567815795540807,1.1120483502745628,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0687009096145629,0.9047979712486268,1.0,3.68746041203849e-05
2,0.0666666666666666,3,11,0.0,-0.25,0.0360520854592323,-0.049104131758213,-0.049104131758213,0.28605208545923233,-0.0851562172174453,0.200895868241787,0.28605208545923233,0.0851562172174453,0.200895868241787,1.1442083418369293,1.703124344348906,0.3406248688697812,0.803583472967148,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0706035271286964,0.9298556447029114,1.0,1.97881854546722e-05
2,0.0666666666666666,4,11,0.0,-0.25,0.1060289815068245,0.013771716505289,0.013771716505289,0.3560289815068245,-0.0922572650015355,0.263771716505289,0.3560289815068245,0.0922572650015355,0.263771716505289,1.424115926027298,0.8701136584585358,0.369029060006142,1.055086866021156,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0715568289160728,0.9424107074737548,1.0,3.457364073256031e-05
2,0.0666666666666666,5,11,0.0,-0.25,0.1209556013345718,0.0439015738666057,0.0439015738666057,0.3709556013345718,-0.0770540274679661,0.2939015738666057,0.3709556013345718,0.0770540274679661,0.2939015738666057,1.4838224053382871,0.6370438955929719,0.3082161098718644,1.1756062954664228,0.1035984382033348,-0.8386105895042419,0.0759295597672462,0.0725651457905769,0.955690324306488,1.0,4.352806354290806e-05
