label,rows,env_count,front_pitch_ref_mean,front_pitch_ref_median,front_pitch_ref_p05,front_pitch_ref_p95,q_desired_spm1_platform_joint_y_mean,q_desired_spm1_platform_joint_y_median,q_desired_spm1_platform_joint_y_p05,q_desired_spm1_platform_joint_y_p95,q_actual_spm1_platform_joint_y_mean,q_actual_spm1_platform_joint_y_median,q_actual_spm1_platform_joint_y_p05,q_actual_spm1_platform_joint_y_p95,front_pitch_actual_mean,front_pitch_actual_median,front_pitch_actual_p05,front_pitch_actual_p95,step_up_distance_m_mean,step_up_distance_m_median,step_up_distance_m_p05,step_up_distance_m_p95,step_up_front_gap_m_mean,step_up_front_gap_m_median,step_up_front_gap_m_p05,step_up_front_gap_m_p95,step_up_posture_phase_weight_mean,step_up_posture_phase_weight_median,step_up_posture_phase_weight_p05,step_up_posture_phase_weight_p95,step_up_posture_weight_mean,step_up_posture_weight_median,step_up_posture_weight_p05,step_up_posture_weight_p95,terrain_gate_step_up_mean,terrain_gate_step_up_median,terrain_gate_step_up_p05,terrain_gate_step_up_p95,policy_minus_ref_mean,policy_minus_ref_median,actual_minus_desired_mean,actual_minus_desired_median,actual_minus_ref_mean,actual_minus_ref_median,policy_abs_error_mean,policy_abs_error_rmse,policy_abs_error_median,policy_abs_error_p95,policy_abs_error_max,control_abs_error_mean,control_abs_error_rmse,control_abs_error_median,control_abs_error_p95,control_abs_error_max,total_abs_error_mean,total_abs_error_rmse,total_abs_error_median,total_abs_error_p95,total_abs_error_max,policy_rel_error_ref_floor005_mean,policy_rel_error_ref_floor005_median,policy_rel_error_ref_floor005_p95,control_rel_error_des_floor005_mean,control_rel_error_des_floor005_median,control_rel_error_des_floor005_p95,control_rel_error_ref_floor005_mean,control_rel_error_ref_floor005_median,control_rel_error_ref_floor005_p95,total_rel_error_ref_floor005_mean,total_rel_error_ref_floor005_median,total_rel_error_ref_floor005_p95,front_ref_abs_mean,q_desired_abs_mean,q_actual_abs_mean,front_actual_minus_q_actual_abs_max,env_id
env0_tail100,100,1,-0.2490309402346611,-0.25,-0.25,-0.24256271123886106,-0.12374790962436237,-0.0797191001474857,-0.5747352004051208,0.1835757106542586,-0.09704164188355208,-0.1407378688454628,-0.3837701573967934,0.26244854331016526,-0.09704164188355208,-0.1407378688454628,-0.3837701573967934,0.26244854331016526,0.14547815333586187,0.1035984382033348,0.0014537491369992,0.5121792554855347,-0.796730853319168,-0.8386105895042419,-0.9407552480697632,-0.4300297498703003,0.3116589393466711,0.0759295597672462,0.0,1.0,0.2884948816522956,0.07125562801957125,0.0,0.980076453089714,0.902384535074234,0.9414787292480469,0.7008296191692353,0.9849560797214509,0.12528303061029875,0.16245844587683678,0.026706267740810294,-0.023140221834182767,0.15198929835110903,0.1092621311545372,0.22801886115572415,0.27168306181716273,0.22737100301310426,0.46993568912148465,0.6541921496391296,0.18033143565407955,0.2409711133801885,0.13345465436577797,0.4684531275182962,0.9445579834282397,0.19987979996949434,0.262159796472711,0.13057193160057068,0.5124485433101653,0.5599815845489502,0.9142998463541526,0.9195366322707451,1.8797427564859386,1.5771361039004663,0.7371497075143595,5.384399410337209,0.7238587180408365,0.5472429394721986,1.8738125100731848,0.803330522552375,0.5222877264022827,2.072304975846814,0.2490309402346611,0.20439730292535388,0.2102578777074814,0.0,0
env1_tail100,100,1,-0.2491186812520027,-0.25,-0.25,-0.24935584813356404,-0.0831333317331155,0.02432735916227095,-0.6086329519748688,0.20369691252708433,0.004821769380941995,-0.019780547358095597,-0.2454737544059753,0.2497456595301627,0.004821769380941995,-0.019780547358095597,-0.2454737544059753,0.2497456595301627,0.06376205433160063,0.1035984382033348,0.0014537491369992,0.2057436257600784,-0.8784469580650329,-0.8386105895042419,-0.9407552480697632,-0.7364653944969177,0.10077048651874065,0.0759295597672462,0.0,0.756897509098053,0.09680280145257711,0.0508423522114753,0.0,0.7431855976581574,0.9173985940217971,0.9573044776916504,0.733084985613823,0.9845615029335022,0.16598534951888724,0.2743273591622709,0.0879551011140575,0.0852002166211605,0.2539404506329447,0.2302194526419044,0.2859908075162093,0.31582665752264133,0.3092755191028117,0.4578860662877559,0.7288995981216432,0.20500745780329452,0.2561646900220974,0.16866277810186134,0.4862147636711598,0.8177818767726421,0.25663168051280083,0.3007273589771102,0.2302194526419044,0.4997456595301627,0.52338507771492,1.1475670273164778,1.2371020764112468,1.8315442651510236,1.5382580771379346,1.0208924521928677,4.0479407459497425,0.8244416288501316,0.6746511124074454,1.9448590546846392,1.0288145085946658,0.9208778105676176,1.9989826381206508,0.2491186812520027,0.2016377298065345,0.1371582810487598,0.0,1
env2_tail100,100,1,-0.2491069456934929,-0.25,-0.25,-0.2444084510207176,-0.032599641270935543,0.040825854986906,-0.4154990464448929,0.18475682213902464,-0.02451629924122244,-0.01958099287003275,-0.3853433355689048,0.22500600963830938,-0.02451629924122244,-0.01958099287003275,-0.3853433355689048,0.22500600963830938,0.06886931891785933,0.1035984382033348,0.0014537491369992,0.2057436257600784,-0.8733396923542023,-0.8386105895042419,-0.9407552480697632,-0.7364653944969177,0.136490613296628,0.0759295597672462,0.0,0.756897509098053,0.12631115481257438,0.0499874055385589,0.0,0.7370590567588806,0.9088723403215409,0.9531164169311523,0.7085003316402435,0.9739558964967728,0.21650730442255736,0.29082585498690605,0.008083342029713104,0.008682988584041547,0.22459064645227045,0.23041900712996724,0.2669298417493701,0.29642106365299736,0.29341777041554445,0.451825302094221,0.4987020045518875,0.15627675738651303,0.19223027024209274,0.13466058298945424,0.4000394041184335,0.5139459371566772,0.2552256516879424,0.28938950846973643,0.23188386764377356,0.4750060096383094,0.49877305328845967,1.0709753983572812,1.1736710816621778,1.807301208376884,1.469883426677644,1.0779852411727249,4.059689686517232,0.6275326840596587,0.5399973879102615,1.600157616473734,1.0246031258341284,0.9275354705750942,1.9085992876121816,0.2491069456934929,0.15181941501796242,0.14593972931150348,0.0,2
env3_tail100,100,1,-0.24711901903152467,-0.25,-0.25,-0.22546851634979242,-0.06984167810529471,0.03373974002897735,-0.46640118658542634,0.19753427579998967,0.024026297433301803,0.02963513415306805,-0.1830920398235321,0.2041493974626064,0.024026297433301803,0.02963513415306805,-0.1830920398235321,0.2041493974626064,0.06376205931650472,0.1035984382033348,0.0014537491369992,0.2057436257600784,-0.8784469527006149,-0.8386105895042419,-0.9407552480697632,-0.7364653944969177,0.10682087041437625,0.0759295597672462,0.0,0.756897509098053,0.09979278955608606,0.04552764818072315,0.0,0.7345660895109176,0.8718666416406632,0.9183589220046998,0.6246578305959701,0.9749737948179246,0.17727734092622996,0.2764673447236418,0.09386797553859651,0.08808681042864926,0.2711453164648265,0.27963513415306807,0.25567335907369854,0.2926966125000145,0.2945564445108174,0.4600905515253544,0.5020079910755157,0.1806956487800926,0.21661650116404826,0.15288196876645085,0.4210078101605177,0.5371036976575851,0.27157236377708616,0.29965148382100804,0.27963513415306807,0.4541493974626064,0.4865449219942093,1.0333729049878853,1.185195070741246,1.8525023843402546,1.196523167923809,0.9466916251874302,2.910431692747378,0.7341645308421139,0.6115278750658034,1.6924971275031566,1.0960577637139268,1.1185405366122723,1.8165975898504256,0.24711901903152467,0.1927290483005345,0.1114030608627945,0.0,3
env4_tail100,100,1,-0.2490464760363102,-0.25,-0.25,-0.2447003126144409,0.0579457239527255,0.1028368063271045,-0.32883633226156234,0.2298181191086768,0.08898338798840993,0.08407248929142949,-0.11699428372085088,0.2566132768988609,0.08898338798840993,0.08407248929142949,-0.11699428372085088,0.2566132768988609,0.04946178290760142,0.0014537491369992,0.0014537491369992,0.2057436257600784,-0.8927472263574601,-0.9407552480697632,-0.9407552480697632,-0.7364653944969177,0.07198919646441936,0.0,0.0,0.756897509098053,0.0682547052577138,0.0,0.0,0.7318997979164124,0.9037405329942704,0.9442234337329865,0.7097114592790603,0.9846279740333556,0.3069921999890357,0.34989622235298146,0.031037664035684438,0.0473472978919745,0.33802986402472013,0.3340724892914295,0.3229699033219367,0.34608340318830294,0.34989622235298146,0.47866511866450295,0.5506918132305144,0.13975899759272578,0.1688165300701323,0.1305738328956068,0.2776362504810093,0.5690565183758735,0.33802986402472013,0.3584830778658175,0.3340724892914295,0.5066132768988609,0.5246593058109283,1.2954889934515756,1.4113472253084178,1.9354388442913624,1.2596014552975836,0.8991334606796311,3.992076382040976,0.5611108889663976,0.5292600868511796,1.1105450019240373,1.3564009388021632,1.336289957165718,2.0264531075954437,0.2490464760363102,0.14367857429198916,0.12139320629590653,0.0,4
env5_tail100,100,1,-0.2428970816731453,-0.25,-0.25,-0.20912087336182592,-0.010110880373395066,0.051977612078189794,-0.4561303362250328,0.20045648440718647,0.05856596519821323,0.0632411669939756,-0.1524435818195343,0.26374795734882356,0.05856596519821323,0.0632411669939756,-0.1524435818195343,0.26374795734882356,0.05865481489337978,0.0014537491369992,0.0014537491369992,0.2057436257600784,-0.883554196357727,-0.9407552480697632,-0.9407552480697632,-0.7364653944969177,0.09092362463474274,0.0,0.0,0.756897509098053,0.08432767670601607,0.0,0.0,0.7256842821836471,0.8291222244501114,0.8982696831226349,0.5454741954803467,0.9729570806026459,0.23278620129975025,0.2988547701388597,0.06867684557160829,0.0490911798551678,0.30146304687135855,0.31324116699397564,0.27745648270996753,0.30675762842104703,0.30091071315109724,0.4515405759215354,0.5162737667560577,0.14289449369709473,0.1917484009082696,0.1113095018081367,0.37268907427787773,0.7946593686938286,0.30146304687135855,0.3300566326962805,0.31324116699397564,0.5137479573488235,0.5302227437496185,1.1488628726067291,1.2448502776865196,1.8665688449387807,1.2532177651538436,0.981823597103356,3.8064659293740974,0.5874247979010814,0.45000156946480263,1.490756297111511,1.242907944918448,1.2529646679759026,2.0606937050819396,0.2428970816731453,0.15050026010314466,0.12327800002298314,0.0,5
