step,front_roll_des_deg,front_pitch_des_deg,front_yaw_des_deg,rear_roll_des_deg,rear_pitch_des_deg,rear_yaw_des_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
30,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.012688,-0.011339,-0.004371,-0.018571,-0.000789,0.001348,-0.0,0.0,0.0,-0.0,0.0,0.0,
60,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.049885,0.00702,-0.009243,-0.00519,0.001196,0.000652,-0.0,0.0,0.0,-0.0,0.0,0.0,
90,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.049998,0.007508,-0.009636,-0.005066,0.002115,0.000571,-0.0,0.0,0.0,-0.0,0.0,0.0,
120,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.046355,0.006949,-0.009452,-0.004627,0.003961,-0.000705,-0.0,0.0,0.0,-0.0,0.0,0.0,
150,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.031025,0.010917,-0.007516,-0.005604,-0.000432,-0.002664,-0.0,0.0,0.0,-0.0,0.0,0.0,
180,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,-0.004628,-0.002989,0.002132,-0.003229,0.000208,0.000964,-0.0,0.0,0.0,-0.0,0.0,0.0,
210,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.014884,-0.013019,0.008708,-0.002067,0.000838,0.003885,-0.0,0.0,0.0,-0.0,0.0,0.0,
240,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.027276,-0.014625,0.012353,0.004801,0.002079,0.003658,-0.0,0.0,0.0,-0.0,0.0,0.0,
270,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.026577,-0.01387,0.012147,0.00473,0.002021,0.003468,-0.0,0.0,0.0,-0.0,0.0,0.0,
300,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.026547,-0.013828,0.012147,0.004734,0.002006,0.003464,-0.0,0.0,0.0,-0.0,0.0,0.0,
330,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.026472,-0.013768,0.012141,0.004737,0.001999,0.003452,-0.0,0.0,0.0,-0.0,0.0,0.0,
360,0.0,0.0,0.0,0.0,0.0,0.0,0.103,-0.006,0.046,0.031,0.014,0.025,0.026423,-0.013744,0.012112,0.004726,0.002,0.003443,-0.0,0.0,0.0,-0.0,0.0,0.0,
