step,front_roll_cur_deg,front_pitch_cur_deg,front_yaw_cur_deg,rear_roll_cur_deg,rear_pitch_cur_deg,rear_yaw_cur_deg,front_joint_cmd_0_deg,front_joint_cmd_1_deg,front_joint_cmd_2_deg,rear_joint_cmd_0_deg,rear_joint_cmd_1_deg,rear_joint_cmd_2_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
30,59.933223,35.241305,-134.964803,-59.968305,-35.240001,45.020211,0.0,0.0,0.0,0.0,0.0,0.0,41.414691,-28.588299,-30.877446,-64.351785,41.522773,-45.751116,-0.112033,0.00854,-0.044849,-0.032979,-0.015285,-0.02386,0.0,-0.0,-0.0,-0.0,0.0,-0.0,
60,59.933549,35.241327,-134.964825,-59.968338,-35.239974,45.020341,0.0,0.0,0.0,0.0,0.0,0.0,41.414575,-28.587956,-30.877188,-64.351851,41.522735,-45.751223,-0.11175,0.008278,-0.044908,-0.033223,-0.015274,-0.023924,0.0,-0.0,-0.0,0.0,-0.0,-0.0,
90,59.933882,35.241118,-134.964444,-59.968314,-35.239894,45.020422,0.0,0.0,0.0,0.0,0.0,0.0,41.414468,-28.587813,-30.877403,-64.351849,41.522681,-45.751305,-0.112222,0.008419,-0.045032,-0.033128,-0.015133,-0.024038,0.0,-0.0,0.0,0.0,-0.0,-0.0,
120,59.935361,35.240779,-134.963361,-59.968378,-35.239517,45.020652,0.0,0.0,0.0,0.0,0.0,0.0,41.413808,-28.586872,-30.877428,-64.351846,41.52269,-45.751686,-0.112824,0.008519,-0.045082,-0.032999,-0.01496,-0.02408,-0.0,-0.0,0.0,0.0,0.0,-0.0,
150,59.937364,35.24054,-134.962026,-59.968333,-35.239009,45.020902,0.0,0.0,0.0,0.0,0.0,0.0,41.412811,-28.585533,-30.877181,-64.351755,41.522608,-45.752102,-0.113453,0.008727,-0.045233,-0.032964,-0.014848,-0.024196,0.0,-0.0,-0.0,-0.0,0.0,-0.0,
180,59.939932,35.240303,-134.960331,-59.968239,-35.238324,45.021227,0.0,0.0,0.0,0.0,0.0,0.0,41.41149,-28.583811,-30.876795,-64.351612,41.522474,-45.75264,-0.11422,0.009002,-0.045485,-0.03296,-0.014742,-0.024372,0.0,0.0,-0.0,0.0,-0.0,0.0,
210,59.942775,35.240009,-134.958505,-59.968148,-35.237629,45.021551,0.0,0.0,0.0,0.0,0.0,0.0,41.410068,-28.581877,-30.87636,-64.351465,41.522343,-45.753185,-0.115029,0.009311,-0.045738,-0.032918,-0.014581,-0.024602,-0.0,-0.0,-0.0,0.0,0.0,-0.0,
240,59.945821,35.239784,-134.956592,-59.968042,-35.236902,45.021842,0.0,0.0,0.0,0.0,0.0,0.0,41.408498,-28.579784,-30.875786,-64.351285,41.522225,-45.753722,-0.115876,0.009745,-0.046097,-0.032852,-0.014384,-0.024892,0.0,-0.0,-0.0,0.0,-0.0,-0.0,
270,59.948636,35.239548,-134.954857,-59.967946,-35.236206,45.022004,0.0,0.0,0.0,0.0,0.0,0.0,41.407078,-28.577832,-30.875256,-64.351059,41.522185,-45.75417,-0.116742,0.010205,-0.046566,-0.032665,-0.014142,-0.025254,-0.0,0.0,-0.0,0.0,0.0,-0.0,
300,59.954406,35.238622,-134.950481,-59.967209,-35.235162,45.02232,0.0,0.0,0.0,0.0,0.0,0.0,41.404174,-28.57425,-30.875118,-64.350486,41.521502,-45.754604,-0.119018,0.010963,-0.046495,-0.032525,-0.013973,-0.026151,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
