step,front_roll_raw_deg,front_pitch_raw_deg,front_yaw_raw_deg,rear_roll_raw_deg,rear_pitch_raw_deg,rear_yaw_raw_deg,front_roll_bias_deg,front_pitch_bias_deg,front_yaw_bias_deg,rear_roll_bias_deg,rear_pitch_bias_deg,rear_yaw_bias_deg,front_roll_cur_deg,front_pitch_cur_deg,front_yaw_cur_deg,rear_roll_cur_deg,rear_pitch_cur_deg,rear_yaw_cur_deg,front_joint_cmd_0_deg,front_joint_cmd_1_deg,front_joint_cmd_2_deg,rear_joint_cmd_0_deg,rear_joint_cmd_1_deg,rear_joint_cmd_2_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
360,-0.082679,0.077008,0.001544,0.040209,-0.011577,-0.001604,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006565,-0.014758,-0.004292,-0.001781,0.001779,0.000705,0.0,0.0,0.0,0.0,0.0,0.0,0.093429,-0.002144,0.059146,0.032045,0.014126,0.022607,-0.102824,0.005985,-0.046495,-0.030742,-0.014418,-0.024511,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,
390,-0.082635,0.07707,0.001547,0.040225,-0.011555,-0.001612,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006608,-0.014696,-0.004288,-0.001766,0.0018,0.000697,0.0,0.0,0.0,0.0,0.0,0.0,0.093478,-0.002203,0.05915,0.032067,0.014112,0.022614,-0.102846,0.006058,-0.046464,-0.030733,-0.01444,-0.024524,0.0,0.0,-0.0,-0.0,0.0,-0.0,
420,-0.08261,0.077094,0.001535,0.040236,-0.011576,-0.001607,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006634,-0.014672,-0.0043,-0.001755,0.001779,0.000703,0.0,0.0,0.0,0.0,0.0,0.0,0.093505,-0.002223,0.059164,0.032047,0.014109,0.022627,-0.102837,0.00609,-0.046461,-0.030758,-0.01443,-0.024525,-0.0,0.0,-0.0,-0.0,0.0,-0.0,
450,-0.082579,0.077176,0.001528,0.040244,-0.011568,-0.001611,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006665,-0.01459,-0.004308,-0.001746,0.001787,0.000698,0.0,0.0,0.0,0.0,0.0,0.0,0.093576,-0.002274,0.059157,0.032056,0.014102,0.022632,-0.102873,0.006169,-0.046443,-0.030753,-0.014439,-0.024535,-0.0,0.0,-0.0,-0.0,-0.0,0.0,
480,-0.082577,0.077171,0.001509,0.040243,-0.011559,-0.001618,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006667,-0.014595,-0.004327,-0.001747,0.001796,0.000691,0.0,0.0,0.0,0.0,0.0,0.0,0.093583,-0.002262,0.059172,0.032067,0.014104,0.022632,-0.102863,0.006183,-0.046467,-0.030744,-0.014442,-0.024533,-0.0,0.0,-0.0,-0.0,0.0,0.0,
510,-0.082591,0.077153,0.001521,0.040242,-0.011545,-0.001605,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006652,-0.014612,-0.004315,-0.001748,0.00181,0.000704,0.0,0.0,0.0,0.0,0.0,0.0,0.093562,-0.002252,0.059162,0.032071,0.014091,0.022619,-0.102871,0.006157,-0.046459,-0.030744,-0.014444,-0.024523,0.0,0.0,-0.0,-0.0,0.0,0.0,
540,-0.082575,0.077119,0.001541,0.040257,-0.011564,-0.001607,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006668,-0.014647,-0.004295,-0.001734,0.001791,0.000703,0.0,0.0,0.0,0.0,0.0,0.0,0.093522,-0.002261,0.059176,0.032056,0.01409,0.022637,-0.102839,0.00612,-0.046436,-0.030765,-0.014454,-0.024536,-0.0,0.0,0.0,-0.0,-0.0,0.0,
570,-0.082548,0.07713,0.001528,0.040271,-0.011578,-0.001595,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006695,-0.014636,-0.004308,-0.00172,0.001778,0.000714,0.0,0.0,0.0,0.0,0.0,0.0,0.093539,-0.002277,0.059198,0.032039,0.014078,0.022646,-0.102826,0.006148,-0.046426,-0.030777,-0.014454,-0.02454,-0.0,0.0,-0.0,-0.0,-0.0,0.0,
600,-0.082557,0.077147,0.001536,0.040272,-0.011568,-0.001595,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006686,-0.014619,-0.0043,-0.001718,0.001787,0.000714,0.0,0.0,0.0,0.0,0.0,0.0,0.093548,-0.002283,0.05918,0.032046,0.014074,0.022643,-0.102847,0.006162,-0.046427,-0.030774,-0.014452,-0.024532,0.0,-0.0,0.0,0.0,0.0,0.0,
630,-0.082497,0.07725,0.001489,0.040279,-0.011571,-0.001598,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006746,-0.014516,-0.004347,-0.001711,0.001784,0.000712,0.0,0.0,0.0,0.0,0.0,0.0,0.093659,-0.00234,0.059207,0.032045,0.014071,0.022651,-0.102868,0.006284,-0.046427,-0.030779,-0.014459,-0.024543,-0.0,0.0,0.0,0.0,0.0,-0.0,
