Kp,Kd,tau_ref_s,qddot_limit_radps2,velocity_limit_radps,effort_limit_nm,risk_score,cmd_error_mean_rad,cmd_error_rmse_rad,cmd_error_max_rad,raw_error_mean_rad,raw_error_rmse_rad,raw_error_max_rad,raw_relative_error_mean,raw_to_cmd_lag_mean_rad,raw_to_cmd_lag_rmse_rad,qdot_error_mean_radps,qdot_error_rmse_radps,qdot_error_max_radps,tau_saturation_rate,qdot_limit_rate,qdot_cmd_limit_rate,tau_abs_mean_nm,tau_abs_max_nm,qdot_abs_mean_radps,qdot_abs_max_radps,qdot_cmd_abs_mean_radps,qdot_cmd_delta_abs_mean_radps,qdot_sign_flip_rate
1400.0,2.0,0.12,3.0,1.2,60.0,3.0551484459268963,0.0018249241355571596,0.0023103407355788705,0.005428571428569506,0.237467284987056,0.29896600407825613,1.0118821795798665,1.6517459201418065,0.23738585320675729,0.2988732066604797,0.4152112945552511,0.45697237823161185,0.8129636645103392,0.0,0.05509181969949917,0.06844741235392321,5.065950804335118,21.5999999999824,0.3264865959665612,1.1999999999987248,0.5253277040965864,0.09389335187929036,0.14786967418546365
1500.0,2.0,0.12,3.0,1.2,60.0,3.056905242486819,0.0016659300748852418,0.002078911064514679,0.004400000000000015,0.23735635403111505,0.2988500242585128,1.0119885345079056,1.6508427505196663,0.23738585320675729,0.2988732066604797,0.4437328229821482,0.4911529014008773,0.8623874145974825,0.0,0.05843071786310518,0.06844741235392321,5.3048106975777145,21.59999999999995,0.3544429311436217,1.1999999999999966,0.5253277040965864,0.09389335187929036,0.14786967418546365
1300.0,2.0,0.12,3.0,1.2,60.0,3.0638015825779594,0.00204952481646701,0.0026524052108534853,0.006615384615031472,0.23755333827171854,0.29905356009078704,1.0117094778490094,1.6524385048299362,0.23738585320675729,0.2988732066604797,0.3873201242687029,0.42493984357772285,0.7212180800415398,0.0,0.05342237061769616,0.06844741235392321,4.907627316437477,21.599999997864472,0.30305807331571305,1.1999999998452517,0.5253277040965864,0.09389335187929036,0.14786967418546365
1200.0,2.0,0.12,3.0,1.2,60.0,3.0659935183123204,0.0023523832302576645,0.003107561551075699,0.007999999981840422,0.23762495385533017,0.2991283225812969,1.0115061405626244,1.652975435525502,0.23738585320675729,0.2988732066604797,0.3597635148732903,0.39464036277718145,0.7060743092739796,0.0,0.045075125208681135,0.06844741235392321,4.78341864537358,21.599999920862455,0.2813161436879371,1.1999999942653954,0.5253277040965864,0.09389335187929036,0.14619883040935672
1600.0,2.0,0.12,3.0,1.2,60.0,3.0795069939347752,0.0016293732900251082,0.0019742544754493335,0.00352104385773791,0.2372092853364921,0.2986969586339016,1.0121241015110274,1.6496005950448944,0.23738585320675729,0.2988732066604797,0.4739979855059364,0.5306158757325257,0.927159107202199,0.0,0.0667779632721202,0.06844741235392321,5.605069693760695,21.61325277868844,0.3875281908912104,1.2,0.5253277040965864,0.09389335187929036,0.14786967418546365
1100.0,2.0,0.12,3.0,1.2,60.0,3.094324520924271,0.0027614126573990527,0.0036909260890247942,0.009636363197259856,0.23769411438430457,0.2991990473042532,1.0114450063162383,1.6534677291611652,0.23738585320675729,0.2988732066604797,0.33398484628462866,0.36732697481951365,0.6434987853794327,0.0,0.044240400667779636,0.06844741235392321,4.8240924157527445,21.59999856138233,0.2629389210503151,1.1999998957523428,0.5253277040965864,0.09389335187929036,0.14619883040935672
900.0,2.0,0.12,3.0,1.2,60.0,3.110840651931604,0.004008611415387372,0.005348573564407134,0.013999937645272242,0.23781954408464,0.2993223155564746,1.0117263343727054,1.654339446694095,0.23738585320675729,0.2988732066604797,0.2839652217920943,0.3158138981347002,0.5522287093709188,0.0,0.027545909849749584,0.06844741235392321,5.456794012419344,21.599877072108153,0.24141522065086352,1.1999910921817503,0.5253277040965864,0.09389335187929036,0.04928989139515455
1700.0,2.0,0.12,3.0,1.2,60.0,3.119209603420051,0.0017048309425616078,0.0020218211405291756,0.0034764872338943174,0.23702337708063467,0.2985047477930993,1.0123522364772,1.647948173413318,0.23738585320675729,0.2988732066604797,0.5083515884813159,0.5759963328316934,0.9595404138551802,0.0,0.06844741235392321,0.06844741235392321,6.001756573494391,21.94695017291147,0.42633679227208826,1.2,0.5253277040965864,0.09389335187929036,0.1846282372598162
1000.0,2.0,0.12,3.0,1.2,60.0,3.120165497899379,0.0032993341214840625,0.0044234153207193426,0.01159999372721493,0.2377604002729597,0.2992638472457075,1.0115183948986322,1.6539323200240932,0.23738585320675729,0.2988732066604797,0.3089597203990059,0.34146791511156166,0.5913021864799552,0.0,0.03589315525876461,0.06844741235392321,5.131191770250738,21.599984165042553,0.2476915376711588,1.1999988525393155,0.5253277040965864,0.09389335187929036,0.14786967418546365
800.0,2.0,0.12,3.0,1.2,60.0,3.186353307022509,0.0049643947135478645,0.006550631149434436,0.016999524567548663,0.2378743188782091,0.2993749025274895,1.0120786035779317,1.654686079924792,0.23738585320675729,0.2988732066604797,0.25958382797576934,0.2902893729685702,0.5020817137266561,0.0,0.02587646076794658,0.06844741235392321,5.788760619440576,21.59926419052387,0.26619085919305135,1.199946680472744,0.5253277040965864,0.09389335187929036,0.05012531328320802
1500.0,2.0,0.08,3.0,1.2,60.0,3.250997358723043,0.0017577651922826073,0.0021929002434812922,0.004400000000000015,0.2512351566574531,0.3243547601672248,1.1738899945072028,1.756352111912096,0.251191931714901,0.3242453271355412,0.436745708823238,0.48866782325318103,0.8632888792317509,0.0,0.07595993322203673,0.08681135225375626,5.673914151179758,21.59999999999995,0.3682215526712385,1.1999999999999966,0.543059462403716,0.09214026197813065,0.14452798663324978
1400.0,2.0,0.08,3.0,1.2,60.0,3.2543261629373808,0.0019433962786156243,0.002462573300508568,0.005428571428568785,0.2513648262145659,0.32448830997183925,1.1744377484878665,1.7575662537929384,0.251191931714901,0.3242453271355412,0.4099669035720116,0.4557639723939645,0.8129636645077444,0.0,0.07345575959933222,0.08681135225375626,5.44252054602737,21.599999999976106,0.34205194473485323,1.1999999999982687,0.543059462403716,0.09214026197813065,0.14452798663324978
1300.0,2.0,0.08,3.0,1.2,60.0,3.2644108972857557,0.0021908310530111925,0.002840540292599813,0.0066153846149016315,0.25146219888557153,0.32459169868513715,1.1747861905749388,1.7584788057356222,0.251191931714901,0.3242453271355412,0.382768143990938,0.4242855680937737,0.7576527911108881,0.0,0.07095158597662772,0.08681135225375626,5.309832015973761,21.599999997079394,0.32143133789483963,1.199999999788362,0.543059462403716,0.09214026197813065,0.14536340852130325
1200.0,2.0,0.08,3.0,1.2,60.0,3.2693067586635967,0.0025111763824569593,0.0033292630653798836,0.007999999975874583,0.2515523862980339,0.324691452939656,1.1750003705002945,1.7593191838845117,0.251191931714901,0.3242453271355412,0.35357687202121946,0.39190918607156944,0.6741563914252655,0.0,0.06260434056761269,0.08681135225375626,5.196132762573559,21.59999989486405,0.3009123246422349,1.199999992381453,0.543059462403716,0.09214026197813065,0.14619883040935672
1600.0,2.0,0.08,3.0,1.2,60.0,3.2703482986755694,0.0017014776719531046,0.0020492840359493153,0.00352382516851224,0.25106539062670286,0.32418334463333176,1.1732313028738326,1.7547664511775296,0.251191931714901,0.3242453271355412,0.46493727945625135,0.5269762164959086,0.9208085776032834,0.0,0.08430717863105175,0.08681135225375626,5.979311144542107,21.61325277868844,0.4018601551029819,1.2,0.543059462403716,0.09214026197813065,0.14452798663324978
